"","YEAR","ZIP_CHAR","NUM_CRIMES","NUM_ASSAULT","NUM_LARCENY","NUM_BURGLARY","NUM_PROPERTY","NUM_AUTOTHEFT","NUM_AGG_ASSAULT","NUM_MURDER","NUM_TRAFFIC","NUM_FRAUD","NUM_ROBBERY","NUM_DRUGS","NUM_WEAPONS","NUM_ESCAPE","NUM_OBSTRUCT","NUM_CONDUCT","NUM_VIOLENT","NUM_YOUTH","NUM_WHITECOLLAR","NUM_SUBSTANCE"
"61",2011,48126,276,29,37,27,126,23,21,41,8,6,16,4,2,4,4,3,92,111,6,11
"62",2012,48126,251,43,27,23,109,21,17,18,5,6,10,10,2,9,1,0,79,115,7,12
"63",2013,48126,200,17,28,8,69,15,9,8,11,7,8,2,1,7,1,0,34,69,7,3
"64",2014,48126,202,26,13,11,70,15,9,0,21,11,11,4,0,4,1,3,35,88,17,6
"65",2015,48126,195,22,26,10,72,12,14,0,11,4,5,2,0,5,4,0,37,83,7,4
"66",2016,48126,201,30,15,6,59,12,14,0,17,6,6,7,5,1,3,0,44,91,8,8
"67",2017,48126,8,2,2,0,3,1,1,0,0,0,0,1,0,0,0,0,4,5,0,1
"68",2009,48127,51,7,13,3,26,2,1,5,1,0,3,3,0,1,0,0,13,30,1,4
"69",2010,48127,59,6,11,4,28,3,6,6,0,2,2,0,0,4,0,0,18,25,2,1
"70",2011,48127,74,9,15,4,30,5,3,12,4,8,2,0,0,3,0,0,24,32,8,0
"71",2012,48127,89,14,13,8,36,7,6,12,2,5,2,0,1,1,1,0,33,37,5,1
"72",2013,48127,85,15,10,5,26,3,3,7,5,5,2,0,2,1,1,0,26,36,6,0
"73",2014,48127,71,12,8,2,24,5,2,0,5,3,3,1,1,2,1,1,14,33,3,1
"74",2015,48127,73,11,12,3,24,3,1,0,10,3,2,1,0,0,1,1,12,40,3,1
"75",2016,48127,45,5,4,3,13,1,2,0,2,3,1,1,0,2,1,0,7,16,4,1
"76",2017,48127,6,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,2,4,1,0
"77",2009,48128,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
"78",2010,48128,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"79",2011,48128,5,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0
"80",2012,48128,11,1,0,0,0,0,0,2,2,2,0,0,0,2,0,0,4,3,2,0
"81",2013,48128,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,1
"82",2014,48128,13,0,0,0,1,1,0,0,8,0,0,0,0,1,3,0,0,8,0,0
"83",2015,48128,12,0,1,0,1,0,0,0,9,0,0,0,0,1,0,0,0,10,0,0
"84",2016,48128,12,0,1,0,2,0,1,0,7,0,0,0,0,2,0,0,1,9,0,0
"85",2011,48133,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",2014,48133,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"87",2016,48133,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"88",2009,48134,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
"89",2010,48134,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"90",2011,48134,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",2012,48134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",2013,48134,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"93",2016,48134,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"94",2009,48135,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"95",2011,48135,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"96",2014,48135,5,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0
"97",2015,48135,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
"98",2016,48135,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"99",2009,48138,3,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"100",2011,48138,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",2012,48138,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
"102",2016,48138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",2009,48141,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
"104",2010,48141,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"105",2011,48141,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",2012,48141,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"107",2013,48141,6,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,5,0,2
"108",2014,48141,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0
"109",2015,48141,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"110",2016,48141,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"111",2014,48144,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"112",2009,48146,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"113",2010,48146,4,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,3,0,0
"114",2011,48146,3,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0
"115",2012,48146,9,0,1,0,1,0,0,1,3,0,0,2,0,0,0,0,1,7,0,3
"116",2013,48146,6,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,6,0,1
"117",2014,48146,6,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0
"118",2015,48146,9,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0
"119",2016,48146,9,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0
"120",2009,48150,11,2,1,4,8,1,0,0,0,0,0,0,0,1,0,0,2,4,0,0
"121",2010,48150,19,4,0,5,10,1,2,0,1,1,0,0,0,0,0,0,6,8,1,0
"122",2011,48150,20,6,6,3,13,2,1,0,0,0,0,0,0,0,0,0,7,14,0,0
"123",2012,48150,6,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0
"124",2013,48150,12,4,2,2,4,0,0,2,0,0,0,0,0,1,0,0,6,6,0,0
"125",2014,48150,13,4,2,1,4,0,1,0,0,0,0,0,0,1,0,0,5,7,0,0
"126",2015,48150,5,1,2,0,4,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0
"127",2016,48150,7,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,1
"128",2009,48152,138,13,21,25,76,15,10,13,7,0,3,2,4,5,1,1,36,58,0,5
"129",2010,48152,136,17,13,11,48,11,13,10,12,6,7,7,4,1,4,2,40,60,7,9
"130",2011,48152,162,17,17,17,67,13,8,16,19,4,9,8,4,1,1,0,41,74,5,11
"131",2012,48152,345,20,12,6,54,15,13,47,137,6,12,7,6,9,6,5,80,195,7,9
"132",2013,48152,144,9,19,8,60,10,12,6,9,5,5,0,2,1,0,0,30,56,5,3
"133",2014,48152,130,14,11,12,47,12,7,0,3,9,8,4,4,1,2,2,22,40,9,6
"134",2015,48152,179,21,15,17,57,12,12,0,18,4,2,12,1,1,4,2,33,79,7,12
"135",2016,48152,180,22,15,13,51,10,12,0,11,7,3,6,9,1,1,3,35,74,8,7
"136",2017,48152,7,1,3,1,5,1,1,0,0,0,0,0,0,0,0,0,2,4,0,0
"137",2010,48154,11,0,0,0,0,0,0,1,7,1,0,0,0,2,0,0,1,7,1,0
"138",2011,48154,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,3,1,0,0
"139",2012,48154,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
"140",2013,48154,4,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0
"141",2014,48154,14,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,13,1,0
"142",2015,48154,7,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,6,0,0
"143",2016,48154,6,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,5,0,0
"144",2013,48161,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"145",2014,48161,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"146",2015,48161,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0
"147",2016,48161,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"148",2010,48164,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"149",2012,48164,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"150",2013,48164,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"151",2012,48165,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"152",2010,48166,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"153",2016,48166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",2009,48167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155",2011,48167,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",2013,48167,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"157",2015,48167,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"158",2010,48168,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"159",2011,48168,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"160",2014,48168,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
"161",2016,48168,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"162",2009,48170,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
"163",2010,48170,5,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,4,0,0,0
"164",2012,48170,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"165",2014,48170,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0
"166",2015,48170,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"167",2010,48173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",2010,48174,5,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0
"169",2011,48174,8,0,0,0,2,1,0,1,0,0,0,1,0,1,0,0,2,2,0,1
"170",2012,48174,4,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0
"171",2013,48174,4,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,3,0,1
"172",2014,48174,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,1,0
"173",2015,48174,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0
"174",2016,48174,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1
"175",2009,48180,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"176",2011,48180,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,0
"177",2012,48180,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0
"178",2013,48180,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1
"179",2014,48180,5,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0
"180",2015,48180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181",2016,48180,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"182",2009,48183,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"183",2010,48183,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"184",2012,48183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",2014,48183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",2011,48184,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,4,1,0,0
"187",2012,48184,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,0
"188",2013,48184,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"189",2014,48184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"190",2010,48185,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0
"191",2011,48185,5,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0
"192",2012,48185,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
"193",2013,48185,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",2014,48185,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"195",2015,48185,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"196",2016,48185,6,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,5,0,0
"197",2009,48186,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"198",2012,48186,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0
"199",2013,48186,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
"200",2014,48186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",2015,48186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"202",2010,48187,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"203",2011,48187,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"204",2012,48187,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",2013,48187,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
"206",2014,48187,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"207",2016,48187,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"208",2009,48188,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
"209",2010,48188,4,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0
"210",2012,48188,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
"211",2013,48188,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0
"212",2014,48188,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0
"213",2015,48188,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
"214",2016,48188,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215",2014,48189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"216",2009,48191,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",2009,48192,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"218",2010,48192,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0,2
"219",2012,48192,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
"220",2013,48192,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
"221",2014,48192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",2016,48192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223",2009,48193,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"224",2010,48193,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"225",2011,48193,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0
"226",2009,48195,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"227",2010,48195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228",2011,48195,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"229",2012,48195,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1
"230",2013,48195,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"231",2014,48195,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
"232",2015,48195,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
"233",2016,48195,9,0,3,0,4,0,1,0,1,0,1,0,0,0,0,0,1,5,0,0
"234",2009,48197,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
"235",2011,48197,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0
"236",2013,48197,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
