"","Location.Name","Rate.Year","Cohort.Graduation.Year","Total.Cohort","Total.Graduated","OffTrack.Other","Dropouts","Graduation.Rate","Dropout.Rate","gradyear","enrollyear"
"745","Advanced Technology Academy (63914)","5-Year",2011,84,82,-1,3,0.9643,0.0357,2012,2007
"746","Advanced Technology Academy (63914)","6-Year",2010,69,64,-1,6,0.9275,0.0725,2012,2006
"747","Aisha Shule/WEB Dubois Prep. Academy School (82903)","4-Year",2012,24,17,-1,8,0.7083,0.2917,2012,2008
"748","Aisha Shule/WEB Dubois Prep. Academy School (82903)","5-Year",2011,19,17,-1,3,0.8947,0.1053,2012,2007
"749","Aisha Shule/WEB Dubois Prep. Academy School (82903)","6-Year",2010,17,13,-1,5,0.7059,0.2941,2012,2006
"750","Allen Academy (82955)","4-Year",2012,48,46,-1,3,0.9583,0.0417,2012,2008
"751","Allen Academy (82955)","5-Year",2011,51,44,-1,8,0.8627,0.1373,2012,2007
"752","Allen Academy (82955)","6-Year",2010,63,55,-1,9,0.873,0.127,2012,2006
"753","Blanche Kelso Bruce Academy (82971)","4-Year",2012,77,12,43,22,0.1558,0.2857,2012,2008
"754","Blanche Kelso Bruce Academy (82971)","5-Year",2011,56,7,15,34,0.125,0.5893,2012,2007
"755","Blanche Kelso Bruce Academy (82971)","6-Year",2010,15,0,4,11,0,0.7333,2012,2006
"756","Casa Richard Academy (82902)","4-Year",2012,41,16,13,12,0.3902,0.2683,2012,2008
"757","Casa Richard Academy (82902)","5-Year",2011,36,21,0,15,0.5833,0.3889,2012,2007
"758","Casa Richard Academy (82902)","6-Year",2010,54,34,0,20,0.6296,0.3519,2012,2006
"759","Cesar Chavez Academy (82918)","4-Year",2012,143,121,5,17,0.8392,0.1119,2012,2008
"760","Cesar Chavez Academy (82918)","5-Year",2011,129,106,1,22,0.8217,0.1628,2012,2007
"761","Cesar Chavez Academy (82918)","6-Year",2010,120,93,-1,28,0.7667,0.2333,2012,2006
"762","Chandler Park Academy (82923)","4-Year",2012,132,118,-1,15,0.8864,0.1061,2012,2008
"763","Chandler Park Academy (82923)","5-Year",2011,152,145,-1,8,0.9474,0.0526,2012,2007
"764","Charlotte Forten Academy (82936)","6-Year",2010,17,1,-1,17,0.0588,0.9412,2012,2006
"765","Cherry Hill School of Performing Arts (82960)","5-Year",2011,27,1,-1,27,0.037,0.963,2012,2007
"766","Cherry Hill School of Performing Arts (82960)","6-Year",2010,125,92,0,33,0.736,0.264,2012,2006
"767","Covenant House Academy Detroit (82991)","4-Year",2012,116,20,48,48,0.1724,0.4052,2012,2008
"768","Covenant House Academy Detroit (82991)","5-Year",2011,189,50,41,98,0.2593,0.5185,2012,2007
"769","Covenant House Academy Detroit (82991)","6-Year",2010,208,39,25,144,0.1875,0.6923,2012,2006
