"","Location.Name","Rate.Year","Cohort.Graduation.Year","Total.Cohort","Total.Graduated","OffTrack.Other","Dropouts","Graduation.Rate","Dropout.Rate","gradyear","enrollyear"
"950","Aisha Shule/WEB Dubois Prep. Academy School (82903)","5-Year",2012,24,17,-1,8,0.7083,0.2917,2013,2008
"951","Aisha Shule/WEB Dubois Prep. Academy School (82903)","6-Year",2011,19,17,-1,3,0.8947,0.1053,2013,2007
"952","Allen Academy (82955)","4-Year",2013,38,32,0,6,0.8421,0.1316,2013,2009
"953","Allen Academy (82955)","5-Year",2012,49,48,-1,2,0.9592,0.0408,2013,2008
"954","Allen Academy (82955)","6-Year",2011,51,44,-1,8,0.8627,0.1373,2013,2007
"955","Casa Richard Academy (82902)","4-Year",2013,31,16,8,7,0.5161,0.2258,2013,2009
"956","Casa Richard Academy (82902)","5-Year",2012,36,18,2,16,0.5,0.4167,2013,2008
"957","Casa Richard Academy (82902)","6-Year",2011,34,21,-1,14,0.6176,0.3824,2013,2007
"958","Cesar Chavez Academy (82918)","4-Year",2013,154,131,9,14,0.8506,0.0909,2013,2009
"959","Cesar Chavez Academy (82918)","5-Year",2012,138,121,-1,18,0.8696,0.1232,2013,2008
"960","Cesar Chavez Academy (82918)","6-Year",2011,126,107,-1,20,0.8413,0.1508,2013,2007
"961","Chandler Park Academy (82923)","4-Year",2013,146,140,-1,7,0.9521,0.0479,2013,2009
"962","Chandler Park Academy (82923)","5-Year",2012,132,118,-1,15,0.8939,0.1061,2013,2008
"963","Chandler Park Academy (82923)","6-Year",2011,152,145,-1,8,0.9474,0.0526,2013,2007
"964","Cherry Hill School of Performing Arts (82960)","6-Year",2011,27,1,1,25,0.037,0.9259,2013,2007
"965","Covenant House Academy Detroit (82991)","4-Year",2013,175,21,81,73,0.1143,0.4171,2013,2009
"966","Covenant House Academy Detroit (82991)","5-Year",2012,147,28,41,78,0.1837,0.5306,2013,2008
"967","Covenant House Academy Detroit (82991)","6-Year",2011,210,54,21,135,0.2571,0.6381,2013,2007
"968","Covenant House Academy East (82990)","4-Year",2013,120,12,60,48,0.1,0.3917,2013,2009
"969","Covenant House Academy East (82990)","5-Year",2012,135,26,47,62,0.1852,0.4519,2013,2008
"970","Covenant House Academy East (82990)","6-Year",2011,152,27,21,104,0.1711,0.6842,2013,2007
"971","Covenant House Academy Southwest (82989)","4-Year",2013,121,10,48,63,0.0744,0.5124,2013,2009
"972","Covenant House Academy Southwest (82989)","5-Year",2012,147,18,43,86,0.1224,0.585,2013,2008
"973","Covenant House Academy Southwest (82989)","6-Year",2011,152,22,23,107,0.1447,0.7039,2013,2007
"974","Detroit Academy of Arts and Sciences (82929)","5-Year",2012,19,1,-1,19,0.0526,0.9474,2013,2008
"975","Detroit Academy of Arts and Sciences (82929)","6-Year",2011,147,120,-1,28,0.8163,0.1837,2013,2007
"976","Detroit Community Schools (82925)","4-Year",2013,120,103,5,12,0.8583,0.1,2013,2009
"977","Detroit Community Schools (82925)","5-Year",2012,128,112,0,16,0.875,0.125,2013,2008
"978","Detroit Community Schools (82925)","6-Year",2011,127,111,-1,17,0.874,0.126,2013,2007
"979","Detroit Midtown Academy (82964)","5-Year",2012,87,72,4,11,0.8161,0.1264,2013,2008
"980","Detroit Midtown Academy (82964)","6-Year",2011,69,57,0,12,0.8116,0.1739,2013,2007
"981","Frontier International Academy (82987)","4-Year",2013,74,72,1,1,0.9595,0.0135,2013,2009
"982","Frontier International Academy (82987)","5-Year",2012,53,51,-1,3,0.9434,0.0566,2013,2008
"983","Frontier International Academy (82987)","6-Year",2011,49,46,0,3,0.9184,0.0612,2013,2007
"984","George Crockett Academy (82937)","5-Year",2012,11,9,-1,3,0.7273,0.2727,2013,2008
"985","HEART Academy (82927)","4-Year",2013,26,23,-1,4,0.8462,0.1154,2013,2009
"986","HEART Academy (82927)","5-Year",2012,46,41,0,5,0.8913,0.087,2013,2008
"987","HEART Academy (82927)","6-Year",2011,42,34,0,8,0.8095,0.1667,2013,2007
"988","Henry Ford Academy (82926)","4-Year",2013,122,117,5,0,0.959,0,2013,2009
"989","Henry Ford Academy (82926)","5-Year",2012,102,98,0,4,0.951,0.0392,2013,2008
"990","Henry Ford Academy (82926)","6-Year",2011,98,90,0,8,0.9082,0.0816,2013,2007
"991","Henry Ford Academy: School for Creative Studies (PSAD) (82703)","4-Year",2013,87,72,6,9,0.8161,0.1034,2013,2009
"992","Highland Park Public School Academy System (82749)","4-Year",2013,95,62,11,22,0.6526,0.2211,2013,2009
"993","Highland Park Public School Academy System (82749)","5-Year",2012,19,7,1,11,0.3158,0.5789,2013,2008
"994","Hope of Detroit Academy (82957)","5-Year",2012,14,11,-1,4,0.7143,0.2857,2013,2008
"995","Life Skills Center of Metropolitan Detroit (82978)","4-Year",2013,11,0,0,11,0,1,2013,2009
"996","Life Skills Center of Metropolitan Detroit (82978)","6-Year",2011,50,2,1,47,0.04,0.94,2013,2007
"997","Marvin L. Winans Academy of Performing Arts (82924)","4-Year",2013,35,28,1,6,0.8,0.1714,2013,2009
"998","Marvin L. Winans Academy of Performing Arts (82924)","5-Year",2012,40,36,0,4,0.9,0.1,2013,2008
"999","Marvin L. Winans Academy of Performing Arts (82924)","6-Year",2011,45,44,-1,2,0.9556,0.0444,2013,2007
"1000","Michigan Health Academy (82917)","6-Year",2011,50,47,0,3,0.94,0.06,2013,2007
"1001","Oakland International Academy (63912)","4-Year",2013,29,25,-1,5,0.8276,0.1724,2013,2009
"1002","Oakland International Academy (63912)","5-Year",2012,23,22,1,0,0.9565,0,2013,2008
"1003","Oakland International Academy (63912)","6-Year",2011,24,20,-1,5,0.8333,0.1667,2013,2007
"1004","Old Redford Academy (82956)","4-Year",2013,161,144,6,11,0.8882,0.0683,2013,2009
"1005","Old Redford Academy (82956)","5-Year",2012,180,164,-1,17,0.9111,0.0889,2013,2008
"1006","Old Redford Academy (82956)","6-Year",2011,142,133,-1,10,0.9366,0.0634,2013,2007
"1007","Plymouth Educational Center Charter School (82904)","4-Year",2013,114,96,4,14,0.8421,0.1228,2013,2009
"1008","Plymouth Educational Center Charter School (82904)","5-Year",2012,116,112,-1,5,0.9569,0.0431,2013,2008
"1009","Riverside Academy (82975)","4-Year",2013,51,47,3,1,0.902,0.0196,2013,2009
"1010","Riverside Academy (82975)","5-Year",2012,51,51,-1,1,0.9804,0.0196,2013,2008
"1011","Riverside Academy (82975)","6-Year",2011,48,48,-1,1,0.9792,0.0208,2013,2007
"1012","Ross-Hill Academy (82948)","5-Year",2012,21,16,-1,6,0.7143,0.2381,2013,2008
"1013","Ross-Hill Academy (82948)","6-Year",2011,20,15,0,5,0.75,0.25,2013,2007
"1014","Star International Academy (82941)","4-Year",2013,78,72,1,5,0.9103,0.0641,2013,2009
"1015","Star International Academy (82941)","5-Year",2012,73,66,-1,8,0.9041,0.0959,2013,2008
"1016","Star International Academy (82941)","6-Year",2011,82,73,-1,10,0.8902,0.1098,2013,2007
"1017","Summit Academy North (82938)","4-Year",2013,141,135,0,6,0.9574,0.0355,2013,2009
"1018","Summit Academy North (82938)","5-Year",2012,139,136,-1,4,0.9784,0.0216,2013,2008
"1019","Summit Academy North (82938)","6-Year",2011,101,98,-1,4,0.9604,0.0396,2013,2007
"1020","Trillium Academy (82973)","4-Year",2013,38,34,3,1,0.8947,0.0263,2013,2009
"1021","Trillium Academy (82973)","5-Year",2012,49,49,0,0,1,0,2013,2008
"1022","Trillium Academy (82973)","6-Year",2011,45,44,0,1,0.9556,0.0222,2013,2007
"1023","Universal Academy (82950)","4-Year",2013,57,48,2,7,0.8421,0.1228,2013,2009
"1024","Universal Academy (82950)","5-Year",2012,45,44,-1,2,0.9556,0.0444,2013,2008
"1025","Universal Academy (82950)","6-Year",2011,34,34,-1,1,0.9706,0.0294,2013,2007
"1026","University Preparatory Academy (PSAD) (82702)","4-Year",2013,121,114,5,2,0.9339,0.0165,2013,2009
"1027","University Preparatory Academy (PSAD) (82702)","5-Year",2012,127,121,-1,7,0.9449,0.0551,2013,2008
"1028","University Preparatory Academy (PSAD) (82702)","6-Year",2011,119,118,0,1,0.9832,0.0084,2013,2007
"1029","Vista Meadows Academy (82716)","4-Year",2013,39,18,13,8,0.4359,0.2051,2013,2009
"1030","Vista Meadows Academy (82716)","5-Year",2012,27,19,0,8,0.6667,0.2593,2013,2008
"1031","Vista Meadows Academy (82716)","6-Year",2011,20,10,1,9,0.5,0.45,2013,2007
"1032","Voyageur Academy (82940)","4-Year",2013,92,81,5,6,0.8804,0.0652,2013,2009
"1033","Voyageur Academy (82940)","5-Year",2012,90,73,-1,18,0.8111,0.1889,2013,2008
"1034","Voyageur Academy (82940)","6-Year",2011,98,91,-1,8,0.9184,0.0816,2013,2007
"1035","W-A-Y Academy (82746)","4-Year",2013,69,7,46,16,0.087,0.2174,2013,2009
"1036","W-A-Y Academy (82746)","5-Year",2012,25,3,18,4,0.12,0.16,2013,2008
"1037","W-A-Y Academy (82746)","6-Year",2011,16,2,10,4,0.125,0.25,2013,2007
"1038","Allen Park Public Schools (82020)","4-Year",2014,353,299,24,30,0.847,0.0822,2014,2010
"1039","Allen Park Public Schools (82020)","5-Year",2013,307,281,1,25,0.9121,0.0782,2014,2009
"1040","Allen Park Public Schools (82020)","6-Year",2012,365,325,2,38,0.8904,0.1041,2014,2008
"1041","Crestwood School District (82230)","4-Year",2014,323,295,18,10,0.9133,0.0279,2014,2010
"1042","Crestwood School District (82230)","5-Year",2013,293,285,2,6,0.9693,0.0171,2014,2009
"1043","Crestwood School District (82230)","6-Year",2012,283,266,-1,18,0.9364,0.0636,2014,2008
"1044","Dearborn City School District (82030)","4-Year",2014,1433,1247,89,97,0.8702,0.067,2014,2010
"1045","Dearborn City School District (82030)","5-Year",2013,1468,1319,30,119,0.8985,0.0804,2014,2009
"1046","Dearborn City School District (82030)","6-Year",2012,1370,1210,12,148,0.8832,0.1073,2014,2008
"1047","Dearborn Heights School District #7 (82040)","4-Year",2014,198,137,37,24,0.6919,0.1162,2014,2010
"1048","Dearborn Heights School District #7 (82040)","5-Year",2013,184,147,4,33,0.7989,0.1793,2014,2009
"1049","Dearborn Heights School District #7 (82040)","6-Year",2012,184,159,-1,26,0.8587,0.1359,2014,2008
"1050","Detroit City School District (82010)","4-Year",2014,3309,2352,351,606,0.7105,0.1831,2014,2010
"1051","Detroit City School District (82010)","5-Year",2013,4031,2840,238,953,0.7043,0.2362,2014,2009
"1052","Detroit City School District (82010)","6-Year",2012,5487,4015,162,1310,0.7317,0.2386,2014,2008
"1053","Ecorse Public Schools (82250)","4-Year",2014,115,73,17,25,0.6261,0.2087,2014,2010
"1054","Ecorse Public Schools (82250)","5-Year",2013,138,89,7,42,0.6449,0.3043,2014,2009
"1055","Ecorse Public Schools (82250)","6-Year",2012,138,100,3,35,0.7174,0.2536,2014,2008
"1056","Flat Rock Community Schools (82180)","4-Year",2014,130,113,8,9,0.8692,0.0692,2014,2010
"1057","Flat Rock Community Schools (82180)","5-Year",2013,152,141,0,11,0.9211,0.0658,2014,2009
"1058","Flat Rock Community Schools (82180)","6-Year",2012,121,112,-1,10,0.9174,0.0744,2014,2008
"1059","Garden City Public Schools (82050)","4-Year",2014,540,363,103,74,0.6704,0.137,2014,2010
"1060","Garden City Public Schools (82050)","5-Year",2013,627,461,42,124,0.7337,0.1962,2014,2009
"1061","Garden City Public Schools (82050)","6-Year",2012,608,468,23,117,0.7697,0.1908,2014,2008
"1062","Gibraltar School District (82290)","4-Year",2014,287,246,23,18,0.8537,0.0627,2014,2010
"1063","Gibraltar School District (82290)","5-Year",2013,286,257,3,26,0.8986,0.0909,2014,2009
"1064","Gibraltar School District (82290)","6-Year",2012,284,270,-1,15,0.9472,0.0528,2014,2008
"1065","Grosse Ile Township Schools (82300)","4-Year",2014,163,154,5,4,0.9387,0.0245,2014,2010
"1066","Grosse Ile Township Schools (82300)","5-Year",2013,156,153,-1,4,0.9744,0.0256,2014,2009
"1067","Grosse Ile Township Schools (82300)","6-Year",2012,164,164,0,0,1,0,2014,2008
"1068","Grosse Pointe Public Schools (82055)","4-Year",2014,750,708,27,15,0.9427,0.0187,2014,2010
"1069","Grosse Pointe Public Schools (82055)","5-Year",2013,732,696,16,20,0.9495,0.026,2014,2009
"1070","Grosse Pointe Public Schools (82055)","6-Year",2012,729,703,10,16,0.963,0.0219,2014,2008
"1071","Hamtramck, School District of the City of (82060)","4-Year",2014,311,196,36,79,0.6302,0.254,2014,2010
"1072","Hamtramck, School District of the City of (82060)","5-Year",2013,315,188,10,117,0.5937,0.3714,2014,2009
"1073","Hamtramck, School District of the City of (82060)","6-Year",2012,220,141,2,77,0.6409,0.35,2014,2008
"1074","Harper Woods, The School District of the City of (82320)","4-Year",2014,248,119,73,56,0.4798,0.2218,2014,2010
"1075","Harper Woods, The School District of the City of (82320)","5-Year",2013,248,134,37,77,0.5363,0.3065,2014,2009
"1076","Harper Woods, The School District of the City of (82320)","6-Year",2012,211,158,12,41,0.7488,0.1943,2014,2008
"1077","Highland Park City Schools (82070)","5-Year",2013,33,2,-1,32,0.0606,0.9394,2014,2009
"1078","Highland Park City Schools (82070)","6-Year",2012,148,76,-1,73,0.5068,0.4865,2014,2008
"1079","Huron School District (82340)","4-Year",2014,187,162,22,3,0.8663,0.016,2014,2010
"1080","Huron School District (82340)","5-Year",2013,197,187,2,8,0.9442,0.0406,2014,2009
"1081","Huron School District (82340)","6-Year",2012,186,173,2,11,0.9301,0.0538,2014,2008
"1082","Lincoln Park, School District of the City of (82090)","4-Year",2014,314,247,33,34,0.7866,0.1051,2014,2010
"1083","Lincoln Park, School District of the City of (82090)","5-Year",2013,344,281,20,43,0.814,0.1221,2014,2009
"1084","Lincoln Park, School District of the City of (82090)","6-Year",2012,309,263,9,37,0.8511,0.1197,2014,2008
"1085","Livonia Public Schools School District (82095)","4-Year",2014,1343,1216,73,54,0.9054,0.0395,2014,2010
"1086","Livonia Public Schools School District (82095)","5-Year",2013,1444,1341,41,62,0.928,0.0429,2014,2009
"1087","Livonia Public Schools School District (82095)","6-Year",2012,1415,1297,59,59,0.9166,0.041,2014,2008
"1088","Melvindale-North Allen Park Schools (82045)","4-Year",2014,219,204,10,5,0.9315,0.0183,2014,2010
"1089","Melvindale-North Allen Park Schools (82045)","5-Year",2013,195,191,0,4,0.9744,0.0154,2014,2009
"1090","Melvindale-North Allen Park Schools (82045)","6-Year",2012,199,189,-1,11,0.9497,0.0503,2014,2008
"1091","Northville Public Schools (82390)","4-Year",2014,600,567,28,5,0.945,0.0083,2014,2010
"1092","Northville Public Schools (82390)","5-Year",2013,555,531,18,6,0.955,0.0108,2014,2009
"1093","Northville Public Schools (82390)","6-Year",2012,505,483,17,5,0.9564,0.0099,2014,2008
"1094","Plymouth-Canton Community Schools (82100)","4-Year",2014,1557,1378,126,53,0.885,0.034,2014,2010
"1095","Plymouth-Canton Community Schools (82100)","5-Year",2013,1652,1497,52,103,0.9056,0.0623,2014,2009
"1096","Plymouth-Canton Community Schools (82100)","6-Year",2012,1567,1416,41,110,0.903,0.0696,2014,2008
"1097","Redford Union Schools, District No. 1 (82110)","4-Year",2014,343,213,85,45,0.6181,0.1283,2014,2010
"1098","Redford Union Schools, District No. 1 (82110)","5-Year",2013,325,210,48,67,0.6431,0.2031,2014,2009
"1099","Redford Union Schools, District No. 1 (82110)","6-Year",2012,342,226,33,83,0.6579,0.2398,2014,2008
"1100","River Rouge, School District of the City of (82120)","4-Year",2014,179,132,19,28,0.7374,0.1564,2014,2010
"1101","River Rouge, School District of the City of (82120)","5-Year",2013,115,92,0,23,0.8,0.2,2014,2009
"1102","River Rouge, School District of the City of (82120)","6-Year",2012,131,87,2,42,0.6641,0.3206,2014,2008
"1103","Riverview Community School District (82400)","4-Year",2014,231,222,5,4,0.961,0.013,2014,2010
"1104","Riverview Community School District (82400)","5-Year",2013,228,224,-1,5,0.9781,0.0219,2014,2009
"1105","Riverview Community School District (82400)","6-Year",2012,200,189,1,10,0.945,0.05,2014,2008
"1106","Romulus Community Schools (82130)","4-Year",2014,284,204,43,37,0.7148,0.1268,2014,2010
"1107","Romulus Community Schools (82130)","5-Year",2013,278,195,30,53,0.7014,0.1906,2014,2009
"1108","Romulus Community Schools (82130)","6-Year",2012,341,258,22,61,0.7537,0.176,2014,2008
"1109","School District of the City of Inkster (82080)","4-Year",2014,42,5,2,35,0.119,0.8333,2014,2010
"1110","School District of the City of Inkster (82080)","5-Year",2013,270,209,-1,62,0.7704,0.2296,2014,2009
"1111","School District of the City of Inkster (82080)","6-Year",2012,366,277,1,88,0.7568,0.2404,2014,2008
"1112","South Redford School District (82140)","4-Year",2014,235,214,10,11,0.9106,0.0426,2014,2010
"1113","South Redford School District (82140)","5-Year",2013,251,231,5,15,0.9203,0.0558,2014,2009
"1114","South Redford School District (82140)","6-Year",2012,271,245,0,26,0.9004,0.0923,2014,2008
"1115","Southgate Community School District (82405)","4-Year",2014,638,322,145,171,0.5047,0.268,2014,2010
"1116","Southgate Community School District (82405)","5-Year",2013,747,331,108,308,0.4431,0.411,2014,2009
"1117","Southgate Community School District (82405)","6-Year",2012,869,416,74,379,0.4776,0.435,2014,2008
"1118","Taylor School District (82150)","4-Year",2014,626,436,109,81,0.6949,0.1278,2014,2010
"1119","Taylor School District (82150)","5-Year",2013,609,495,40,74,0.8128,0.1199,2014,2009
"1120","Taylor School District (82150)","6-Year",2012,662,500,21,141,0.7538,0.2115,2014,2008
"1121","Trenton Public Schools (82155)","4-Year",2014,224,218,4,2,0.9732,0.0045,2014,2010
"1122","Trenton Public Schools (82155)","5-Year",2013,220,210,5,5,0.9545,0.0182,2014,2009
"1123","Trenton Public Schools (82155)","6-Year",2012,234,222,3,9,0.9487,0.0342,2014,2008
"1124","Van Buren Public Schools (82430)","4-Year",2014,428,355,29,44,0.8294,0.1005,2014,2010
"1125","Van Buren Public Schools (82430)","5-Year",2013,417,354,6,57,0.8489,0.1343,2014,2009
"1126","Van Buren Public Schools (82430)","6-Year",2012,416,356,1,59,0.8534,0.1418,2014,2008
"1127","Wayne-Westland Community School District (82160)","4-Year",2014,1004,746,124,134,0.743,0.1325,2014,2010
"1128","Wayne-Westland Community School District (82160)","5-Year",2013,1005,754,59,192,0.7493,0.191,2014,2009
"1129","Wayne-Westland Community School District (82160)","6-Year",2012,1057,801,32,224,0.7569,0.2119,2014,2008
"1130","Westwood Community School District (82240)","4-Year",2014,372,151,120,101,0.4059,0.2715,2014,2010
"1131","Westwood Community School District (82240)","5-Year",2013,516,221,91,204,0.4264,0.3953,2014,2009
"1132","Westwood Community School District (82240)","6-Year",2012,466,212,31,223,0.4549,0.4785,2014,2008
"1133","Woodhaven-Brownstown School District (82365)","4-Year",2014,346,270,50,26,0.7803,0.0723,2014,2010
"1134","Woodhaven-Brownstown School District (82365)","5-Year",2013,427,356,25,46,0.8337,0.1054,2014,2009
"1135","Woodhaven-Brownstown School District (82365)","6-Year",2012,374,323,6,45,0.8636,0.1203,2014,2008
"1136","Wyandotte, School District of the City of (82170)","4-Year",2014,371,288,62,21,0.7736,0.0566,2014,2010
"1137","Wyandotte, School District of the City of (82170)","5-Year",2013,337,294,31,12,0.8724,0.0356,2014,2009
"1138","Wyandotte, School District of the City of (82170)","6-Year",2012,307,255,32,20,0.8274,0.0619,2014,2008
"1139","Academy for Business and Technology (82921)","4-Year",2014,54,44,4,6,0.7963,0.0926,2014,2010
"1140","Academy for Business and Technology (82921)","5-Year",2013,70,60,-1,11,0.8571,0.1429,2014,2009
"1141","Academy for Business and Technology (82921)","6-Year",2012,70,65,-1,6,0.9143,0.0857,2014,2008
"1142","Advanced Technology Academy (63914)","4-Year",2014,104,94,4,6,0.9038,0.0481,2014,2010
"1143","Advanced Technology Academy (63914)","5-Year",2013,112,109,-1,4,0.9732,0.0268,2014,2009
"1144","Advanced Technology Academy (63914)","6-Year",2012,95,89,2,4,0.9368,0.0421,2014,2008
"1145","Aisha Shule/WEB Dubois Prep. Academy School (82903)","5-Year",2013,16,12,0,4,0.75,0.25,2014,2009
"1146","Aisha Shule/WEB Dubois Prep. Academy School (82903)","6-Year",2012,24,17,-1,8,0.7083,0.2917,2014,2008
"1147","Allen Academy (82955)","4-Year",2014,66,57,3,6,0.8485,0.0758,2014,2010
"1148","Allen Academy (82955)","5-Year",2013,38,32,-1,7,0.8421,0.1579,2014,2009
"1149","Allen Academy (82955)","6-Year",2012,49,48,-1,2,0.9592,0.0408,2014,2008
"1150","Casa Richard Academy (82902)","4-Year",2014,23,12,4,7,0.5217,0.3043,2014,2010
"1151","Casa Richard Academy (82902)","5-Year",2013,30,19,2,9,0.6333,0.3,2014,2009
"1152","Casa Richard Academy (82902)","6-Year",2012,34,19,1,14,0.5588,0.3824,2014,2008
"1153","Cesar Chavez Academy (82918)","4-Year",2014,186,152,16,18,0.8172,0.0914,2014,2010
"1154","Cesar Chavez Academy (82918)","5-Year",2013,153,134,2,17,0.8693,0.1111,2014,2009
"1155","Cesar Chavez Academy (82918)","6-Year",2012,139,120,0,19,0.8633,0.1295,2014,2008
"1156","Chandler Park Academy (82923)","4-Year",2014,147,146,-1,2,0.9864,0.0136,2014,2010
"1157","Chandler Park Academy (82923)","5-Year",2013,146,140,-1,7,0.9521,0.0479,2014,2009
"1158","Chandler Park Academy (82923)","6-Year",2012,132,118,-1,15,0.8939,0.1061,2014,2008
"1159","Covenant House Academy Detroit (82991)","4-Year",2014,277,34,136,107,0.1227,0.3827,2014,2010
"1160","Covenant House Academy Detroit (82991)","5-Year",2013,346,55,112,179,0.1561,0.5173,2014,2009
"1161","Covenant House Academy Detroit (82991)","6-Year",2012,261,55,69,137,0.2069,0.5211,2014,2008
"1162","Covenant House Academy East (82990)","4-Year",2014,12,0,0,12,0,0.9167,2014,2010
"1163","Covenant House Academy East (82990)","5-Year",2013,64,12,0,52,0.1875,0.7969,2014,2009
"1164","Covenant House Academy East (82990)","6-Year",2012,94,26,2,66,0.266,0.7021,2014,2008
"1165","Covenant House Academy Southwest (82989)","4-Year",2014,38,3,3,32,0.0789,0.8421,2014,2010
"1166","Covenant House Academy Southwest (82989)","5-Year",2013,79,9,4,66,0.1139,0.8354,2014,2009
"1167","Covenant House Academy Southwest (82989)","6-Year",2012,106,18,3,85,0.1698,0.7925,2014,2008
"1168","Detroit Academy of Arts and Sciences (82929)","6-Year",2012,19,1,-1,19,0.0526,0.9474,2014,2008
"1169","Detroit Community Schools (82925)","4-Year",2014,111,89,15,7,0.7928,0.0541,2014,2010
"1170","Detroit Community Schools (82925)","5-Year",2013,119,107,1,11,0.8908,0.0924,2014,2009
"1171","Detroit Community Schools (82925)","6-Year",2012,128,112,0,16,0.875,0.125,2014,2008
"1172","Detroit Edison Public School Academy (82945)","4-Year",2014,96,92,2,2,0.9583,0.0208,2014,2010
"1173","Detroit Midtown Academy (82964)","6-Year",2012,86,72,3,11,0.8256,0.1279,2014,2008
"1174","Frontier International Academy (82987)","4-Year",2014,87,74,11,2,0.8391,0.0115,2014,2010
"1175","Frontier International Academy (82987)","5-Year",2013,73,72,-1,2,0.9863,0.0137,2014,2009
"1176","Frontier International Academy (82987)","6-Year",2012,53,51,-1,3,0.9434,0.0566,2014,2008
"1177","George Crockett Academy (82937)","6-Year",2012,11,9,-1,3,0.7273,0.2727,2014,2008
"1178","HEART Academy (82927)","4-Year",2014,18,13,3,2,0.7222,0.1111,2014,2010
"1179","HEART Academy (82927)","5-Year",2013,25,22,0,3,0.88,0.12,2014,2009
"1180","HEART Academy (82927)","6-Year",2012,45,41,-1,5,0.9111,0.0889,2014,2008
"1181","Henry Ford Academy (82926)","4-Year",2014,112,105,3,4,0.9375,0.0357,2014,2010
"1182","Henry Ford Academy (82926)","5-Year",2013,118,117,-1,2,0.9915,0.0085,2014,2009
"1183","Henry Ford Academy (82926)","6-Year",2012,101,98,-1,4,0.9604,0.0396,2014,2008
"1184","Henry Ford Academy: School for Creative Studies (PSAD) (82703)","4-Year",2014,88,76,4,8,0.8523,0.0909,2014,2010
"1185","Henry Ford Academy: School for Creative Studies (PSAD) (82703)","5-Year",2013,87,75,1,11,0.8506,0.1264,2014,2009
"1186","Highland Park Public School Academy System (82749)","4-Year",2014,54,42,6,6,0.7593,0.1111,2014,2010
"1187","Highland Park Public School Academy System (82749)","5-Year",2013,84,67,1,16,0.7976,0.1786,2014,2009
"1188","Highland Park Public School Academy System (82749)","6-Year",2012,17,6,1,10,0.3529,0.5882,2014,2008
"1189","Hope of Detroit Academy (82957)","6-Year",2012,14,11,-1,4,0.7143,0.2857,2014,2008
"1190","Life Skills Center of Metropolitan Detroit (82978)","5-Year",2013,11,0,0,11,0,1,2014,2009
"1191","Marvin L. Winans Academy of Performing Arts (82924)","4-Year",2014,63,54,-1,10,0.8413,0.1429,2014,2010
"1192","Marvin L. Winans Academy of Performing Arts (82924)","5-Year",2013,35,30,-1,6,0.8286,0.1714,2014,2009
"1193","Marvin L. Winans Academy of Performing Arts (82924)","6-Year",2012,40,36,0,4,0.9,0.1,2014,2008
"1194","Oakland International Academy (63912)","4-Year",2014,51,43,-1,9,0.8431,0.1569,2014,2010
"1195","Oakland International Academy (63912)","5-Year",2013,31,26,1,4,0.8387,0.129,2014,2009
"1196","Oakland International Academy (63912)","6-Year",2012,22,22,0,0,1,0,2014,2008
"1197","Old Redford Academy (82956)","4-Year",2014,177,141,25,11,0.791,0.0621,2014,2010
"1198","Old Redford Academy (82956)","5-Year",2013,157,145,1,11,0.9172,0.0637,2014,2009
"1199","Old Redford Academy (82956)","6-Year",2012,180,164,1,15,0.9111,0.0833,2014,2008
"1200","Plymouth Educational Center Charter School (82904)","4-Year",2014,101,88,6,7,0.8614,0.0693,2014,2010
"1201","Plymouth Educational Center Charter School (82904)","5-Year",2013,111,99,0,12,0.8829,0.1081,2014,2009
"1202","Plymouth Educational Center Charter School (82904)","6-Year",2012,116,112,-1,5,0.9569,0.0431,2014,2008
"1203","Riverside Academy (82975)","4-Year",2014,68,63,2,3,0.9118,0.0441,2014,2010
"1204","Riverside Academy (82975)","5-Year",2013,52,49,0,3,0.9231,0.0385,2014,2009
"1205","Riverside Academy (82975)","6-Year",2012,51,51,-1,1,0.9804,0.0196,2014,2008
"1206","Ross-Hill Academy (82948)","6-Year",2012,20,15,0,5,0.75,0.25,2014,2008
"1207","Star International Academy (82941)","4-Year",2014,70,68,0,2,0.9714,0.0143,2014,2010
"1208","Star International Academy (82941)","5-Year",2013,75,72,-1,4,0.9467,0.0533,2014,2009
"1209","Star International Academy (82941)","6-Year",2012,72,67,-1,6,0.9167,0.0833,2014,2008
"1210","Summit Academy North (82938)","4-Year",2014,170,162,4,4,0.9529,0.0235,2014,2010
"1211","Summit Academy North (82938)","5-Year",2013,139,135,-1,5,0.9712,0.0288,2014,2009
"1212","Summit Academy North (82938)","6-Year",2012,139,136,-1,4,0.9784,0.0216,2014,2008
"1213","Trillium Academy (82973)","4-Year",2014,45,40,3,2,0.8667,0.0444,2014,2010
"1214","Trillium Academy (82973)","5-Year",2013,36,35,-1,2,0.9722,0.0278,2014,2009
"1215","Trillium Academy (82973)","6-Year",2012,50,49,0,1,0.98,0.02,2014,2008
"1216","Universal Academy (82950)","4-Year",2014,58,51,2,5,0.8793,0.0862,2014,2010
"1217","Universal Academy (82950)","5-Year",2013,55,49,-1,7,0.8909,0.1091,2014,2009
"1218","Universal Academy (82950)","6-Year",2012,45,44,-1,2,0.9556,0.0444,2014,2008
"1219","University Preparatory Academy (PSAD) (82702)","4-Year",2014,132,115,9,8,0.8712,0.0606,2014,2010
"1220","University Preparatory Academy (PSAD) (82702)","5-Year",2013,119,116,-1,4,0.9664,0.0336,2014,2009
"1221","University Preparatory Academy (PSAD) (82702)","6-Year",2012,127,121,-1,7,0.9449,0.0551,2014,2008
