"","ENROLL_YEAR","ZIP","NUM_SCHOOLS","NUM_COHORT","NUM_GRADUATES","NUM_DROPOUTS","COHORT_GRAD_YEAR","GRAD_RATE","DROP_RATE"
"376",2009,48229,1,138,92,43,2013,0.666666666666667,0.311594202898551
"377",2010,48229,1,115,77,28,2014,0.669565217391304,0.243478260869565
"378",2011,48229,1,109,60,26,2015,0.55045871559633,0.238532110091743
"379",2003,48230,1,760,739,19,2007,0.972368421052632,0.025
"380",2004,48230,1,844,813,19,2008,0.963270142180095,0.0225118483412322
"381",2005,48230,1,792,763,17,2009,0.963383838383838,0.0214646464646465
"382",2006,48230,1,771,737,24,2010,0.955901426718547,0.0311284046692607
"383",2007,48230,1,749,715,24,2011,0.954606141522029,0.0320427236315087
"384",2008,48230,1,739,703,16,2012,0.95128552097429,0.0216508795669824
"385",2009,48230,1,733,696,20,2013,0.949522510231924,0.0272851296043656
"386",2010,48230,1,750,714,18,2014,0.952,0.024
"387",2011,48230,1,732,696,8,2015,0.950819672131147,0.0109289617486339
"388",2003,48234,1,74,61,13,2007,0.824324324324324,0.175675675675676
"389",2004,48234,1,68,60,10,2008,0.882352941176471,0.147058823529412
"390",2005,48234,1,88,75,13,2009,0.852272727272727,0.147727272727273
"391",2006,48234,1,45,40,6,2010,0.888888888888889,0.133333333333333
"392",2007,48234,1,45,44,2,2011,0.977777777777778,0.0444444444444444
"393",2008,48234,1,40,36,4,2012,0.9,0.1
"394",2009,48234,1,35,30,6,2013,0.857142857142857,0.171428571428571
"395",2010,48234,1,63,54,10,2014,0.857142857142857,0.158730158730159
"396",2011,48234,1,39,35,3,2015,0.897435897435897,0.0769230769230769
"397",2003,48235,1,32,18,14,2007,0.5625,0.4375
"398",2004,48235,1,33,8,25,2008,0.242424242424242,0.757575757575758
"399",2005,48235,1,82,59,19,2009,0.719512195121951,0.231707317073171
"400",2006,48235,1,71,60,11,2010,0.845070422535211,0.154929577464789
"401",2007,48235,1,72,57,14,2011,0.791666666666667,0.194444444444444
"402",2008,48235,1,95,72,12,2012,0.757894736842105,0.126315789473684
"403",2011,48235,1,94,89,3,2015,0.946808510638298,0.0319148936170213
"404",2003,48239,2,293,239,55,2007,0.815699658703072,0.187713310580205
"405",2004,48239,2,341,276,54,2008,0.809384164222874,0.158357771260997
"406",2005,48239,2,344,287,42,2009,0.834302325581395,0.122093023255814
"407",2006,48239,2,360,297,52,2010,0.825,0.144444444444444
"408",2007,48239,1,251,219,27,2011,0.872509960159363,0.107569721115538
"409",2008,48239,1,279,245,26,2012,0.878136200716846,0.0931899641577061
"410",2009,48239,1,253,231,15,2013,0.91304347826087,0.0592885375494071
"411",2010,48239,1,238,221,13,2014,0.928571428571429,0.0546218487394958
"412",2011,48239,1,251,213,18,2015,0.848605577689243,0.0717131474103586
"413",2003,48240,1,333,256,77,2007,0.768768768768769,0.231231231231231
"414",2004,48240,1,342,254,81,2008,0.742690058479532,0.236842105263158
"415",2005,48240,1,380,279,70,2009,0.734210526315789,0.184210526315789
"416",2006,48240,1,337,269,61,2010,0.798219584569733,0.181008902077151
"417",2007,48240,1,314,237,68,2011,0.754777070063694,0.21656050955414
"418",2008,48240,1,342,226,83,2012,0.660818713450292,0.242690058479532
"419",2009,48240,1,339,221,109,2013,0.651917404129793,0.321533923303835
"420",2010,48240,2,386,244,86,2014,0.632124352331606,0.22279792746114
"421",2011,48240,2,330,168,48,2015,0.509090909090909,0.145454545454545
