"","ENROLL_YEAR","ZIP","NUM_SCHOOLS","NUM_COHORT","NUM_GRADUATES","NUM_DROPOUTS","COHORT_GRAD_YEAR","GRAD_RATE","DROP_RATE"
"75",2009,48127,3,412,377,28,2013,0.91504854368932,0.0679611650485437
"76",2010,48127,3,421,393,24,2014,0.933491686460808,0.0570071258907363
"77",2011,48127,3,444,413,14,2015,0.93018018018018,0.0315315315315315
"78",2003,48134,1,131,122,10,2007,0.931297709923664,0.0763358778625954
"79",2004,48134,1,138,113,26,2008,0.818840579710145,0.188405797101449
"80",2005,48134,1,139,108,24,2009,0.776978417266187,0.172661870503597
"81",2006,48134,1,143,118,22,2010,0.825174825174825,0.153846153846154
"82",2007,48134,1,137,119,10,2011,0.868613138686131,0.072992700729927
"83",2008,48134,1,124,112,10,2012,0.903225806451613,0.0806451612903226
"84",2009,48134,1,156,141,11,2013,0.903846153846154,0.0705128205128205
"85",2010,48134,1,130,114,13,2014,0.876923076923077,0.1
"86",2011,48134,1,152,133,8,2015,0.875,0.0526315789473684
"87",2003,48135,1,561,365,168,2007,0.650623885918004,0.299465240641711
"88",2004,48135,1,571,390,149,2008,0.683012259194396,0.260945709281961
"89",2005,48135,1,592,412,155,2009,0.695945945945946,0.261824324324324
"90",2006,48135,1,608,398,161,2010,0.654605263157895,0.264802631578947
"91",2007,48135,1,570,423,128,2011,0.742105263157895,0.224561403508772
"92",2008,48135,1,608,468,117,2012,0.769736842105263,0.192434210526316
"93",2009,48135,1,627,468,130,2013,0.746411483253589,0.207336523125997
"94",2010,48135,1,548,399,109,2014,0.728102189781022,0.198905109489051
"95",2011,48135,1,477,352,43,2015,0.737945492662474,0.090146750524109
"96",2003,48138,1,196,193,3,2007,0.98469387755102,0.0153061224489796
"97",2004,48138,1,183,179,5,2008,0.978142076502732,0.0273224043715847
"98",2005,48138,1,162,151,10,2009,0.932098765432099,0.0617283950617284
"99",2006,48138,1,142,138,3,2010,0.971830985915493,0.0211267605633803
"100",2007,48138,1,179,174,5,2011,0.972067039106145,0.0279329608938547
"101",2008,48138,1,167,164,2,2012,0.982035928143713,0.0119760479041916
"102",2009,48138,1,156,153,4,2013,0.980769230769231,0.0256410256410256
"103",2010,48138,1,164,154,7,2014,0.939024390243902,0.0426829268292683
"104",2011,48138,1,139,137,0,2015,0.985611510791367,0
"105",2003,48141,3,329,213,109,2007,0.64741641337386,0.331306990881459
"106",2004,48141,3,440,256,156,2008,0.581818181818182,0.354545454545455
"107",2005,48141,3,511,312,179,2009,0.610567514677104,0.350293542074364
"108",2006,48141,3,620,375,198,2010,0.604838709677419,0.319354838709677
"109",2007,48141,3,477,294,156,2011,0.616352201257862,0.327044025157233
"110",2008,48141,1,384,278,88,2012,0.723958333333333,0.229166666666667
"111",2009,48141,1,291,209,62,2013,0.718213058419244,0.213058419243986
"112",2010,48141,1,42,5,35,2014,0.119047619047619,0.833333333333333
"113",2011,48141,1,12,0,12,2015,0,1
"114",2003,48146,1,343,278,61,2007,0.810495626822157,0.177842565597668
"115",2004,48146,1,327,255,59,2008,0.779816513761468,0.180428134556575
"116",2005,48146,1,335,250,50,2009,0.746268656716418,0.149253731343284
"117",2006,48146,1,271,224,31,2010,0.826568265682657,0.114391143911439
"118",2007,48146,1,326,252,56,2011,0.773006134969325,0.171779141104294
"119",2008,48146,1,320,263,38,2012,0.821875,0.11875
"120",2009,48146,1,354,281,46,2013,0.793785310734463,0.129943502824859
"121",2010,48146,1,314,254,34,2014,0.808917197452229,0.10828025477707
"122",2011,48146,1,350,279,34,2015,0.797142857142857,0.0971428571428571
"123",2003,48154,1,1558,1434,84,2007,0.920410783055199,0.0539152759948652
"124",2004,48154,1,1540,1425,78,2008,0.925324675324675,0.0506493506493507
"125",2005,48154,1,1540,1401,96,2009,0.90974025974026,0.0623376623376623
"126",2006,48154,1,1589,1429,100,2010,0.899307740717432,0.0629326620516048
"127",2007,48154,1,1512,1352,104,2011,0.894179894179894,0.0687830687830688
"128",2008,48154,1,1440,1297,59,2012,0.900694444444444,0.0409722222222222
"129",2009,48154,1,1467,1347,62,2013,0.918200408997955,0.0422631220177232
"130",2010,48154,1,1343,1230,64,2014,0.915860014892033,0.0476545048399106
"131",2011,48154,1,1325,1212,41,2015,0.914716981132075,0.0309433962264151
"132",2003,48164,1,177,163,13,2007,0.92090395480226,0.0734463276836158
"133",2004,48164,1,205,181,21,2008,0.882926829268293,0.102439024390244
"134",2005,48164,1,225,201,13,2009,0.893333333333333,0.0577777777777778
"135",2006,48164,1,188,161,15,2010,0.856382978723404,0.0797872340425532
"136",2007,48164,1,206,179,18,2011,0.868932038834951,0.087378640776699
"137",2008,48164,1,196,173,11,2012,0.88265306122449,0.0561224489795918
"138",2009,48164,1,203,187,8,2013,0.921182266009852,0.0394088669950739
"139",2010,48164,1,187,168,10,2014,0.898395721925134,0.053475935828877
"140",2011,48164,1,218,193,12,2015,0.885321100917431,0.055045871559633
"141",2003,48167,1,504,474,6,2007,0.94047619047619,0.0119047619047619
"142",2004,48167,1,551,526,6,2008,0.954627949183303,0.0108892921960073
"143",2005,48167,1,583,563,9,2009,0.965694682675815,0.0154373927958834
"144",2006,48167,1,548,525,9,2010,0.958029197080292,0.0164233576642336
"145",2007,48167,1,595,566,6,2011,0.951260504201681,0.0100840336134454
"146",2008,48167,1,511,483,5,2012,0.945205479452055,0.00978473581213307
"147",2009,48167,1,559,531,9,2013,0.949910554561717,0.0161001788908766
"148",2010,48167,1,600,569,8,2014,0.948333333333333,0.0133333333333333
"149",2011,48167,1,557,533,10,2015,0.956912028725314,0.0179533213644524
"150",2003,48170,1,1441,1297,129,2007,0.900069396252602,0.0895211658570437
"151",2004,48170,1,1532,1371,124,2008,0.89490861618799,0.0809399477806789
"152",2005,48170,1,1516,1381,106,2009,0.910949868073879,0.0699208443271768
"153",2006,48170,1,1511,1372,114,2010,0.908007941760424,0.0754467240238253
"154",2007,48170,1,1609,1455,122,2011,0.904288377874456,0.0758234928527035
"155",2008,48170,1,1572,1416,110,2012,0.900763358778626,0.0699745547073791
"156",2009,48170,1,1653,1504,111,2013,0.909860859044162,0.0671506352087114
"157",2010,48170,1,1557,1417,87,2014,0.910083493898523,0.0558766859344894
"158",2011,48170,1,1518,1360,40,2015,0.895915678524374,0.0263504611330698
"159",2003,48174,2,516,402,87,2007,0.779069767441861,0.168604651162791
"160",2004,48174,2,570,435,108,2008,0.763157894736842,0.189473684210526
"161",2005,48174,2,591,450,106,2009,0.761421319796954,0.179357021996616
"162",2006,48174,2,502,395,84,2010,0.786852589641434,0.167330677290837
"163",2007,48174,2,541,403,109,2011,0.744916820702403,0.201478743068392
"164",2008,48174,2,480,395,65,2012,0.822916666666667,0.135416666666667
"165",2009,48174,2,420,334,72,2013,0.795238095238095,0.171428571428571
"166",2010,48174,2,454,377,65,2014,0.830396475770925,0.143171806167401
"167",2011,48174,2,374,301,37,2015,0.804812834224599,0.0989304812834225
"168",2003,48180,1,802,645,152,2007,0.804239401496259,0.189526184538653
"169",2004,48180,1,851,694,142,2008,0.81551116333725,0.166862514688602
"170",2005,48180,2,846,639,166,2009,0.75531914893617,0.196217494089835
