"","YEAR","ZIP","NUM_CRIMES"
"286","2009",48206,4431
"287","2010",48206,3788
"288","2011",48206,3434
"289","2012",48206,3608
"290","2013",48206,3293
"291","2014",48206,2999
"292","2015",48206,2987
"293","2016",48206,2683
"294","2017",48206,131
"295","2009",48207,4823
"296","2010",48207,4854
"297","2011",48207,4637
"298","2012",48207,4575
"299","2013",48207,4086
"300","2014",48207,3515
"301","2015",48207,3383
"302","2016",48207,3477
"303","2017",48207,219
"304","2009",48208,2911
"305","2010",48208,3055
"306","2011",48208,2786
"307","2012",48208,2905
"308","2013",48208,2825
"309","2014",48208,2551
"310","2015",48208,2616
"311","2016",48208,2481
"312","2017",48208,77
"313","2009",48209,6498
"314","2010",48209,6066
"315","2011",48209,5442
"316","2012",48209,4858
"317","2013",48209,4735
"318","2014",48209,4654
"319","2015",48209,4497
"320","2016",48209,4154
"321","2017",48209,216
"322","2009",48210,5390
"323","2010",48210,5324
"324","2011",48210,4850
"325","2012",48210,4495
"326","2013",48210,4308
"327","2014",48210,3889
"328","2015",48210,4034
"329","2016",48210,3551
"330","2017",48210,196
"331","2009",48211,2378
"332","2010",48211,2102
"333","2011",48211,2033
"334","2012",48211,1910
"335","2013",48211,1729
"336","2014",48211,1655
"337","2015",48211,1536
"338","2016",48211,1644
"339","2017",48211,79
"340","2009",48212,3391
"341","2010",48212,2921
"342","2011",48212,2723
"343","2012",48212,2394
"344","2013",48212,2346
"345","2014",48212,2307
"346","2015",48212,2298
"347","2016",48212,2469
"348","2017",48212,111
"349","2009",48213,9012
"350","2010",48213,7953
"351","2011",48213,6522
"352","2012",48213,6099
"353","2013",48213,5635
"354","2014",48213,5302
"355","2015",48213,5076
"356","2016",48213,4760
"357","2017",48213,249
"358","2009",48214,4170
"359","2010",48214,4120
"360","2011",48214,3534
"361","2012",48214,3370
"362","2013",48214,3285
"363","2014",48214,2851
"364","2015",48214,2914
"365","2016",48214,2905
"366","2017",48214,182
"367","2009",48215,2887
"368","2010",48215,2584
"369","2011",48215,2116
"370","2012",48215,2247
"371","2013",48215,2141
"372","2014",48215,1908
"373","2015",48215,1967
"374","2016",48215,2058
"375","2017",48215,104
"376","2009",48216,1850
"377","2010",48216,1677
"378","2011",48216,1648
"379","2012",48216,1652
"380","2013",48216,1680
"381","2014",48216,1677
"382","2015",48216,1496
"383","2016",48216,1364
"384","2017",48216,61
"385","2009",48217,1364
"386","2010",48217,1276
"387","2011",48217,1242
"388","2012",48217,1315
"389","2013",48217,1027
"390","2014",48217,966
"391","2015",48217,871
"392","2016",48217,859
"393","2017",48217,48
"394","2009",48218,17
"395","2010",48218,38
"396","2011",48218,18
"397","2012",48218,22
"398","2013",48218,17
"399","2014",48218,25
"400","2015",48218,14
"401","2016",48218,13
"402","2017",48218,1
"403","2009",48219,10007
"404","2010",48219,9227
"405","2011",48219,8399
"406","2012",48219,9114
"407","2013",48219,8723
"408","2014",48219,8628
"409","2015",48219,8563
"410","2016",48219,8197
"411","2017",48219,417
"412","2009",48220,54
"413","2010",48220,84
"414","2011",48220,84
"415","2012",48220,60
"416","2013",48220,93
"417","2014",48220,172
"418","2015",48220,195
"419","2016",48220,281
"420","2017",48220,17
"421","2009",48221,7382
"422","2010",48221,6852
"423","2011",48221,6716
"424","2012",48221,7103
"425","2013",48221,6959
"426","2014",48221,6183
"427","2015",48221,6388
"428","2016",48221,5813
"429","2017",48221,277
"430","2009",48223,5326
"431","2010",48223,4937
"432","2011",48223,4521
"433","2012",48223,4506
"434","2013",48223,4512
"435","2014",48223,4287
"436","2015",48223,3989
"437","2016",48223,3990
"438","2017",48223,233
"439","2009",48224,9544
"440","2010",48224,9134
"441","2011",48224,8313
"442","2012",48224,8776
"443","2013",48224,8442
"444","2014",48224,7774
"445","2015",48224,7310
"446","2016",48224,7435
"447","2017",48224,399
"448","2009",48225,455
"449","2010",48225,424
"450","2011",48225,402
"451","2012",48225,336
"452","2013",48225,304
"453","2014",48225,291
"454","2015",48225,302
"455","2016",48225,295
"456","2017",48225,15
"457","2009",48226,4889
"458","2010",48226,4290
"459","2011",48226,4373
"460","2012",48226,4098
"461","2013",48226,3554
"462","2014",48226,3359
"463","2015",48226,3380
"464","2016",48226,3400
"465","2017",48226,175
"466","2009",48227,10054
"467","2010",48227,9551
"468","2011",48227,8956
"469","2012",48227,8901
"470","2013",48227,8491
"471","2014",48227,7444
"472","2015",48227,8215
"473","2016",48227,7530
"474","2017",48227,426
"475","2009",48228,12658
"476","2010",48228,11710
"477","2011",48228,10895
"478","2012",48228,11651
"479","2013",48228,10963
"480","2014",48228,10453
"481","2015",48228,10672
"482","2016",48228,10116
"483","2017",48228,530
"484","2009",48229,137
"485","2010",48229,152
"486","2011",48229,91
"487","2012",48229,107
"488","2013",48229,56
"489","2014",48229,57
"490","2015",48229,74
"491","2016",48229,70
"492","2017",48229,1
"493","2009",48230,154
"494","2010",48230,169
"495","2011",48230,156
"496","2012",48230,140
"497","2013",48230,166
"498","2014",48230,172
"499","2015",48230,188
"500","2016",48230,218
"501","2017",48230,5
"502","2009",48234,9722
"503","2010",48234,9551
"504","2011",48234,9058
"505","2012",48234,8542
"506","2013",48234,7546
"507","2014",48234,7017
"508","2015",48234,6805
"509","2016",48234,6600
"510","2017",48234,363
"511","2009",48235,10386
"512","2010",48235,10447
"513","2011",48235,10088
"514","2012",48235,10664
"515","2013",48235,10295
"516","2014",48235,9684
"517","2015",48235,10451
"518","2016",48235,9745
"519","2017",48235,517
"520","2009",48236,1048
"521","2010",48236,988
"522","2011",48236,955
"523","2012",48236,979
"524","2013",48236,929
"525","2014",48236,862
"526","2015",48236,838
"527","2016",48236,877
"528","2017",48236,59
"529","2009",48237,47
"530","2010",48237,59
"531","2011",48237,61
"532","2012",48237,48
"533","2013",48237,42
"534","2014",48237,49
"535","2015",48237,43
"536","2016",48237,39
"537","2017",48237,2
"538","2009",48238,8320
"539","2010",48238,7562
"540","2011",48238,7199
"541","2012",48238,7137
"542","2013",48238,6493
"543","2014",48238,5906
"544","2015",48238,5937
"545","2016",48238,5239
