Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Statewide,4-Year,2009,"142,322","107,074","1,520","17,594","16,124",75.23%,11.33%
Statewide,5-Year,2008,"145,570","115,093","1,934","5,842","22,694",79.06%,15.59%
Statewide,6-Year,2007,"141,127","112,313","2,045","2,283","24,486",79.58%,17.35%
Allen Park Public Schools (82020),4-Year,2009,363,309,<10,22,27,85.12%,7.44%
Allen Park Public Schools (82020),5-Year,2008,371,326,20,<10,22,87.87%,5.93%
Allen Park Public Schools (82020),6-Year,2007,343,299,22,<10,22,87.17%,6.41%
Crestwood School District (82230),4-Year,2009,258,223,<10,15,19,86.43%,7.36%
Crestwood School District (82230),5-Year,2008,290,273,<10,<10,11,94.14%,3.79%
Crestwood School District (82230),6-Year,2007,265,241,<10,<10,20,90.94%,7.55%
Dearborn City School District (82030),4-Year,2009,"1,475","1,183",<10,143,143,80.20%,9.69%
Dearborn City School District (82030),5-Year,2008,"1,450","1,238",<10,28,176,85.38%,12.14%
Dearborn City School District (82030),6-Year,2007,"1,456","1,197",<10,<10,250,82.21%,17.17%
Dearborn Heights School District #7 (82040),4-Year,2009,161,128,<10,17,16,79.50%,9.94%
Dearborn Heights School District #7 (82040),5-Year,2008,155,121,<10,<10,32,78.06%,20.65%
Dearborn Heights School District #7 (82040),6-Year,2007,170,141,<10,<10,29,82.94%,17.06%
Detroit City School District (82010),4-Year,2009,"8,709","5,195",<10,"1,675","1,838",59.65%,21.10%
Detroit City School District (82010),5-Year,2008,"9,348","6,010",<10,535,"2,803",64.29%,29.99%
Detroit City School District (82010),6-Year,2007,"9,292","6,093",<10,207,"2,992",65.57%,32.20%
Ecorse Public Schools (82250),4-Year,2009,125,65,<10,29,31,52.00%,24.80%
Ecorse Public Schools (82250),5-Year,2008,140,71,<10,15,53,50.71%,37.86%
Ecorse Public Schools (82250),6-Year,2007,143,83,<10,<10,58,58.04%,40.56%
Flat Rock Community Schools (82180),4-Year,2009,139,106,<10,10,23,76.26%,16.55%
Flat Rock Community Schools (82180),5-Year,2008,138,112,<10,<10,26,81.16%,18.84%
Flat Rock Community Schools (82180),6-Year,2007,131,121,<10,<10,10,92.37%,7.63%
Garden City Public Schools (82050),4-Year,2009,560,323,<10,160,75,57.68%,13.39%
Garden City Public Schools (82050),5-Year,2008,566,374,<10,67,124,66.08%,21.91%
Garden City Public Schools (82050),6-Year,2007,561,365,<10,27,167,65.06%,29.77%
Gibraltar School District (82290),4-Year,2009,302,261,<10,22,18,86.42%,5.96%
Gibraltar School District (82290),5-Year,2008,267,247,<10,<10,20,92.51%,7.49%
Gibraltar School District (82290),6-Year,2007,228,203,<10,<10,25,89.04%,10.96%
Grosse Ile Township Schools (82300),4-Year,2009,162,144,<10,11,<10,88.89%,4.32%
Grosse Ile Township Schools (82300),5-Year,2008,183,178,<10,<10,<10,97.27%,2.19%
Grosse Ile Township Schools (82300),6-Year,2007,196,192,<10,<10,<10,97.96%,1.53%
Grosse Pointe Public Schools (82055),4-Year,2009,792,757,<10,18,13,95.58%,1.64%
Grosse Pointe Public Schools (82055),5-Year,2008,844,812,<10,<10,19,96.21%,2.25%
Grosse Pointe Public Schools (82055),6-Year,2007,760,738,<10,<10,19,97.11%,2.50%
"Hamtramck, School District of the City of (82060)",4-Year,2009,262,135,<10,62,65,51.53%,24.81%
"Hamtramck, School District of the City of (82060)",5-Year,2008,233,155,<10,11,67,66.52%,28.76%
"Hamtramck, School District of the City of (82060)",6-Year,2007,235,161,<10,<10,72,68.51%,30.64%
"Harper Woods, The School District of the City of (82320)",4-Year,2009,96,84,<10,<10,<10,87.50%,6.25%
"Harper Woods, The School District of the City of (82320)",5-Year,2008,92,80,<10,<10,11,86.96%,11.96%
"Harper Woods, The School District of the City of (82320)",6-Year,2007,91,82,<10,<10,<10,90.11%,9.89%
Highland Park City Schools (82070),4-Year,2009,584,214,<10,131,239,36.64%,40.92%
Highland Park City Schools (82070),5-Year,2008,751,294,<10,44,413,39.15%,54.99%
