Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Highland Park City Schools (82070),6-Year,2007,739,265,<10,16,458,35.86%,61.98%
Huron School District (82340),4-Year,2009,225,196,<10,13,11,87.11%,4.89%
Huron School District (82340),5-Year,2008,205,181,<10,<10,21,88.29%,10.24%
Huron School District (82340),6-Year,2007,177,163,<10,<10,13,92.09%,7.34%
"Lincoln Park, School District of the City of (82090)",4-Year,2009,335,236,<10,50,49,70.45%,14.63%
"Lincoln Park, School District of the City of (82090)",5-Year,2008,327,254,<10,13,58,77.68%,17.74%
"Lincoln Park, School District of the City of (82090)",6-Year,2007,343,277,<10,<10,61,80.76%,17.78%
Livonia Public Schools School District (82095),4-Year,2009,"1,536","1,364",<10,108,60,88.80%,3.91%
Livonia Public Schools School District (82095),5-Year,2008,"1,539","1,418",<10,41,76,92.14%,4.94%
Livonia Public Schools School District (82095),6-Year,2007,"1,558","1,433",13,28,84,91.98%,5.39%
Melvindale-North Allen Park Schools (82045),4-Year,2009,187,158,<10,10,19,84.49%,10.16%
Melvindale-North Allen Park Schools (82045),5-Year,2008,195,164,<10,<10,28,84.10%,14.36%
Melvindale-North Allen Park Schools (82045),6-Year,2007,181,157,<10,<10,24,86.74%,13.26%
Northville Public Schools (82390),4-Year,2009,583,562,<10,12,<10,96.40%,1.37%
Northville Public Schools (82390),5-Year,2008,548,525,<10,18,<10,95.80%,0.91%
Northville Public Schools (82390),6-Year,2007,504,473,<10,24,<10,93.85%,1.19%
Plymouth-Canton Community Schools (82100),4-Year,2009,"1,504","1,318",<10,125,56,87.63%,3.72%
Plymouth-Canton Community Schools (82100),5-Year,2008,"1,532","1,364",14,44,110,89.03%,7.18%
Plymouth-Canton Community Schools (82100),6-Year,2007,"1,441","1,296",10,<10,129,89.94%,8.95%
"Redford Union Schools, District No. 1 (82110)",4-Year,2009,380,259,<10,62,59,68.16%,15.53%
"Redford Union Schools, District No. 1 (82110)",5-Year,2008,342,252,<10,14,76,73.68%,22.22%
"Redford Union Schools, District No. 1 (82110)",6-Year,2007,333,255,<10,<10,77,76.58%,23.12%
"River Rouge, School District of the City of (82120)",4-Year,2009,119,78,<10,18,23,65.55%,19.33%
"River Rouge, School District of the City of (82120)",5-Year,2008,116,74,<10,<10,35,63.79%,30.17%
"River Rouge, School District of the City of (82120)",6-Year,2007,136,107,<10,<10,27,78.68%,19.85%
Riverview Community School District (82400),4-Year,2009,227,207,<10,<10,<10,91.19%,3.96%
Riverview Community School District (82400),5-Year,2008,231,218,<10,<10,12,94.37%,5.19%
Riverview Community School District (82400),6-Year,2007,232,219,<10,<10,12,94.40%,5.17%
Romulus Community Schools (82130),4-Year,2009,454,318,12,79,45,70.04%,9.91%
Romulus Community Schools (82130),5-Year,2008,452,337,15,23,77,74.56%,17.04%
Romulus Community Schools (82130),6-Year,2007,422,323,25,<10,70,76.54%,16.59%
School District of the City of Inkster (82080),4-Year,2009,343,182,<10,78,81,53.06%,23.62%
School District of the City of Inkster (82080),5-Year,2008,300,148,<10,27,118,49.33%,39.33%
School District of the City of Inkster (82080),6-Year,2007,233,128,<10,<10,95,54.94%,40.77%
South Redford School District (82140),4-Year,2009,271,230,<10,16,25,84.87%,9.23%
South Redford School District (82140),5-Year,2008,262,222,12,<10,27,84.73%,10.31%
South Redford School District (82140),6-Year,2007,227,206,<10,<10,20,90.75%,8.81%
Southgate Community School District (82405),4-Year,2009,780,381,21,169,209,48.85%,26.79%
Southgate Community School District (82405),5-Year,2008,912,457,<10,246,201,50.11%,22.04%
Southgate Community School District (82405),6-Year,2007,859,453,13,83,310,52.74%,36.09%
Taylor School District (82150),4-Year,2009,822,584,<10,118,120,71.05%,14.60%
Taylor School District (82150),5-Year,2008,851,693,<10,15,141,81.43%,16.57%
Taylor School District (82150),6-Year,2007,802,644,<10,<10,151,80.30%,18.83%
Trenton Public Schools (82155),4-Year,2009,220,199,<10,12,<10,90.45%,4.09%
Trenton Public Schools (82155),5-Year,2008,233,220,<10,<10,11,94.42%,4.72%
Trenton Public Schools (82155),6-Year,2007,247,238,<10,<10,<10,96.36%,3.64%
Van Buren Public Schools (82430),4-Year,2009,524,459,<10,12,51,87.60%,9.73%
Van Buren Public Schools (82430),5-Year,2008,578,506,<10,<10,68,87.54%,11.76%
Van Buren Public Schools (82430),6-Year,2007,520,460,<10,<10,57,88.46%,10.96%
Wayne-Westland Community School District (82160),4-Year,2009,"1,144",812,<10,186,144,70.98%,12.59%
Wayne-Westland Community School District (82160),5-Year,2008,"1,094",846,16,41,191,77.33%,17.46%
Wayne-Westland Community School District (82160),6-Year,2007,"1,079",839,13,14,213,77.76%,19.74%
Westwood Community School District (82240),4-Year,2009,251,134,<10,81,36,53.39%,14.34%
Westwood Community School District (82240),5-Year,2008,204,141,<10,10,53,69.12%,25.98%
Westwood Community School District (82240),6-Year,2007,199,136,<10,<10,60,68.34%,30.15%
Woodhaven-Brownstown School District (82365),4-Year,2009,423,352,<10,35,36,83.22%,8.51%
Woodhaven-Brownstown School District (82365),5-Year,2008,421,377,<10,<10,37,89.55%,8.79%
Woodhaven-Brownstown School District (82365),6-Year,2007,384,336,<10,<10,48,87.50%,12.50%
"Wyandotte, School District of the City of (82170)",4-Year,2009,361,282,<10,56,23,78.12%,6.37%
"Wyandotte, School District of the City of (82170)",5-Year,2008,361,292,<10,37,32,80.89%,8.86%
"Wyandotte, School District of the City of (82170)",6-Year,2007,408,340,<10,37,31,83.33%,7.60%
Academy for Business and Technology (82921),4-Year,2009,66,53,<10,<10,<10,80.30%,10.61%
Academy for Business and Technology (82921),5-Year,2008,80,61,<10,<10,16,76.25%,20.00%
Academy for Business and Technology (82921),6-Year,2007,58,41,<10,<10,17,70.69%,29.31%
Academy of Inkster (82961),4-Year,2009,53,42,<10,<10,<10,79.25%,5.66%
Academy of Inkster (82961),5-Year,2008,60,51,<10,<10,<10,85.00%,15.00%
Academy of Inkster (82961),6-Year,2007,35,29,<10,<10,<10,82.86%,17.14%
ACE Academy (SDA) (82998),4-Year,2009,55,<10,<10,25,28,3.64%,50.91%
ACE Academy (SDA) (82998),5-Year,2008,28,<10,<10,<10,12,17.86%,42.86%
ACE Academy (SDA) (82998),6-Year,2007,11,<10,<10,<10,<10,27.27%,54.55%
Advanced Technology Academy (63914),4-Year,2009,66,61,<10,<10,<10,92.42%,3.03%
Advanced Technology Academy (63914),5-Year,2008,67,62,<10,<10,<10,92.54%,5.97%
Advanced Technology Academy (63914),6-Year,2007,65,49,<10,<10,16,75.38%,24.62%
Aisha Shule/WEB Dubois Prep. Academy School (82903),4-Year,2009,29,18,<10,<10,<10,62.07%,17.24%
Aisha Shule/WEB Dubois Prep. Academy School (82903),5-Year,2008,31,21,<10,<10,<10,67.74%,29.03%
Aisha Shule/WEB Dubois Prep. Academy School (82903),6-Year,2007,20,18,<10,<10,<10,90.00%,10.00%
Allen Academy (82955),4-Year,2009,37,31,<10,<10,<10,83.78%,8.11%
Allen Academy (82955),5-Year,2008,32,<10,<10,<10,30,6.25%,93.75%
Allen Academy (82955),6-Year,2007,20,17,<10,<10,<10,85.00%,10.00%
Blanche Kelso Bruce Academy (82971),4-Year,2009,145,<10,<10,66,79,0.00%,54.48%
Blanche Kelso Bruce Academy (82971),5-Year,2008,107,<10,<10,14,93,0.00%,86.92%
Blanche Kelso Bruce Academy (82971),6-Year,2007,93,<10,<10,<10,90,0.00%,96.77%
Casa Richard Academy (82902),4-Year,2009,38,15,<10,<10,18,39.47%,47.37%
Casa Richard Academy (82902),5-Year,2008,40,<10,<10,<10,34,10.00%,85.00%
Casa Richard Academy (82902),6-Year,2007,40,21,<10,<10,19,52.50%,47.50%
Cesar Chavez Academy (82918),4-Year,2009,138,86,<10,<10,43,62.32%,31.16%
Cesar Chavez Academy (82918),5-Year,2008,115,79,<10,<10,34,68.70%,29.57%
Cesar Chavez Academy (82918),6-Year,2007,106,59,<10,<10,47,55.66%,44.34%
Charlotte Forten Academy (82936),4-Year,2009,56,18,<10,<10,37,32.14%,66.07%
Charlotte Forten Academy (82936),5-Year,2008,108,38,<10,<10,67,35.19%,62.04%
Charlotte Forten Academy (82936),6-Year,2007,108,54,<10,<10,54,50.00%,50.00%
Cherry Hill School of Performing Arts (82960),4-Year,2009,95,58,<10,<10,29,61.05%,30.53%
Cherry Hill School of Performing Arts (82960),5-Year,2008,76,57,<10,<10,18,75.00%,23.68%
Cherry Hill School of Performing Arts (82960),6-Year,2007,61,53,<10,<10,<10,86.89%,13.11%
Clara B. Ford Academy (SDA) (82996),4-Year,2009,41,<10,<10,13,22,14.63%,53.66%
Clara B. Ford Academy (SDA) (82996),5-Year,2008,23,<10,<10,<10,13,21.74%,56.52%
Clara B. Ford Academy (SDA) (82996),6-Year,2007,<10,<10,<10,<10,<10,0.00%,100.00%
Covenant House Academy Detroit (82991),4-Year,2009,194,<10,<10,92,93,4.64%,47.94%
Covenant House Academy Detroit (82991),5-Year,2008,160,19,<10,23,118,11.88%,73.75%
Covenant House Academy Detroit (82991),6-Year,2007,83,14,<10,<10,59,16.87%,71.08%
Covenant House Academy East (82990),4-Year,2009,193,20,<10,81,92,10.36%,47.67%
Covenant House Academy East (82990),5-Year,2008,201,28,<10,29,144,13.93%,71.64%
Covenant House Academy East (82990),6-Year,2007,166,49,<10,<10,110,29.52%,66.27%
Covenant House Academy Southwest (82989),4-Year,2009,168,<10,<10,62,99,4.17%,58.93%
Covenant House Academy Southwest (82989),5-Year,2008,185,30,<10,20,132,16.22%,71.35%
Covenant House Academy Southwest (82989),6-Year,2007,126,29,<10,<10,93,23.02%,73.81%
Detroit Academy of Arts and Sciences (82929),4-Year,2009,194,142,<10,15,37,73.20%,19.07%
Detroit Academy of Arts and Sciences (82929),5-Year,2008,175,151,<10,<10,23,86.29%,13.14%
Detroit Academy of Arts and Sciences (82929),6-Year,2007,161,135,<10,<10,26,83.85%,16.15%
Detroit Community Schools (82925),4-Year,2009,137,108,<10,<10,22,78.83%,16.06%
Detroit Community Schools (82925),5-Year,2008,112,103,<10,<10,<10,91.96%,6.25%
Detroit Community Schools (82925),6-Year,2007,102,89,<10,<10,12,87.25%,11.76%
Detroit Midtown Academy (82964),4-Year,2009,82,50,<10,17,15,60.98%,18.29%
Detroit Midtown Academy (82964),5-Year,2008,33,<10,<10,<10,24,21.21%,72.73%
Detroit Midtown Academy (82964),6-Year,2007,32,18,<10,<10,14,56.25%,43.75%
Frontier International Academy (82987),4-Year,2009,40,24,<10,10,<10,60.00%,12.50%
Frontier International Academy (82987),5-Year,2008,25,18,<10,<10,<10,72.00%,20.00%
Frontier International Academy (82987),6-Year,2007,<10,<10,<10,<10,<10,75.00%,25.00%
George Crockett Academy (82937),4-Year,2009,11,11,<10,<10,<10,100.00%,0.00%
George Crockett Academy (82937),5-Year,2008,<10,<10,<10,<10,<10,100.00%,0.00%
George Crockett Academy (82937),6-Year,2007,<10,<10,<10,<10,<10,87.50%,0.00%
HEART Academy (82927),4-Year,2009,31,25,<10,<10,<10,80.65%,12.90%
HEART Academy (82927),5-Year,2008,26,25,<10,<10,<10,96.15%,3.85%
HEART Academy (82927),6-Year,2007,43,39,<10,<10,<10,90.70%,9.30%
Henry Ford Academy (82926),4-Year,2009,106,96,<10,<10,<10,90.57%,2.83%
Henry Ford Academy (82926),5-Year,2008,116,111,<10,<10,<10,95.69%,3.45%
Henry Ford Academy (82926),6-Year,2007,109,104,<10,<10,<10,95.41%,4.59%
Hope of Detroit Academy (82957),4-Year,2009,17,12,<10,<10,<10,70.59%,23.53%
Hope of Detroit Academy (82957),5-Year,2008,<10,<10,<10,<10,<10,83.33%,16.67%
Hope of Detroit Academy (82957),6-Year,2007,12,<10,<10,<10,<10,75.00%,25.00%
Life Skills Center of Metropolitan Detroit (82978),4-Year,2009,209,15,<10,82,112,7.18%,53.59%
Life Skills Center of Metropolitan Detroit (82978),5-Year,2008,229,28,<10,27,174,12.23%,75.98%
Life Skills Center of Metropolitan Detroit (82978),6-Year,2007,233,52,<10,10,169,22.32%,72.53%
Marvin L. Winans Academy of Performing Arts (82924),4-Year,2009,88,74,<10,<10,12,84.09%,13.64%
Marvin L. Winans Academy of Performing Arts (82924),5-Year,2008,68,59,<10,<10,<10,86.76%,13.24%
Marvin L. Winans Academy of Performing Arts (82924),6-Year,2007,74,61,<10,<10,12,82.43%,16.22%
Michigan Health Academy (82917),4-Year,2009,40,32,<10,<10,<10,80.00%,15.00%
Michigan Health Academy (82917),5-Year,2008,39,31,<10,<10,<10,79.49%,20.51%
Michigan Health Academy (82917),6-Year,2007,28,20,<10,<10,<10,71.43%,28.57%
Michigan Technical Academy (82907),4-Year,2009,73,52,<10,<10,13,71.23%,17.81%
Michigan Technical Academy (82907),5-Year,2008,79,54,<10,<10,25,68.35%,31.65%
Michigan Technical Academy (82907),6-Year,2007,66,31,<10,<10,35,46.97%,53.03%
Oakland International Academy (63912),4-Year,2009,20,18,<10,<10,<10,90.00%,5.00%
Oakland International Academy (63912),5-Year,2008,15,12,<10,<10,<10,80.00%,20.00%
Oakland International Academy (63912),6-Year,2007,10,<10,<10,<10,<10,90.00%,10.00%
Old Redford Academy (82956),4-Year,2009,124,98,<10,<10,23,79.03%,18.55%
Old Redford Academy (82956),5-Year,2008,99,84,<10,<10,14,84.85%,14.14%
Old Redford Academy (82956),6-Year,2007,71,62,<10,<10,<10,87.32%,12.68%
Riverside Academy (82975),4-Year,2009,23,20,<10,<10,<10,86.96%,4.35%
Riverside Academy (82975),5-Year,2008,12,12,<10,<10,<10,100.00%,0.00%
Ross-Hill Academy (82948),4-Year,2009,21,12,<10,<10,<10,57.14%,33.33%
Ross-Hill Academy (82948),5-Year,2008,18,12,<10,<10,<10,66.67%,22.22%
Star International Academy (82941),4-Year,2009,51,48,<10,<10,<10,94.12%,5.88%
Star International Academy (82941),5-Year,2008,75,70,<10,<10,<10,93.33%,5.33%
Star International Academy (82941),6-Year,2007,53,46,<10,<10,<10,86.79%,13.21%
Summit Academy North (82938),4-Year,2009,109,83,<10,<10,17,76.15%,15.60%
Summit Academy North (82938),5-Year,2008,99,88,<10,<10,11,88.89%,11.11%
Summit Academy North (82938),6-Year,2007,94,78,<10,<10,16,82.98%,17.02%
Trillium Academy (82973),4-Year,2009,24,19,<10,<10,<10,79.17%,12.50%
Trillium Academy (82973),5-Year,2008,<10,<10,<10,<10,<10,50.00%,50.00%
Universal Academy (82950),4-Year,2009,31,26,<10,<10,<10,83.87%,6.45%
Universal Academy (82950),5-Year,2008,25,21,<10,<10,<10,84.00%,16.00%
Universal Academy (82950),6-Year,2007,25,20,<10,<10,<10,80.00%,20.00%
University Preparatory Academy (PSAD) (82702),4-Year,2009,135,123,<10,<10,<10,91.11%,3.70%
University Preparatory Academy (PSAD) (82702),5-Year,2008,122,122,<10,<10,<10,100.00%,0.00%
University Preparatory Academy (PSAD) (82702),6-Year,2007,138,128,<10,<10,<10,92.75%,6.52%
Vista Meadows Academy (82716),4-Year,2009,<10,<10,<10,<10,<10,11.11%,33.33%
Vista Meadows Academy (82716),5-Year,2008,<10,<10,<10,<10,<10,0.00%,100.00%
Voyageur Academy (82940),4-Year,2009,74,62,<10,<10,11,83.78%,14.86%
Voyageur Academy (82940),5-Year,2008,89,84,<10,<10,<10,94.38%,5.62%
Voyageur Academy (82940),6-Year,2007,71,66,<10,<10,<10,92.96%,7.04%
Weston Preparatory Academy (82943),4-Year,2009,60,44,<10,10,<10,73.33%,10.00%
Weston Preparatory Academy (82943),5-Year,2008,61,42,<10,<10,19,68.85%,31.15%
Weston Preparatory Academy (82943),6-Year,2007,63,45,<10,<10,17,71.43%,26.98%
Wayne RESA - District created from ISD (82000),4-Year,2009,17,<10,<10,<10,<10,N/A,47.06%
Wayne RESA - District created from ISD (82000),5-Year,2008,<10,<10,<10,<10,<10,N/A,85.71%
Some percentages may not add to 100% due to rounding.,,,,,,,,,
