Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Detroit Community Schools (82925),5-Year,2013,119,106,<10,<10,11,89.08%,9.24%
Detroit Community Schools (82925),6-Year,2012,128,112,<10,<10,16,87.50%,12.50%
Detroit Edison Public School Academy (82945),4-Year,2014,96,92,<10,<10,<10,95.83%,2.08%
Detroit Midtown Academy (82964),4-Year,2014,<10,<10,<10,<10,<10,N/A,N/A
Detroit Midtown Academy (82964),5-Year,2013,<10,<10,<10,<10,<10,N/A,N/A
Detroit Midtown Academy (82964),6-Year,2012,86,71,<10,<10,11,82.56%,12.79%
Experiencia Preparatory Academy (82707),5-Year,2013,<10,<10,<10,<10,<10,N/A,N/A
Frontier International Academy (82987),4-Year,2014,87,73,<10,13,<10,83.91%,1.15%
Frontier International Academy (82987),5-Year,2013,73,72,<10,<10,<10,98.63%,1.37%
Frontier International Academy (82987),6-Year,2012,53,50,<10,<10,<10,94.34%,5.66%
George Crockett Academy (82937),4-Year,2014,<10,<10,<10,<10,<10,75.00%,25.00%
George Crockett Academy (82937),5-Year,2013,<10,<10,<10,<10,<10,66.67%,33.33%
George Crockett Academy (82937),6-Year,2012,11,<10,<10,<10,<10,72.73%,27.27%
HEART Academy (82927),4-Year,2014,18,13,<10,<10,<10,72.22%,11.11%
HEART Academy (82927),5-Year,2013,25,22,<10,<10,<10,88.00%,12.00%
HEART Academy (82927),6-Year,2012,45,41,<10,<10,<10,91.11%,8.89%
Henry Ford Academy (82926),4-Year,2014,112,105,<10,<10,<10,93.75%,3.57%
Henry Ford Academy (82926),5-Year,2013,118,117,<10,<10,<10,99.15%,0.85%
Henry Ford Academy (82926),6-Year,2012,101,97,<10,<10,<10,96.04%,3.96%
Henry Ford Academy: School for Creative Studies (PSAD) (82703),4-Year,2014,88,75,<10,<10,<10,85.23%,9.09%
Henry Ford Academy: School for Creative Studies (PSAD) (82703),5-Year,2013,87,74,<10,<10,11,85.06%,12.64%
Highland Park Public School Academy System (82749),4-Year,2014,54,41,<10,<10,<10,75.93%,11.11%
Highland Park Public School Academy System (82749),5-Year,2013,84,67,<10,<10,15,79.76%,17.86%
Highland Park Public School Academy System (82749),6-Year,2012,17,<10,<10,<10,10,35.29%,58.82%
Hope Academy (82942),4-Year,2014,<10,<10,<10,<10,<10,N/A,N/A
Hope of Detroit Academy (82957),4-Year,2014,<10,<10,<10,<10,<10,100.00%,0.00%
Hope of Detroit Academy (82957),5-Year,2013,<10,<10,<10,<10,<10,88.89%,11.11%
Hope of Detroit Academy (82957),6-Year,2012,14,10,<10,<10,<10,71.43%,28.57%
Jalen Rose Leadership Academy (82728),4-Year,2014,<10,<10,<10,<10,<10,N/A,N/A
Life Skills Center of Metropolitan Detroit (82978),5-Year,2013,11,<10,<10,<10,11,0.00%,100.00%
Life Skills Center of Metropolitan Detroit (82978),6-Year,2012,14,<10,<10,<10,14,N/A,N/A
Marvin L. Winans Academy of Performing Arts (82924),4-Year,2014,63,53,<10,<10,<10,84.13%,14.29%
Marvin L. Winans Academy of Performing Arts (82924),5-Year,2013,35,29,<10,<10,<10,82.86%,17.14%
Marvin L. Winans Academy of Performing Arts (82924),6-Year,2012,40,36,<10,<10,<10,90.00%,10.00%
Michigan Health Academy (82917),4-Year,2014,<10,<10,<10,<10,<10,N/A,N/A
