Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Statewide,4-Year,2007,"140,353","105,900","1,255","12,013","21,185",75.45%,15.09%
Allen Park Public Schools (82020),4-Year,2007,343,276,23,25,19,80.46%,5.53%
Crestwood School District (82230),4-Year,2007,268,234,<10,11,21,87.31%,7.83%
Dearborn City School District (82030),4-Year,2007,"1,479","1,136",<10,107,234,76.80%,15.82%
Dearborn Heights School District #7 (82040),4-Year,2007,184,134,<10,18,32,72.82%,17.39%
Detroit City School District (82010),4-Year,2007,"9,739","5,690",<10,"1,128","2,921",58.42%,29.99%
Ecorse Public Schools (82250),4-Year,2007,139,70,<10,22,47,50.35%,33.81%
Flat Rock Community Schools (82180),4-Year,2007,129,121,<10,<10,<10,93.79%,5.42%
Garden City Public Schools (82050),4-Year,2007,538,283,<10,110,143,52.60%,26.57%
Gibraltar School District (82290),4-Year,2007,235,195,<10,18,22,82.97%,9.36%
Grosse Ile Township Schools (82300),4-Year,2007,197,190,<10,<10,<10,96.44%,1.01%
Grosse Pointe Public Schools (82055),4-Year,2007,765,730,<10,12,23,95.42%,3.00%
"Hamtramck, School District of the City of (82060)",4-Year,2007,237,142,<10,30,65,59.91%,27.42%
"Harper Woods, The School District of the City of (82320)",4-Year,2007,89,79,<10,<10,10,88.76%,11.23%
Highland Park City Schools (82070),4-Year,2007,674,162,<10,158,354,24.03%,52.52%
Huron School District (82340),4-Year,2007,182,159,<10,<10,16,87.36%,8.79%
"Lincoln Park, School District of the City of (82090)",4-Year,2007,357,244,<10,49,61,68.34%,17.08%
Livonia Public Schools School District (82095),4-Year,2007,"1,551","1,399",12,64,76,90.19%,4.90%
Melvindale-North Allen Park Schools (82045),4-Year,2007,185,146,<10,19,20,78.91%,10.81%
Northville Public Schools (82390),4-Year,2007,504,467,<10,30,<10,92.65%,1.19%
Plymouth-Canton Community Schools (82100),4-Year,2007,"1,413","1,236",<10,81,96,87.47%,6.79%
"Redford Union Schools, District No. 1 (82110)",4-Year,2007,348,236,<10,36,76,67.81%,21.83%
"River Rouge, School District of the City of (82120)",4-Year,2007,138,98,<10,13,27,71.01%,19.56%
Riverview Community School District (82400),4-Year,2007,236,214,<10,<10,14,90.67%,5.93%
Romulus Community Schools (82130),4-Year,2007,398,277,23,36,62,69.59%,15.57%
School District of the City of Inkster (82080),4-Year,2007,235,92,<10,47,92,39.14%,39.14%
South Redford School District (82140),4-Year,2007,235,204,<10,11,20,86.80%,8.51%
Southgate Community School District (82405),4-Year,2007,685,378,13,145,149,55.18%,21.75%
Taylor School District (82150),4-Year,2007,822,596,<10,82,140,72.50%,17.03%
Trenton Public Schools (82155),4-Year,2007,251,231,<10,<10,12,92.03%,4.78%
Van Buren Public Schools (82430),4-Year,2007,507,426,<10,24,57,84.02%,11.24%
Wayne-Westland Community School District (82160),4-Year,2007,"1,064",754,<10,134,173,70.86%,16.25%
Westwood Community School District (82240),4-Year,2007,204,120,<10,23,61,58.82%,29.90%
Woodhaven-Brownstown School District (82365),4-Year,2007,397,320,<10,23,54,80.60%,13.60%
"Wyandotte, School District of the City of (82170)",4-Year,2007,407,334,<10,42,31,82.06%,7.61%
Academy for Business and Technology (82921),4-Year,2007,66,40,<10,<10,18,60.60%,27.27%
Academy of Inkster (82961),4-Year,2007,37,28,<10,<10,<10,75.67%,16.21%
Advanced Technology Academy (63914),4-Year,2007,74,46,<10,<10,20,62.16%,27.02%
Aisha Shule/WEB Dubois Prep. Academy School (82903),4-Year,2007,21,16,<10,<10,<10,76.19%,4.76%
Allen Academy (82955),4-Year,2007,20,17,<10,<10,<10,85.00%,5.00%
Benjamin Carson Academy (82934),4-Year,2007,38,<10,<10,<10,36,0.00%,94.73%
Blanche Kelso Bruce Academy (82971),4-Year,2007,96,<10,<10,18,78,0.00%,81.25%
Casa Richard Academy (82902),4-Year,2007,41,16,<10,<10,16,39.02%,39.02%
Cesar Chavez Academy (82918),4-Year,2007,112,56,<10,<10,48,50.00%,42.85%
Charlotte Forten Academy (82936),4-Year,2007,101,40,<10,18,43,39.60%,42.57%
Cherry Hill School of Performing Arts (82960),4-Year,2007,62,53,<10,<10,<10,85.48%,6.45%
Covenant House Academy Detroit (82991),4-Year,2007,54,<10,<10,27,25,1.85%,46.29%
Covenant House Academy East (82990),4-Year,2007,159,19,<10,53,87,11.94%,54.71%
Covenant House Academy Southwest (82989),4-Year,2007,110,<10,<10,42,59,8.18%,53.63%
Detroit Academy of Arts and Sciences (82929),4-Year,2007,161,131,<10,<10,23,81.36%,14.28%
Detroit Community Schools (82925),4-Year,2007,102,87,<10,<10,<10,85.29%,6.86%
Detroit Midtown Academy (82964),4-Year,2007,35,18,<10,<10,12,51.42%,34.28%
Detroit Service Learning Academy (82953),4-Year,2007,<10,<10,<10,<10,<10,0.00%,100.00%
Frontier International Academy (82987),4-Year,2007,<10,<10,<10,<10,<10,0.00%,25.00%
George Crockett Academy (82937),4-Year,2007,<10,<10,<10,<10,<10,87.50%,0.00%
HEART Academy (82927),4-Year,2007,46,39,<10,<10,<10,84.78%,8.69%
Henry Ford Academy (82926),4-Year,2007,113,104,<10,<10,<10,92.03%,7.07%
Hope of Detroit Academy (82957),4-Year,2007,12,<10,<10,<10,<10,75.00%,25.00%
Life Skills Center of Metropolitan Detroit (82978),4-Year,2007,231,30,<10,72,127,12.98%,54.97%
