Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Statewide,4-Year,2012,"129,689","98,881","1,721","15,203","13,884",76.24%,10.71%
Statewide,5-Year,2011,"133,800","105,137","2,284","6,502","19,877",78.58%,14.86%
Statewide,6-Year,2010,"137,573","110,403","2,223","2,870","22,077",80.25%,16.05%
Allen Park Public Schools (82020),4-Year,2012,374,311,<10,20,40,83.16%,10.70%
Allen Park Public Schools (82020),5-Year,2011,362,321,<10,<10,37,88.67%,10.22%
Allen Park Public Schools (82020),6-Year,2010,327,289,<10,<10,34,88.38%,10.40%
Crestwood School District (82230),4-Year,2012,285,258,<10,12,15,90.53%,5.26%
Crestwood School District (82230),5-Year,2011,276,253,<10,<10,18,91.67%,6.52%
Crestwood School District (82230),6-Year,2010,318,301,<10,<10,16,94.65%,5.03%
Dearborn City School District (82030),4-Year,2012,"1,397","1,153",<10,122,113,82.53%,8.09%
Dearborn City School District (82030),5-Year,2011,"1,336","1,108",13,19,196,82.93%,14.67%
Dearborn City School District (82030),6-Year,2010,"1,376","1,163",<10,<10,200,84.52%,14.53%
Dearborn Heights School District #7 (82040),4-Year,2012,193,144,<10,22,27,74.61%,13.99%
Dearborn Heights School District #7 (82040),5-Year,2011,149,129,<10,<10,18,86.58%,12.08%
Dearborn Heights School District #7 (82040),6-Year,2010,169,148,<10,<10,19,87.57%,11.24%
Detroit City School District (82010),4-Year,2012,"5,877","3,805",25,908,"1,139",64.74%,19.38%
Detroit City School District (82010),5-Year,2011,"6,666","4,605",41,322,"1,698",69.08%,25.47%
Detroit City School District (82010),6-Year,2010,"7,383","5,242",17,127,"1,997",71.00%,27.05%
Ecorse Public Schools (82250),4-Year,2012,142,84,<10,33,24,59.15%,16.90%
Ecorse Public Schools (82250),5-Year,2011,134,83,<10,<10,46,61.94%,34.33%
Ecorse Public Schools (82250),6-Year,2010,149,92,<10,<10,50,61.74%,33.56%
Flat Rock Community Schools (82180),4-Year,2012,124,108,<10,<10,<10,87.10%,6.45%
Flat Rock Community Schools (82180),5-Year,2011,130,118,<10,<10,10,90.77%,7.69%
Flat Rock Community Schools (82180),6-Year,2010,132,117,<10,<10,15,88.64%,11.36%
Garden City Public Schools (82050),4-Year,2012,574,378,<10,110,86,65.85%,14.98%
