Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Garden City Public Schools (82050),5-Year,2011,570,410,<10,37,121,71.93%,21.23%
Garden City Public Schools (82050),6-Year,2010,608,397,<10,48,161,65.30%,26.48%
Gibraltar School District (82290),4-Year,2012,295,253,<10,30,12,85.76%,4.07%
Gibraltar School District (82290),5-Year,2011,234,204,<10,<10,23,87.18%,9.83%
Gibraltar School District (82290),6-Year,2010,267,245,<10,<10,19,91.76%,7.12%
Grosse Ile Township Schools (82300),4-Year,2012,167,161,<10,<10,<10,96.41%,0.60%
Grosse Ile Township Schools (82300),5-Year,2011,178,174,<10,<10,<10,97.75%,2.25%
Grosse Ile Township Schools (82300),6-Year,2010,141,138,<10,<10,<10,97.87%,1.42%
Grosse Pointe Public Schools (82055),4-Year,2012,739,695,<10,27,11,94.05%,1.49%
Grosse Pointe Public Schools (82055),5-Year,2011,745,715,<10,<10,22,95.97%,2.95%
Grosse Pointe Public Schools (82055),6-Year,2010,762,735,<10,<10,21,96.46%,2.76%
"Hamtramck, School District of the City of (82060)",4-Year,2012,219,123,<10,41,55,56.16%,25.11%
"Hamtramck, School District of the City of (82060)",5-Year,2011,250,158,<10,15,77,63.20%,30.80%
"Hamtramck, School District of the City of (82060)",6-Year,2010,296,194,<10,<10,98,65.54%,33.11%
"Harper Woods, The School District of the City of (82320)",4-Year,2012,133,121,<10,<10,<10,90.98%,4.51%
"Harper Woods, The School District of the City of (82320)",5-Year,2011,126,114,<10,<10,11,90.48%,8.73%
"Harper Woods, The School District of the City of (82320)",6-Year,2010,95,83,<10,<10,<10,87.37%,9.47%
Highland Park City Schools (82070),4-Year,2012,175,83,<10,29,63,47.43%,36.00%
Highland Park City Schools (82070),5-Year,2011,285,112,<10,10,163,39.30%,57.19%
Highland Park City Schools (82070),6-Year,2010,339,153,<10,<10,179,45.13%,52.80%
Huron School District (82340),4-Year,2012,196,168,<10,17,<10,85.71%,4.59%
Huron School District (82340),5-Year,2011,200,178,<10,<10,17,89.00%,8.50%
Huron School District (82340),6-Year,2010,178,160,<10,<10,13,89.89%,7.30%
"Lincoln Park, School District of the City of (82090)",4-Year,2012,320,251,<10,39,27,78.44%,8.44%
"Lincoln Park, School District of the City of (82090)",5-Year,2011,316,251,<10,<10,55,79.43%,17.41%
"Lincoln Park, School District of the City of (82090)",6-Year,2010,256,223,<10,<10,30,87.11%,11.72%
Livonia Public Schools School District (82095),4-Year,2012,"1,440","1,285",14,85,56,89.24%,3.89%
Livonia Public Schools School District (82095),5-Year,2011,"1,493","1,338",18,34,103,89.62%,6.90%
Livonia Public Schools School District (82095),6-Year,2010,"1,577","1,428",<10,42,100,90.55%,6.34%
Melvindale-North Allen Park Schools (82045),4-Year,2012,203,179,<10,13,11,88.18%,5.42%
Melvindale-North Allen Park Schools (82045),5-Year,2011,194,185,<10,<10,<10,95.36%,4.12%
Melvindale-North Allen Park Schools (82045),6-Year,2010,192,173,<10,<10,19,90.10%,9.90%
Northville Public Schools (82390),4-Year,2012,511,478,<10,27,<10,93.54%,0.59%
Northville Public Schools (82390),5-Year,2011,594,565,<10,17,<10,95.12%,1.01%
Northville Public Schools (82390),6-Year,2010,547,524,<10,17,<10,95.80%,0.91%
Plymouth-Canton Community Schools (82100),4-Year,2012,"1,571","1,354",12,137,68,86.19%,4.33%
Plymouth-Canton Community Schools (82100),5-Year,2011,"1,603","1,444",21,33,105,90.08%,6.55%
Plymouth-Canton Community Schools (82100),6-Year,2010,"1,505","1,371",13,<10,113,91.10%,7.51%
"Redford Union Schools, District No. 1 (82110)",4-Year,2012,313,206,<10,56,51,65.81%,16.29%
"Redford Union Schools, District No. 1 (82110)",5-Year,2011,307,232,<10,15,60,75.57%,19.54%
"Redford Union Schools, District No. 1 (82110)",6-Year,2010,324,268,<10,<10,55,82.72%,16.98%
"River Rouge, School District of the City of (82120)",4-Year,2012,142,83,<10,29,30,58.45%,21.13%
"River Rouge, School District of the City of (82120)",5-Year,2011,88,49,<10,10,29,55.68%,32.95%
"River Rouge, School District of the City of (82120)",6-Year,2010,81,58,<10,<10,18,71.60%,22.22%
Riverview Community School District (82400),4-Year,2012,206,185,<10,11,<10,89.81%,4.37%
Riverview Community School District (82400),5-Year,2011,211,200,<10,<10,<10,94.79%,3.79%
Riverview Community School District (82400),6-Year,2010,218,209,<10,<10,<10,95.87%,3.67%
Romulus Community Schools (82130),4-Year,2012,337,219,<10,88,23,64.99%,6.82%
Romulus Community Schools (82130),5-Year,2011,429,294,<10,34,92,68.53%,21.45%
Romulus Community Schools (82130),6-Year,2010,393,293,12,13,75,74.55%,19.08%
School District of the City of Inkster (82080),4-Year,2012,384,266,<10,50,67,69.27%,17.45%
School District of the City of Inkster (82080),5-Year,2011,421,288,<10,21,108,68.41%,25.65%
School District of the City of Inkster (82080),6-Year,2010,399,246,<10,<10,146,61.65%,36.59%
South Redford School District (82140),4-Year,2012,279,239,<10,21,19,85.66%,6.81%
South Redford School District (82140),5-Year,2011,246,218,<10,<10,25,88.62%,10.16%
South Redford School District (82140),6-Year,2010,261,228,<10,<10,29,87.36%,11.11%
Southgate Community School District (82405),4-Year,2012,742,342,<10,144,248,46.09%,33.42%
Southgate Community School District (82405),5-Year,2011,856,409,20,226,201,47.78%,23.48%
Southgate Community School District (82405),6-Year,2010,941,461,<10,116,361,48.99%,38.36%
Taylor School District (82150),4-Year,2012,675,461,<10,87,119,68.30%,17.63%
Taylor School District (82150),5-Year,2011,646,505,<10,29,109,78.17%,16.87%
Taylor School District (82150),6-Year,2010,726,618,<10,<10,104,85.12%,14.33%
Trenton Public Schools (82155),4-Year,2012,238,220,<10,<10,<10,92.44%,2.94%
Trenton Public Schools (82155),5-Year,2011,243,233,<10,<10,<10,95.88%,2.06%
Trenton Public Schools (82155),6-Year,2010,254,242,<10,<10,12,95.28%,4.72%
Van Buren Public Schools (82430),4-Year,2012,426,345,<10,33,47,80.99%,11.03%
Van Buren Public Schools (82430),5-Year,2011,481,411,<10,<10,60,85.45%,12.47%
Van Buren Public Schools (82430),6-Year,2010,430,368,<10,<10,60,85.58%,13.95%
Wayne-Westland Community School District (82160),4-Year,2012,"1,057",751,<10,155,147,71.05%,13.91%
Wayne-Westland Community School District (82160),5-Year,2011,"1,044",785,22,36,201,75.19%,19.25%
Wayne-Westland Community School District (82160),6-Year,2010,"1,130",823,16,20,271,72.83%,23.98%
Westwood Community School District (82240),4-Year,2012,457,170,<10,159,128,37.20%,28.01%
Westwood Community School District (82240),5-Year,2011,497,171,<10,118,206,34.41%,41.45%
Westwood Community School District (82240),6-Year,2010,367,159,<10,25,183,43.32%,49.86%
Woodhaven-Brownstown School District (82365),4-Year,2012,388,309,<10,44,33,79.64%,8.51%
Woodhaven-Brownstown School District (82365),5-Year,2011,388,339,<10,13,35,87.37%,9.02%
Woodhaven-Brownstown School District (82365),6-Year,2010,404,352,<10,<10,49,87.13%,12.13%
"Wyandotte, School District of the City of (82170)",4-Year,2012,306,248,<10,38,14,81.05%,4.58%
"Wyandotte, School District of the City of (82170)",5-Year,2011,341,271,<10,50,16,79.47%,4.69%
"Wyandotte, School District of the City of (82170)",6-Year,2010,354,282,<10,34,33,79.66%,9.32%
Academy for Business and Technology (82921),4-Year,2012,73,62,<10,<10,<10,84.93%,9.59%
Academy for Business and Technology (82921),5-Year,2011,53,47,<10,<10,<10,88.68%,9.43%
Academy for Business and Technology (82921),6-Year,2010,66,56,<10,<10,10,84.85%,15.15%
Academy of Inkster (82961),5-Year,2011,<10,<10,<10,<10,<10,11.11%,88.89%
Academy of Inkster (82961),6-Year,2010,48,36,<10,<10,11,75.00%,22.92%
ACE Academy (SDA) (82998),5-Year,2011,<10,<10,<10,<10,<10,0.00%,100.00%
ACE Academy (SDA) (82998),6-Year,2010,22,<10,<10,<10,20,9.09%,90.91%
Advanced Technology Academy (63914),4-Year,2012,103,89,<10,<10,<10,86.41%,5.83%
Advanced Technology Academy (63914),5-Year,2011,84,81,<10,<10,<10,96.43%,3.57%
Advanced Technology Academy (63914),6-Year,2010,69,64,<10,<10,<10,92.75%,7.25%
Aisha Shule/WEB Dubois Prep. Academy School (82903),4-Year,2012,24,17,<10,<10,<10,70.83%,29.17%
Aisha Shule/WEB Dubois Prep. Academy School (82903),5-Year,2011,19,17,<10,<10,<10,89.47%,10.53%
Aisha Shule/WEB Dubois Prep. Academy School (82903),6-Year,2010,17,12,<10,<10,<10,70.59%,29.41%
Allen Academy (82955),4-Year,2012,48,46,<10,<10,<10,95.83%,4.17%
Allen Academy (82955),5-Year,2011,51,44,<10,<10,<10,86.27%,13.73%
Allen Academy (82955),6-Year,2010,63,55,<10,<10,<10,87.30%,12.70%
Blanche Kelso Bruce Academy (82971),4-Year,2012,77,12,<10,43,22,15.58%,28.57%
Blanche Kelso Bruce Academy (82971),5-Year,2011,56,<10,<10,16,33,12.50%,58.93%
Blanche Kelso Bruce Academy (82971),6-Year,2010,15,<10,<10,<10,11,0.00%,73.33%
Casa Richard Academy (82902),4-Year,2012,41,16,<10,13,11,39.02%,26.83%
Casa Richard Academy (82902),5-Year,2011,36,21,<10,<10,14,58.33%,38.89%
Casa Richard Academy (82902),6-Year,2010,54,34,<10,<10,19,62.96%,35.19%
Cesar Chavez Academy (82918),4-Year,2012,143,120,<10,<10,16,83.92%,11.19%
Cesar Chavez Academy (82918),5-Year,2011,129,106,<10,<10,21,82.17%,16.28%
Cesar Chavez Academy (82918),6-Year,2010,120,92,<10,<10,28,76.67%,23.33%
Chandler Park Academy (82923),4-Year,2012,132,117,<10,<10,14,88.64%,10.61%
Chandler Park Academy (82923),5-Year,2011,152,144,<10,<10,<10,94.74%,5.26%
Charlotte Forten Academy (82936),6-Year,2010,17,<10,<10,<10,16,5.88%,94.12%
Cherry Hill School of Performing Arts (82960),5-Year,2011,27,<10,<10,<10,26,3.70%,96.30%
Cherry Hill School of Performing Arts (82960),6-Year,2010,125,92,<10,<10,33,73.60%,26.40%
Covenant House Academy Detroit (82991),4-Year,2012,116,20,<10,48,47,17.24%,40.52%
Covenant House Academy Detroit (82991),5-Year,2011,189,49,<10,41,98,25.93%,51.85%
Covenant House Academy Detroit (82991),6-Year,2010,208,39,<10,25,144,18.75%,69.23%
Covenant House Academy East (82990),4-Year,2012,108,18,<10,55,35,16.67%,32.41%
Covenant House Academy East (82990),5-Year,2011,134,18,<10,31,85,13.43%,63.43%
Covenant House Academy East (82990),6-Year,2010,156,36,<10,18,102,23.08%,65.38%
Covenant House Academy Southwest (82989),4-Year,2012,113,<10,<10,42,65,5.31%,57.52%
Covenant House Academy Southwest (82989),5-Year,2011,144,10,<10,30,104,6.94%,72.22%
Covenant House Academy Southwest (82989),6-Year,2010,143,14,<10,11,118,9.79%,82.52%
Detroit Academy of Arts and Sciences (82929),4-Year,2012,20,<10,<10,<10,19,5.00%,95.00%
Detroit Academy of Arts and Sciences (82929),5-Year,2011,149,120,<10,<10,28,80.54%,18.79%
Detroit Academy of Arts and Sciences (82929),6-Year,2010,145,112,<10,<10,33,77.24%,22.76%
Detroit Community Schools (82925),4-Year,2012,135,112,<10,<10,19,82.96%,14.07%
Detroit Community Schools (82925),5-Year,2011,128,111,<10,<10,17,86.72%,13.28%
Detroit Community Schools (82925),6-Year,2010,110,94,<10,<10,16,85.45%,14.55%
Detroit Midtown Academy (82964),4-Year,2012,95,71,<10,<10,12,74.74%,12.63%
Detroit Midtown Academy (82964),5-Year,2011,72,56,<10,<10,13,77.78%,18.06%
Detroit Midtown Academy (82964),6-Year,2010,70,60,<10,<10,10,85.71%,14.29%
Frontier International Academy (82987),4-Year,2012,53,47,<10,<10,<10,88.68%,5.66%
Frontier International Academy (82987),5-Year,2011,49,45,<10,<10,<10,91.84%,6.12%
Frontier International Academy (82987),6-Year,2010,42,42,<10,<10,<10,100.00%,0.00%
George Crockett Academy (82937),4-Year,2012,12,<10,<10,<10,<10,58.33%,16.67%
George Crockett Academy (82937),5-Year,2011,<10,<10,<10,<10,<10,83.33%,16.67%
George Crockett Academy (82937),6-Year,2010,10,10,<10,<10,<10,100.00%,0.00%
HEART Academy (82927),4-Year,2012,48,42,<10,<10,<10,87.50%,12.50%
HEART Academy (82927),5-Year,2011,42,33,<10,<10,<10,78.57%,19.05%
HEART Academy (82927),6-Year,2010,30,29,<10,<10,<10,96.67%,3.33%
Henry Ford Academy (82926),4-Year,2012,106,97,<10,<10,<10,91.51%,1.89%
Henry Ford Academy (82926),5-Year,2011,99,89,<10,<10,10,89.90%,10.10%
Henry Ford Academy (82926),6-Year,2010,117,104,<10,<10,12,88.89%,10.26%
Hope of Detroit Academy (82957),4-Year,2012,14,10,<10,<10,<10,71.43%,7.14%
Hope of Detroit Academy (82957),5-Year,2011,<10,<10,<10,<10,<10,85.71%,14.29%
Hope of Detroit Academy (82957),6-Year,2010,10,<10,<10,<10,<10,90.00%,10.00%
Life Skills Center of Metropolitan Detroit (82978),5-Year,2011,52,<10,<10,<10,49,3.85%,94.23%
Life Skills Center of Metropolitan Detroit (82978),6-Year,2010,119,11,<10,<10,106,9.24%,89.08%
Marvin L. Winans Academy of Performing Arts (82924),4-Year,2012,40,36,<10,<10,<10,90.00%,7.50%
Marvin L. Winans Academy of Performing Arts (82924),5-Year,2011,45,43,<10,<10,<10,95.56%,4.44%
Marvin L. Winans Academy of Performing Arts (82924),6-Year,2010,44,39,<10,<10,<10,88.64%,9.09%
McGivney Academy (SDA) (82721),4-Year,2012,<10,<10,<10,<10,<10,0.00%,66.67%
McGivney Academy (SDA) (82721),5-Year,2011,<10,<10,<10,<10,<10,0.00%,100.00%
McGivney Academy (SDA) (82721),6-Year,2010,<10,<10,<10,<10,<10,0.00%,100.00%
Michigan Health Academy (82917),5-Year,2011,50,47,<10,<10,<10,94.00%,6.00%
Michigan Health Academy (82917),6-Year,2010,39,32,<10,<10,<10,82.05%,17.95%
Michigan Technical Academy (82907),4-Year,2012,<10,<10,<10,<10,<10,0.00%,88.89%
Michigan Technical Academy (82907),6-Year,2010,87,67,<10,<10,20,77.01%,22.99%
Oakland International Academy (63912),4-Year,2012,23,21,<10,<10,<10,91.30%,0.00%
Oakland International Academy (63912),5-Year,2011,24,20,<10,<10,<10,83.33%,16.67%
Oakland International Academy (63912),6-Year,2010,29,24,<10,<10,<10,82.76%,17.24%
Old Redford Academy (82956),4-Year,2012,183,164,<10,<10,13,89.62%,7.10%
Old Redford Academy (82956),5-Year,2011,144,133,<10,<10,11,92.36%,7.64%
Old Redford Academy (82956),6-Year,2010,129,115,<10,<10,14,89.15%,10.85%
Plymouth Educational Center Charter School (82904),4-Year,2012,118,111,<10,<10,<10,94.07%,2.54%
Plymouth Educational Center Charter School (82904),5-Year,2011,<10,<10,<10,<10,<10,100.00%,0.00%
Riverside Academy (82975),4-Year,2012,51,50,<10,<10,<10,98.04%,0.00%
Riverside Academy (82975),5-Year,2011,48,47,<10,<10,<10,97.92%,2.08%
Riverside Academy (82975),6-Year,2010,34,33,<10,<10,<10,97.06%,0.00%
Ross-Hill Academy (82948),4-Year,2012,23,15,<10,<10,<10,65.22%,30.43%
Ross-Hill Academy (82948),5-Year,2011,20,15,<10,<10,<10,75.00%,25.00%
Ross-Hill Academy (82948),6-Year,2010,24,22,<10,<10,<10,91.67%,8.33%
Star International Academy (82941),4-Year,2012,73,65,<10,<10,<10,89.04%,6.85%
Star International Academy (82941),5-Year,2011,82,73,<10,<10,<10,89.02%,10.98%
Star International Academy (82941),6-Year,2010,60,49,<10,<10,11,81.67%,18.33%
Summit Academy North (82938),4-Year,2012,139,135,<10,<10,<10,97.12%,2.16%
Summit Academy North (82938),5-Year,2011,102,97,<10,<10,<10,95.10%,4.90%
Summit Academy North (82938),6-Year,2010,108,101,<10,<10,<10,93.52%,6.48%
Trillium Academy (82973),4-Year,2012,52,48,<10,<10,<10,92.31%,3.85%
Trillium Academy (82973),5-Year,2011,45,43,<10,<10,<10,95.56%,2.22%
Trillium Academy (82973),6-Year,2010,31,29,<10,<10,<10,93.55%,6.45%
Universal Academy (82950),4-Year,2012,45,43,<10,<10,<10,95.56%,4.44%
Universal Academy (82950),5-Year,2011,34,33,<10,<10,<10,97.06%,2.94%
Universal Academy (82950),6-Year,2010,24,22,<10,<10,<10,91.67%,8.33%
University Preparatory Academy (PSAD) (82702),4-Year,2012,129,119,<10,<10,<10,92.25%,5.43%
University Preparatory Academy (PSAD) (82702),5-Year,2011,119,117,<10,<10,<10,98.32%,0.84%
University Preparatory Academy (PSAD) (82702),6-Year,2010,117,113,<10,<10,<10,96.58%,2.56%
Vista Meadows Academy (82716),4-Year,2012,28,15,<10,<10,<10,53.57%,14.29%
Vista Meadows Academy (82716),5-Year,2011,20,10,<10,<10,<10,50.00%,40.00%
Vista Meadows Academy (82716),6-Year,2010,16,<10,<10,<10,<10,50.00%,31.25%
Voyageur Academy (82940),4-Year,2012,92,71,<10,16,<10,77.17%,5.43%
Voyageur Academy (82940),5-Year,2011,98,90,<10,<10,<10,91.84%,8.16%
Voyageur Academy (82940),6-Year,2010,79,75,<10,<10,<10,94.94%,5.06%
Weston Preparatory Academy (82943),6-Year,2010,55,46,<10,<10,<10,83.64%,16.36%
Wayne RESA - District created from ISD (82000),5-Year,2011,<10,<10,<10,<10,<10,N/A,100.00%
Wayne RESA - District created from ISD (82000),6-Year,2010,10,<10,<10,<10,10,N/A,100.00%
Some percentages may not add to 100% due to rounding.,,,,,,,,,
