Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Statewide,4-Year,2008,"145,097","109,542","1,410","13,551","20,594",75.50%,14.19%
Statewide,5-Year,2007,"140,861","111,186","1,737","3,974","23,963",78.93%,17.01%
Allen Park Public Schools (82020),4-Year,2008,367,307,22,22,16,83.65%,4.36%
Allen Park Public Schools (82020),5-Year,2007,346,299,23,<10,21,86.42%,6.07%
Crestwood School District (82230),4-Year,2008,291,268,<10,<10,10,92.10%,3.44%
Crestwood School District (82230),5-Year,2007,267,241,<10,<10,21,90.26%,7.87%
Dearborn City School District (82030),4-Year,2008,"1,465","1,191",<10,96,170,81.30%,11.60%
Dearborn City School District (82030),5-Year,2007,"1,457","1,195",<10,14,246,82.02%,16.88%
Dearborn Heights School District #7 (82040),4-Year,2008,163,114,<10,16,32,69.94%,19.63%
Dearborn Heights School District #7 (82040),5-Year,2007,173,141,<10,<10,29,81.50%,16.76%
Detroit City School District (82010),4-Year,2008,"9,609","5,594",<10,"1,413","2,602",58.22%,27.08%
Detroit City School District (82010),5-Year,2007,"9,373","6,028",<10,428,"2,917",64.31%,31.12%
Ecorse Public Schools (82250),4-Year,2008,146,59,<10,37,50,40.41%,34.25%
Ecorse Public Schools (82250),5-Year,2007,143,78,<10,<10,56,54.55%,39.16%
Flat Rock Community Schools (82180),4-Year,2008,146,109,<10,11,26,74.66%,17.81%
Flat Rock Community Schools (82180),5-Year,2007,131,121,<10,<10,10,92.37%,7.63%
Garden City Public Schools (82050),4-Year,2008,529,323,<10,89,116,61.06%,21.93%
Garden City Public Schools (82050),5-Year,2007,560,349,<10,43,166,62.32%,29.64%
Gibraltar School District (82290),4-Year,2008,271,237,<10,15,19,87.45%,7.01%
Gibraltar School District (82290),5-Year,2007,230,203,<10,<10,26,88.26%,11.30%
Grosse Ile Township Schools (82300),4-Year,2008,185,176,<10,<10,<10,95.14%,2.16%
Grosse Ile Township Schools (82300),5-Year,2007,197,192,<10,<10,<10,97.46%,1.52%
Grosse Pointe Public Schools (82055),4-Year,2008,852,803,<10,28,18,94.25%,2.11%
Grosse Pointe Public Schools (82055),5-Year,2007,762,738,<10,<10,18,96.85%,2.36%
"Hamtramck, School District of the City of (82060)",4-Year,2008,238,146,<10,36,56,61.34%,23.53%
"Hamtramck, School District of the City of (82060)",5-Year,2007,239,161,<10,<10,73,67.36%,30.54%
"Harper Woods, The School District of the City of (82320)",4-Year,2008,95,79,<10,<10,10,83.16%,10.53%
"Harper Woods, The School District of the City of (82320)",5-Year,2007,92,82,<10,<10,<10,89.13%,9.78%
Highland Park City Schools (82070),4-Year,2008,755,215,<10,224,316,28.48%,41.85%
Highland Park City Schools (82070),5-Year,2007,735,235,<10,71,429,31.97%,58.37%
Huron School District (82340),4-Year,2008,207,176,<10,12,19,85.02%,9.18%
Huron School District (82340),5-Year,2007,178,162,<10,<10,15,91.01%,8.43%
"Lincoln Park, School District of the City of (82090)",4-Year,2008,351,241,<10,48,60,68.66%,17.09%
"Lincoln Park, School District of the City of (82090)",5-Year,2007,351,275,<10,<10,67,78.35%,19.09%
Livonia Public Schools School District (82095),4-Year,2008,"1,544","1,386",<10,79,75,89.77%,4.86%
Livonia Public Schools School District (82095),5-Year,2007,"1,557","1,430",13,35,79,91.84%,5.07%
Melvindale-North Allen Park Schools (82045),4-Year,2008,202,156,<10,19,27,77.23%,13.37%
Melvindale-North Allen Park Schools (82045),5-Year,2007,184,157,<10,<10,26,85.33%,14.13%
Northville Public Schools (82390),4-Year,2008,545,525,<10,17,<10,96.33%,0.55%
Northville Public Schools (82390),5-Year,2007,505,473,<10,25,<10,93.66%,1.19%
Plymouth-Canton Community Schools (82100),4-Year,2008,"1,523","1,305",<10,120,93,85.69%,6.11%
Plymouth-Canton Community Schools (82100),5-Year,2007,"1,440","1,287",<10,25,122,89.38%,8.47%
"Redford Union Schools, District No. 1 (82110)",4-Year,2008,347,233,<10,49,65,67.15%,18.73%
"Redford Union Schools, District No. 1 (82110)",5-Year,2007,337,254,<10,<10,78,75.37%,23.15%
"River Rouge, School District of the City of (82120)",4-Year,2008,123,60,<10,32,31,48.78%,25.20%
"River Rouge, School District of the City of (82120)",5-Year,2007,142,107,<10,<10,29,75.35%,20.42%
Riverview Community School District (82400),4-Year,2008,238,216,<10,<10,16,90.76%,6.72%
Riverview Community School District (82400),5-Year,2007,233,218,<10,<10,12,93.56%,5.15%
Romulus Community Schools (82130),4-Year,2008,439,306,12,62,59,69.70%,13.44%
Romulus Community Schools (82130),5-Year,2007,418,314,20,11,73,75.12%,17.46%
School District of the City of Inkster (82080),4-Year,2008,296,136,<10,29,130,45.95%,43.92%
School District of the City of Inkster (82080),5-Year,2007,230,128,<10,<10,92,55.65%,40.00%
South Redford School District (82140),4-Year,2008,267,220,12,<10,29,82.40%,10.86%
South Redford School District (82140),5-Year,2007,227,206,<10,<10,19,90.75%,8.37%
Southgate Community School District (82405),4-Year,2008,750,368,<10,140,234,49.07%,31.20%
Southgate Community School District (82405),5-Year,2007,810,421,13,47,329,51.98%,40.62%
Taylor School District (82150),4-Year,2008,902,659,<10,101,142,73.06%,15.74%
Taylor School District (82150),5-Year,2007,812,636,<10,23,150,78.33%,18.47%
Trenton Public Schools (82155),4-Year,2008,241,214,<10,12,14,88.80%,5.81%
Trenton Public Schools (82155),5-Year,2007,248,238,<10,<10,<10,95.97%,3.63%
Van Buren Public Schools (82430),4-Year,2008,571,488,<10,15,67,85.46%,11.73%
Van Buren Public Schools (82430),5-Year,2007,517,456,<10,<10,57,88.20%,11.03%
Wayne-Westland Community School District (82160),4-Year,2008,"1,071",800,<10,121,145,74.70%,13.54%
Wayne-Westland Community School District (82160),5-Year,2007,"1,072",823,10,42,197,76.77%,18.38%
Westwood Community School District (82240),4-Year,2008,199,124,<10,24,51,62.31%,25.63%
Westwood Community School District (82240),5-Year,2007,199,135,<10,<10,61,67.84%,30.65%
Woodhaven-Brownstown School District (82365),4-Year,2008,430,365,<10,27,38,84.88%,8.84%
Woodhaven-Brownstown School District (82365),5-Year,2007,388,336,<10,<10,51,86.60%,13.14%
"Wyandotte, School District of the City of (82170)",4-Year,2008,365,287,<10,41,37,78.63%,10.14%
"Wyandotte, School District of the City of (82170)",5-Year,2007,410,340,<10,42,28,82.93%,6.83%
Academy for Business and Technology (82921),4-Year,2008,81,56,<10,10,15,69.14%,18.52%
Academy for Business and Technology (82921),5-Year,2007,58,40,<10,<10,17,68.97%,29.31%
Academy of Inkster (82961),4-Year,2008,75,41,<10,16,18,54.67%,24.00%
Academy of Inkster (82961),5-Year,2007,35,28,<10,<10,<10,80.00%,14.29%
ACE Academy (SDA) (82998),4-Year,2008,25,<10,<10,11,<10,16.00%,24.00%
Advanced Technology Academy (63914),4-Year,2008,63,58,<10,<10,<10,92.06%,6.35%
Advanced Technology Academy (63914),5-Year,2007,69,49,<10,<10,17,71.01%,24.64%
Aisha Shule/WEB Dubois Prep. Academy School (82903),4-Year,2008,31,21,<10,<10,<10,67.74%,29.03%
Aisha Shule/WEB Dubois Prep. Academy School (82903),5-Year,2007,21,18,<10,<10,<10,85.71%,9.52%
Allen Academy (82955),5-Year,2007,20,17,<10,<10,<10,85.00%,5.00%
Casa Richard Academy (82902),4-Year,2008,41,10,<10,11,20,24.39%,48.78%
Casa Richard Academy (82902),5-Year,2007,42,20,<10,<10,18,47.62%,42.86%
Cesar Chavez Academy (82918),4-Year,2008,117,72,<10,<10,36,61.54%,30.77%
Cesar Chavez Academy (82918),5-Year,2007,108,59,<10,<10,47,54.63%,43.52%
Charlotte Forten Academy (82936),4-Year,2008,116,38,<10,13,65,32.76%,56.03%
Charlotte Forten Academy (82936),5-Year,2007,110,54,<10,<10,53,49.09%,48.18%
Cherry Hill School of Performing Arts (82960),4-Year,2008,79,<10,<10,<10,69,1.27%,87.34%
Cherry Hill School of Performing Arts (82960),5-Year,2007,62,53,<10,<10,<10,85.48%,12.90%
Clara B. Ford Academy (SDA) (82996),4-Year,2008,23,<10,<10,<10,10,21.74%,43.48%
Covenant House Academy Detroit (82991),4-Year,2008,125,<10,<10,42,76,5.60%,60.80%
Covenant House Academy Detroit (82991),5-Year,2007,70,<10,<10,18,41,12.86%,58.57%
Covenant House Academy East (82990),4-Year,2008,203,10,<10,79,114,4.93%,56.16%
Covenant House Academy East (82990),5-Year,2007,165,38,<10,28,99,23.03%,60.00%
Covenant House Academy Southwest (82989),4-Year,2008,153,13,<10,43,94,8.50%,61.44%
Covenant House Academy Southwest (82989),5-Year,2007,125,23,<10,16,85,18.40%,68.00%
Detroit Academy of Arts and Sciences (82929),4-Year,2008,178,148,<10,<10,23,83.15%,12.92%
Detroit Academy of Arts and Sciences (82929),5-Year,2007,162,135,<10,<10,25,83.33%,15.43%
Detroit Community Schools (82925),4-Year,2008,115,103,<10,<10,<10,89.57%,6.09%
Detroit Community Schools (82925),5-Year,2007,102,89,<10,<10,10,87.25%,9.80%
Detroit Midtown Academy (82964),5-Year,2007,33,18,<10,<10,12,54.55%,36.36%
Frontier International Academy (82987),4-Year,2008,25,11,<10,10,<10,44.00%,16.00%
George Crockett Academy (82937),4-Year,2008,<10,<10,<10,<10,<10,100.00%,0.00%
George Crockett Academy (82937),5-Year,2007,<10,<10,<10,<10,<10,100.00%,0.00%
HEART Academy (82927),4-Year,2008,26,24,<10,<10,<10,92.31%,3.85%
HEART Academy (82927),5-Year,2007,43,39,<10,<10,<10,90.70%,9.30%
Henry Ford Academy (82926),4-Year,2008,118,110,<10,<10,<10,93.22%,3.39%
Henry Ford Academy (82926),5-Year,2007,109,104,<10,<10,<10,95.41%,4.59%
Hope of Detroit Academy (82957),4-Year,2008,<10,<10,<10,<10,<10,83.33%,16.67%
Hope of Detroit Academy (82957),5-Year,2007,12,<10,<10,<10,<10,75.00%,25.00%
Life Skills Center of Metropolitan Detroit (82978),4-Year,2008,230,11,<10,84,135,4.78%,58.70%
Life Skills Center of Metropolitan Detroit (82978),5-Year,2007,242,44,<10,39,157,18.18%,64.88%
Marvin L. Winans Academy of Performing Arts (82924),4-Year,2008,73,59,<10,<10,10,80.82%,13.70%
Marvin L. Winans Academy of Performing Arts (82924),5-Year,2007,74,61,<10,<10,12,82.43%,16.22%
Michigan Health Academy (82917),4-Year,2008,39,31,<10,<10,<10,79.49%,17.95%
Michigan Health Academy (82917),5-Year,2007,29,20,<10,<10,<10,68.97%,27.59%
Michigan Technical Academy (82907),4-Year,2008,84,51,<10,<10,25,60.71%,29.76%
Michigan Technical Academy (82907),5-Year,2007,71,32,<10,<10,36,45.07%,50.70%
Oakland International Academy (63912),4-Year,2008,16,<10,<10,<10,<10,50.00%,18.75%
Oakland International Academy (63912),5-Year,2007,10,<10,<10,<10,<10,90.00%,10.00%
Old Redford Academy (82956),4-Year,2008,99,83,<10,<10,12,83.84%,12.12%
Old Redford Academy (82956),5-Year,2007,73,62,<10,<10,11,84.93%,15.07%
Riverside Academy (82975),4-Year,2008,24,12,<10,<10,11,50.00%,45.83%
Ross-Hill Academy (82948),4-Year,2008,17,11,<10,<10,<10,64.71%,23.53%
Star International Academy (82941),4-Year,2008,76,70,<10,<10,<10,92.11%,5.26%
Star International Academy (82941),5-Year,2007,53,46,<10,<10,<10,86.79%,13.21%
Summit Academy North (82938),4-Year,2008,102,86,<10,<10,<10,84.31%,7.84%
Summit Academy North (82938),5-Year,2007,97,78,<10,<10,19,80.41%,19.59%
Universal Academy (82950),4-Year,2008,25,19,<10,<10,<10,76.00%,16.00%
Universal Academy (82950),5-Year,2007,25,20,<10,<10,<10,80.00%,20.00%
University Preparatory Academy (82965),4-Year,2008,122,122,<10,<10,<10,100.00%,0.00%
University Preparatory Academy (82965),5-Year,2007,138,128,<10,<10,<10,92.75%,6.52%
Voyageur Academy (82940),4-Year,2008,91,83,<10,<10,<10,91.21%,6.59%
Voyageur Academy (82940),5-Year,2007,71,65,<10,<10,<10,91.55%,7.04%
Weston Preparatory Academy (82943),4-Year,2008,65,35,<10,13,17,53.85%,26.15%
Weston Preparatory Academy (82943),5-Year,2007,63,45,<10,<10,17,71.43%,26.98%
Some percentages may not add to 100% due to rounding.,,,,,,,,,
