Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Taylor School District (82150),5-Year,2012,668,494,13,21,140,73.95%,20.96%
Taylor School District (82150),6-Year,2011,639,512,<10,<10,119,80.13%,18.62%
Trenton Public Schools (82155),4-Year,2013,219,205,<10,10,<10,93.61%,1.37%
Trenton Public Schools (82155),5-Year,2012,236,222,<10,<10,<10,94.07%,3.39%
Trenton Public Schools (82155),6-Year,2011,242,233,<10,<10,<10,96.28%,2.07%
Van Buren Public Schools (82430),4-Year,2013,414,340,<10,30,40,82.13%,9.66%
Van Buren Public Schools (82430),5-Year,2012,417,354,<10,<10,56,84.89%,13.43%
Van Buren Public Schools (82430),6-Year,2011,472,410,<10,<10,55,86.86%,11.65%
Wayne-Westland Community School District (82160),4-Year,2013,"1,005",710,10,146,139,70.65%,13.83%
Wayne-Westland Community School District (82160),5-Year,2012,"1,058",793,<10,51,205,74.95%,19.38%
Wayne-Westland Community School District (82160),6-Year,2011,"1,048",793,28,19,208,75.67%,19.85%
Westwood Community School District (82240),4-Year,2013,515,181,<10,182,151,35.15%,29.32%
Westwood Community School District (82240),5-Year,2012,479,193,<10,98,188,40.29%,39.25%
Westwood Community School District (82240),6-Year,2011,491,186,<10,54,249,37.88%,50.71%
Woodhaven-Brownstown School District (82365),4-Year,2013,430,342,<10,56,31,79.53%,7.21%
Woodhaven-Brownstown School District (82365),5-Year,2012,386,320,<10,23,40,82.90%,10.36%
Woodhaven-Brownstown School District (82365),6-Year,2011,383,343,<10,<10,37,89.56%,9.66%
"Wyandotte, School District of the City of (82170)",4-Year,2013,349,292,<10,46,<10,83.67%,2.58%
"Wyandotte, School District of the City of (82170)",5-Year,2012,305,253,<10,31,14,82.95%,4.59%
"Wyandotte, School District of the City of (82170)",6-Year,2011,339,271,<10,47,17,79.94%,5.01%
Academy for Business and Technology (82921),4-Year,2013,71,58,<10,<10,<10,81.69%,9.86%
Academy for Business and Technology (82921),5-Year,2012,70,64,<10,<10,<10,91.43%,8.57%
Academy for Business and Technology (82921),6-Year,2011,52,47,<10,<10,<10,90.38%,9.62%
Academy of Inkster (82961),4-Year,2013,<10,<10,<10,<10,<10,N/A,N/A
Academy of Inkster (82961),5-Year,2012,<10,<10,<10,<10,<10,N/A,N/A
Academy of Inkster (82961),6-Year,2011,<10,<10,<10,<10,<10,11.11%,88.89%
Advanced Technology Academy (63914),4-Year,2013,113,92,<10,18,<10,81.42%,2.65%
Advanced Technology Academy (63914),5-Year,2012,97,89,<10,<10,<10,91.75%,5.15%
Advanced Technology Academy (63914),6-Year,2011,84,81,<10,<10,<10,96.43%,3.57%
Aisha Shule/WEB Dubois Prep. Academy School (82903),4-Year,2013,18,12,<10,<10,<10,66.67%,27.78%
Aisha Shule/WEB Dubois Prep. Academy School (82903),5-Year,2012,24,17,<10,<10,<10,70.83%,29.17%
Aisha Shule/WEB Dubois Prep. Academy School (82903),6-Year,2011,19,17,<10,<10,<10,89.47%,10.53%
Allen Academy (82955),4-Year,2013,38,32,<10,<10,<10,84.21%,13.16%
Allen Academy (82955),5-Year,2012,49,47,<10,<10,<10,95.92%,4.08%
Allen Academy (82955),6-Year,2011,51,44,<10,<10,<10,86.27%,13.73%
Casa Richard Academy (82902),4-Year,2013,31,16,<10,<10,<10,51.61%,22.58%
Casa Richard Academy (82902),5-Year,2012,36,18,<10,<10,15,50.00%,41.67%
Casa Richard Academy (82902),6-Year,2011,34,21,<10,<10,13,61.76%,38.24%
Cesar Chavez Academy (82918),4-Year,2013,154,131,<10,<10,14,85.06%,9.09%
Cesar Chavez Academy (82918),5-Year,2012,138,120,<10,<10,17,86.96%,12.32%
Cesar Chavez Academy (82918),6-Year,2011,126,106,<10,<10,19,84.13%,15.08%
Chandler Park Academy (82923),4-Year,2013,146,139,<10,<10,<10,95.21%,4.79%
Chandler Park Academy (82923),5-Year,2012,132,118,<10,<10,14,89.39%,10.61%
Chandler Park Academy (82923),6-Year,2011,152,144,<10,<10,<10,94.74%,5.26%
Charlotte Forten Academy (82936),6-Year,2011,<10,<10,<10,<10,<10,N/A,N/A
Cherry Hill School of Performing Arts (82960),4-Year,2013,<10,<10,<10,<10,<10,N/A,N/A
Cherry Hill School of Performing Arts (82960),5-Year,2012,12,<10,<10,<10,12,N/A,N/A
Cherry Hill School of Performing Arts (82960),6-Year,2011,27,<10,<10,<10,25,3.70%,92.59%
Covenant House Academy Detroit (82991),4-Year,2013,175,20,<10,82,73,11.43%,41.71%
Covenant House Academy Detroit (82991),5-Year,2012,147,27,<10,41,78,18.37%,53.06%
Covenant House Academy Detroit (82991),6-Year,2011,210,54,<10,21,134,25.71%,63.81%
Covenant House Academy East (82990),4-Year,2013,120,12,<10,61,47,10.00%,39.17%
Covenant House Academy East (82990),5-Year,2012,135,25,<10,49,61,18.52%,45.19%
Covenant House Academy East (82990),6-Year,2011,152,26,<10,22,104,17.11%,68.42%
Covenant House Academy Southwest (82989),4-Year,2013,121,<10,<10,50,62,7.44%,51.24%
Covenant House Academy Southwest (82989),5-Year,2012,147,18,<10,43,86,12.24%,58.50%
Covenant House Academy Southwest (82989),6-Year,2011,152,22,<10,22,107,14.47%,70.39%
Detroit Academy of Arts and Sciences (82929),4-Year,2013,20,<10,<10,<10,20,N/A,N/A
Detroit Academy of Arts and Sciences (82929),5-Year,2012,19,<10,<10,<10,18,5.26%,94.74%
Detroit Academy of Arts and Sciences (82929),6-Year,2011,147,120,<10,<10,27,81.63%,18.37%
Detroit Community Schools (82925),4-Year,2013,120,103,<10,<10,12,85.83%,10.00%
Detroit Community Schools (82925),5-Year,2012,128,112,<10,<10,16,87.50%,12.50%
Detroit Community Schools (82925),6-Year,2011,127,111,<10,<10,16,87.40%,12.60%
Detroit Edison Public School Academy (82945),4-Year,2013,<10,<10,<10,<10,<10,N/A,N/A
Detroit Midtown Academy (82964),4-Year,2013,10,<10,<10,<10,<10,N/A,N/A
Detroit Midtown Academy (82964),5-Year,2012,87,71,<10,<10,11,81.61%,12.64%
Detroit Midtown Academy (82964),6-Year,2011,69,56,<10,<10,12,81.16%,17.39%
Frontier International Academy (82987),4-Year,2013,74,71,<10,<10,<10,95.95%,1.35%
Frontier International Academy (82987),5-Year,2012,53,50,<10,<10,<10,94.34%,5.66%
Frontier International Academy (82987),6-Year,2011,49,45,<10,<10,<10,91.84%,6.12%
George Crockett Academy (82937),4-Year,2013,<10,<10,<10,<10,<10,60.00%,0.00%
George Crockett Academy (82937),5-Year,2012,11,<10,<10,<10,<10,72.73%,27.27%
George Crockett Academy (82937),6-Year,2011,<10,<10,<10,<10,<10,83.33%,16.67%
HEART Academy (82927),4-Year,2013,26,22,<10,<10,<10,84.62%,11.54%
HEART Academy (82927),5-Year,2012,46,41,<10,<10,<10,89.13%,8.70%
HEART Academy (82927),6-Year,2011,42,34,<10,<10,<10,80.95%,16.67%
Henry Ford Academy (82926),4-Year,2013,122,117,<10,<10,<10,95.90%,0.00%
Henry Ford Academy (82926),5-Year,2012,102,97,<10,<10,<10,95.10%,3.92%
Henry Ford Academy (82926),6-Year,2011,98,89,<10,<10,<10,90.82%,8.16%
Henry Ford Academy: School for Creative Studies (PSAD) (82703),4-Year,2013,87,71,<10,<10,<10,81.61%,10.34%
Henry Ford Academy: School for Creative Studies (PSAD) (82703),6-Year,2011,<10,<10,<10,<10,<10,N/A,N/A
Highland Park Public School Academy System (82749),4-Year,2013,95,62,<10,12,21,65.26%,22.11%
Highland Park Public School Academy System (82749),5-Year,2012,19,<10,<10,<10,11,31.58%,57.89%
Highland Park Public School Academy System (82749),6-Year,2011,<10,<10,<10,<10,<10,11.11%,66.67%
Hope Academy (82942),4-Year,2013,<10,<10,<10,<10,<10,N/A,N/A
Hope of Detroit Academy (82957),4-Year,2013,<10,<10,<10,<10,<10,88.89%,0.00%
Hope of Detroit Academy (82957),5-Year,2012,14,10,<10,<10,<10,71.43%,28.57%
Hope of Detroit Academy (82957),6-Year,2011,<10,<10,<10,<10,<10,85.71%,14.29%
Life Skills Center of Metropolitan Detroit (82978),4-Year,2013,11,<10,<10,<10,11,0.00%,100.00%
Life Skills Center of Metropolitan Detroit (82978),5-Year,2012,14,<10,<10,<10,14,N/A,N/A
Life Skills Center of Metropolitan Detroit (82978),6-Year,2011,50,<10,<10,<10,47,4.00%,94.00%
Marvin L. Winans Academy of Performing Arts (82924),4-Year,2013,35,28,<10,<10,<10,80.00%,17.14%
Marvin L. Winans Academy of Performing Arts (82924),5-Year,2012,40,36,<10,<10,<10,90.00%,10.00%
Marvin L. Winans Academy of Performing Arts (82924),6-Year,2011,45,43,<10,<10,<10,95.56%,4.44%
Michigan Health Academy (82917),4-Year,2013,<10,<10,<10,<10,<10,N/A,N/A
Michigan Health Academy (82917),5-Year,2012,10,<10,<10,<10,10,N/A,N/A
Michigan Health Academy (82917),6-Year,2011,50,47,<10,<10,<10,94.00%,6.00%
Michigan Technical Academy (82907),4-Year,2013,<10,<10,<10,<10,<10,N/A,N/A
Michigan Technical Academy (82907),5-Year,2012,<10,<10,<10,<10,<10,0.00%,100.00%
Michigan Technical Academy (82907),6-Year,2011,13,<10,<10,<10,13,N/A,N/A
Oakland International Academy (63912),4-Year,2013,29,24,<10,<10,<10,82.76%,17.24%
Oakland International Academy (63912),5-Year,2012,23,22,<10,<10,<10,95.65%,0.00%
Oakland International Academy (63912),6-Year,2011,24,20,<10,<10,<10,83.33%,16.67%
Old Redford Academy (82956),4-Year,2013,161,143,<10,<10,11,88.82%,6.83%
Old Redford Academy (82956),5-Year,2012,180,164,<10,<10,16,91.11%,8.89%
Old Redford Academy (82956),6-Year,2011,142,133,<10,<10,<10,93.66%,6.34%
Pierre Toussaint Academy (82939),4-Year,2013,<10,<10,<10,<10,<10,N/A,N/A
Plymouth Educational Center Charter School (82904),4-Year,2013,114,96,<10,<10,14,84.21%,12.28%
Plymouth Educational Center Charter School (82904),5-Year,2012,116,111,<10,<10,<10,95.69%,4.31%
Plymouth Educational Center Charter School (82904),6-Year,2011,<10,<10,<10,<10,<10,100.00%,0.00%
Riverside Academy (82975),4-Year,2013,51,46,<10,<10,<10,90.20%,1.96%
Riverside Academy (82975),5-Year,2012,51,50,<10,<10,<10,98.04%,1.96%
Riverside Academy (82975),6-Year,2011,48,47,<10,<10,<10,97.92%,2.08%
Ross-Hill Academy (82948),4-Year,2013,<10,<10,<10,<10,<10,25.00%,75.00%
Ross-Hill Academy (82948),5-Year,2012,21,15,<10,<10,<10,71.43%,23.81%
Ross-Hill Academy (82948),6-Year,2011,20,15,<10,<10,<10,75.00%,25.00%
Star International Academy (82941),4-Year,2013,78,71,<10,<10,<10,91.03%,6.41%
Star International Academy (82941),5-Year,2012,73,66,<10,<10,<10,90.41%,9.59%
Star International Academy (82941),6-Year,2011,82,73,<10,<10,<10,89.02%,10.98%
Summit Academy North (82938),4-Year,2013,141,135,<10,<10,<10,95.74%,3.55%
Summit Academy North (82938),5-Year,2012,139,136,<10,<10,<10,97.84%,2.16%
Summit Academy North (82938),6-Year,2011,101,97,<10,<10,<10,96.04%,3.96%
Trillium Academy (82973),4-Year,2013,38,34,<10,<10,<10,89.47%,2.63%
Trillium Academy (82973),5-Year,2012,49,49,<10,<10,<10,100.00%,0.00%
Trillium Academy (82973),6-Year,2011,45,43,<10,<10,<10,95.56%,2.22%
Universal Academy (82950),4-Year,2013,57,48,<10,<10,<10,84.21%,12.28%
Universal Academy (82950),5-Year,2012,45,43,<10,<10,<10,95.56%,4.44%
Universal Academy (82950),6-Year,2011,34,33,<10,<10,<10,97.06%,2.94%
University Preparatory Academy (PSAD) (82702),4-Year,2013,121,113,<10,<10,<10,93.39%,1.65%
University Preparatory Academy (PSAD) (82702),5-Year,2012,127,120,<10,<10,<10,94.49%,5.51%
University Preparatory Academy (PSAD) (82702),6-Year,2011,119,117,<10,<10,<10,98.32%,0.84%
Vista Meadows Academy (82716),4-Year,2013,39,17,<10,14,<10,43.59%,20.51%
Vista Meadows Academy (82716),5-Year,2012,27,18,<10,<10,<10,66.67%,25.93%
Vista Meadows Academy (82716),6-Year,2011,20,10,<10,<10,<10,50.00%,45.00%
Voyageur Academy (82940),4-Year,2013,92,81,<10,<10,<10,88.04%,6.52%
Voyageur Academy (82940),5-Year,2012,90,73,<10,<10,17,81.11%,18.89%
Voyageur Academy (82940),6-Year,2011,98,90,<10,<10,<10,91.84%,8.16%
W-A-Y Academy (82746),4-Year,2013,69,<10,<10,48,15,8.70%,21.74%
W-A-Y Academy (82746),5-Year,2012,25,<10,<10,18,<10,12.00%,16.00%
W-A-Y Academy (82746),6-Year,2011,16,<10,<10,10,<10,12.50%,25.00%
West Village Academy (82959),6-Year,2011,<10,<10,<10,<10,<10,N/A,N/A
Weston Preparatory Academy (82943),4-Year,2013,<10,<10,<10,<10,<10,N/A,N/A
Weston Preparatory Academy (82943),5-Year,2012,<10,<10,<10,<10,<10,N/A,N/A
Weston Preparatory Academy (82943),6-Year,2011,<10,<10,<10,<10,<10,N/A,N/A
Wayne RESA - District created from ISD (82000),5-Year,2012,<10,<10,<10,<10,<10,N/A,N/A
Wayne RESA - District created from ISD (82000),6-Year,2011,<10,<10,<10,<10,<10,N/A,100.00%
Some percentages may not add to 100% due to rounding.,,,,,,,,,
