Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Statewide,4-Year,2013,"127,727","98,299","1,734","14,231","13,463",76.96%,10.54%
Statewide,5-Year,2012,"129,575","103,408","2,436","5,589","18,142",79.81%,14.00%
Statewide,6-Year,2011,"133,789","106,375","2,723","2,883","21,808",79.51%,16.30%
Allen Park Public Schools (82020),4-Year,2013,314,274,<10,20,19,87.26%,6.05%
Allen Park Public Schools (82020),5-Year,2012,369,324,<10,<10,39,87.80%,10.57%
Allen Park Public Schools (82020),6-Year,2011,360,324,<10,<10,33,90.00%,9.17%
Crestwood School District (82230),4-Year,2013,295,272,<10,17,<10,92.20%,2.03%
Crestwood School District (82230),5-Year,2012,284,265,<10,<10,17,93.31%,5.99%
Crestwood School District (82230),6-Year,2011,273,254,<10,<10,15,93.04%,5.49%
Dearborn City School District (82030),4-Year,2013,"1,489","1,283",17,92,97,86.17%,6.51%
Dearborn City School District (82030),5-Year,2012,"1,372","1,202",<10,20,141,87.61%,10.28%
Dearborn City School District (82030),6-Year,2011,"1,333","1,117",14,<10,196,83.80%,14.70%
Dearborn Heights School District #7 (82040),4-Year,2013,200,139,<10,32,28,69.50%,14.00%
Dearborn Heights School District #7 (82040),5-Year,2012,189,157,<10,<10,28,83.07%,14.81%
Dearborn Heights School District #7 (82040),6-Year,2011,155,130,<10,<10,24,83.87%,15.48%
Detroit City School District (82010),4-Year,2013,"4,130","2,666",27,502,935,64.55%,22.64%
Detroit City School District (82010),5-Year,2012,"5,522","3,985",34,214,"1,289",72.17%,23.34%
Detroit City School District (82010),6-Year,2011,"6,575","4,637",48,149,"1,741",70.52%,26.48%
Ecorse Public Schools (82250),4-Year,2013,136,81,<10,22,33,59.56%,24.26%
Ecorse Public Schools (82250),5-Year,2012,139,96,<10,11,31,69.06%,22.30%
Ecorse Public Schools (82250),6-Year,2011,138,86,<10,<10,52,62.32%,37.68%
Flat Rock Community Schools (82180),4-Year,2013,156,138,<10,<10,10,88.46%,6.41%
Flat Rock Community Schools (82180),5-Year,2012,122,111,<10,<10,<10,90.98%,6.56%
Flat Rock Community Schools (82180),6-Year,2011,129,118,<10,<10,10,91.47%,7.75%
Garden City Public Schools (82050),4-Year,2013,610,399,<10,107,104,65.41%,17.05%
Garden City Public Schools (82050),5-Year,2012,602,447,<10,45,110,74.25%,18.27%
Garden City Public Schools (82050),6-Year,2011,566,422,<10,15,127,74.56%,22.44%
Gibraltar School District (82290),4-Year,2013,291,242,<10,41,<10,83.16%,2.75%
Gibraltar School District (82290),5-Year,2012,284,267,<10,<10,15,94.01%,5.28%
Gibraltar School District (82290),6-Year,2011,231,206,<10,<10,22,89.18%,9.52%
Grosse Ile Township Schools (82300),4-Year,2013,156,151,<10,<10,<10,96.79%,1.28%
Grosse Ile Township Schools (82300),5-Year,2012,165,164,<10,<10,<10,99.39%,0.00%
Grosse Ile Township Schools (82300),6-Year,2011,178,174,<10,<10,<10,97.75%,2.25%
Grosse Pointe Public Schools (82055),4-Year,2013,733,690,<10,22,14,94.13%,1.91%
Grosse Pointe Public Schools (82055),5-Year,2012,732,701,<10,<10,15,95.77%,2.05%
Grosse Pointe Public Schools (82055),6-Year,2011,745,715,<10,<10,23,95.97%,3.09%
"Hamtramck, School District of the City of (82060)",4-Year,2013,318,170,<10,46,102,53.46%,32.08%
"Hamtramck, School District of the City of (82060)",5-Year,2012,222,138,<10,12,72,62.16%,32.43%
"Hamtramck, School District of the City of (82060)",6-Year,2011,247,162,<10,<10,81,65.59%,32.79%
"Harper Woods, The School District of the City of (82320)",4-Year,2013,200,116,<10,50,33,58.00%,16.50%
"Harper Woods, The School District of the City of (82320)",5-Year,2012,196,155,<10,15,23,79.08%,11.73%
"Harper Woods, The School District of the City of (82320)",6-Year,2011,151,123,<10,<10,25,81.46%,16.56%
Highland Park City Schools (82070),4-Year,2013,37,<10,<10,<10,33,5.41%,89.19%
Highland Park City Schools (82070),5-Year,2012,153,75,<10,<10,75,49.02%,49.02%
Highland Park City Schools (82070),6-Year,2011,276,111,<10,<10,165,40.22%,59.78%
Huron School District (82340),4-Year,2013,203,180,<10,16,<10,88.67%,3.45%
Huron School District (82340),5-Year,2012,189,173,<10,<10,10,91.53%,5.29%
Huron School District (82340),6-Year,2011,197,178,<10,<10,17,90.36%,8.63%
"Lincoln Park, School District of the City of (82090)",4-Year,2013,354,270,<10,42,40,76.27%,11.30%
"Lincoln Park, School District of the City of (82090)",5-Year,2012,314,262,<10,11,38,83.44%,12.10%
"Lincoln Park, School District of the City of (82090)",6-Year,2011,309,252,<10,<10,51,81.55%,16.50%
Livonia Public Schools School District (82095),4-Year,2013,"1,467","1,321",12,82,52,90.05%,3.54%
Livonia Public Schools School District (82095),5-Year,2012,"1,425","1,293",22,56,54,90.74%,3.79%
Livonia Public Schools School District (82095),6-Year,2011,"1,477","1,351",22,30,74,91.47%,5.01%
Melvindale-North Allen Park Schools (82045),4-Year,2013,200,184,<10,12,<10,92.00%,1.50%
Melvindale-North Allen Park Schools (82045),5-Year,2012,200,188,<10,<10,10,94.00%,5.00%
Melvindale-North Allen Park Schools (82045),6-Year,2011,194,185,<10,<10,<10,95.36%,4.64%
Northville Public Schools (82390),4-Year,2013,559,530,<10,18,<10,94.81%,1.61%
Northville Public Schools (82390),5-Year,2012,505,482,<10,14,<10,95.45%,0.99%
Northville Public Schools (82390),6-Year,2011,592,565,<10,12,<10,95.44%,1.01%
Plymouth-Canton Community Schools (82100),4-Year,2013,"1,653","1,453",13,117,70,87.90%,4.23%
Plymouth-Canton Community Schools (82100),5-Year,2012,"1,572","1,403",25,48,96,89.25%,6.11%
Plymouth-Canton Community Schools (82100),6-Year,2011,"1,607","1,454",26,<10,121,90.48%,7.53%
"Redford Union Schools, District No. 1 (82110)",4-Year,2013,300,176,<10,80,44,58.67%,14.67%
"Redford Union Schools, District No. 1 (82110)",5-Year,2012,319,220,<10,22,77,68.97%,24.14%
"Redford Union Schools, District No. 1 (82110)",6-Year,2011,314,236,<10,11,67,75.16%,21.34%
"River Rouge, School District of the City of (82120)",4-Year,2013,122,88,<10,20,14,72.13%,11.48%
"River Rouge, School District of the City of (82120)",5-Year,2012,132,87,<10,<10,38,65.91%,28.79%
"River Rouge, School District of the City of (82120)",6-Year,2011,85,51,<10,<10,34,60.00%,40.00%
Riverview Community School District (82400),4-Year,2013,234,223,<10,<10,<10,95.30%,2.14%
Riverview Community School District (82400),5-Year,2012,201,190,<10,<10,<10,94.53%,4.48%
Riverview Community School District (82400),6-Year,2011,210,200,<10,<10,<10,95.24%,3.33%
Romulus Community Schools (82130),4-Year,2013,273,187,<10,50,29,68.50%,10.62%
Romulus Community Schools (82130),5-Year,2012,336,259,10,20,47,77.08%,13.99%
Romulus Community Schools (82130),6-Year,2011,438,305,13,16,104,69.63%,23.74%
School District of the City of Inkster (82080),4-Year,2013,291,209,<10,31,51,71.82%,17.53%
School District of the City of Inkster (82080),5-Year,2012,373,278,<10,12,82,74.53%,21.98%
School District of the City of Inkster (82080),6-Year,2011,414,292,<10,<10,114,70.53%,27.54%
South Redford School District (82140),4-Year,2013,253,229,<10,<10,11,90.51%,4.35%
South Redford School District (82140),5-Year,2012,273,243,<10,<10,26,89.01%,9.52%
South Redford School District (82140),6-Year,2011,246,218,<10,<10,26,88.62%,10.57%
Southgate Community School District (82405),4-Year,2013,668,301,23,134,210,45.06%,31.44%
Southgate Community School District (82405),5-Year,2012,813,399,17,99,298,49.08%,36.65%
Southgate Community School District (82405),6-Year,2011,895,443,34,52,366,49.50%,40.89%
Taylor School District (82150),4-Year,2013,614,468,10,76,60,76.22%,9.77%
