Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Academy of Inkster (82961),4-Year,2010,53,36,<10,<10,12,67.92%,22.64%
Academy of Inkster (82961),5-Year,2009,54,50,<10,<10,<10,92.59%,7.41%
Academy of Inkster (82961),6-Year,2008,56,49,<10,<10,<10,87.50%,12.50%
ACE Academy (SDA) (82998),4-Year,2010,60,<10,<10,18,34,13.33%,56.67%
ACE Academy (SDA) (82998),5-Year,2009,57,<10,<10,10,41,8.77%,71.93%
ACE Academy (SDA) (82998),6-Year,2008,27,<10,<10,<10,14,18.52%,51.85%
Advanced Technology Academy (63914),4-Year,2010,70,63,<10,<10,<10,90.00%,7.14%
Advanced Technology Academy (63914),5-Year,2009,70,66,<10,<10,<10,94.29%,5.71%
Advanced Technology Academy (63914),6-Year,2008,62,58,<10,<10,<10,93.55%,6.45%
Aisha Shule/WEB Dubois Prep. Academy School (82903),4-Year,2010,18,13,<10,<10,<10,72.22%,22.22%
Aisha Shule/WEB Dubois Prep. Academy School (82903),5-Year,2009,27,19,<10,<10,<10,70.37%,29.63%
Aisha Shule/WEB Dubois Prep. Academy School (82903),6-Year,2008,30,21,<10,<10,<10,70.00%,30.00%
Allen Academy (82955),4-Year,2010,63,55,<10,<10,<10,87.30%,12.70%
Allen Academy (82955),5-Year,2009,38,34,<10,<10,<10,89.47%,7.89%
Allen Academy (82955),6-Year,2008,32,<10,<10,<10,30,6.25%,93.75%
Blanche Kelso Bruce Academy (82971),4-Year,2010,134,<10,<10,74,57,2.24%,42.54%
Blanche Kelso Bruce Academy (82971),5-Year,2009,129,<10,<10,18,108,2.33%,83.72%
Blanche Kelso Bruce Academy (82971),6-Year,2008,103,<10,<10,<10,100,0.00%,97.09%
Casa Richard Academy (82902),4-Year,2010,59,31,<10,11,17,52.54%,28.81%
Casa Richard Academy (82902),5-Year,2009,36,16,<10,<10,17,44.44%,47.22%
Casa Richard Academy (82902),6-Year,2008,36,13,<10,<10,23,36.11%,63.89%
Cesar Chavez Academy (82918),4-Year,2010,114,88,<10,<10,21,77.19%,18.42%
Cesar Chavez Academy (82918),5-Year,2009,136,90,<10,<10,46,66.18%,33.82%
Cesar Chavez Academy (82918),6-Year,2008,112,80,<10,<10,31,71.43%,27.68%
Charlotte Forten Academy (82936),4-Year,2010,21,<10,<10,<10,17,4.76%,80.95%
Charlotte Forten Academy (82936),5-Year,2009,51,17,<10,<10,34,33.33%,66.67%
Charlotte Forten Academy (82936),6-Year,2008,105,38,<10,<10,67,36.19%,63.81%
Cherry Hill School of Performing Arts (82960),4-Year,2010,140,92,<10,<10,39,65.71%,27.86%
Cherry Hill School of Performing Arts (82960),5-Year,2009,86,59,<10,<10,26,68.60%,30.23%
Cherry Hill School of Performing Arts (82960),6-Year,2008,75,57,<10,<10,18,76.00%,24.00%
Clara B. Ford Academy (SDA) (82996),4-Year,2010,41,<10,<10,14,27,0.00%,65.85%
Clara B. Ford Academy (SDA) (82996),5-Year,2009,33,<10,<10,<10,25,18.18%,75.76%
Clara B. Ford Academy (SDA) (82996),6-Year,2008,20,<10,<10,<10,13,25.00%,65.00%
Covenant House Academy Detroit (82991),4-Year,2010,170,10,<10,59,101,5.88%,59.41%
Covenant House Academy Detroit (82991),5-Year,2009,206,25,<10,35,145,12.14%,70.39%
Covenant House Academy Detroit (82991),6-Year,2008,147,22,<10,16,109,14.97%,74.15%
Covenant House Academy East (82990),4-Year,2010,125,14,<10,50,61,11.20%,48.80%
Covenant House Academy East (82990),5-Year,2009,211,48,<10,38,125,22.75%,59.24%
Covenant House Academy East (82990),6-Year,2008,198,42,<10,<10,147,21.21%,74.24%
Covenant House Academy Southwest (82989),4-Year,2010,151,<10,<10,45,101,3.31%,66.89%
Covenant House Academy Southwest (82989),5-Year,2009,165,15,<10,21,129,9.09%,78.18%
Covenant House Academy Southwest (82989),6-Year,2008,188,34,<10,13,139,18.09%,73.94%
Detroit Academy of Arts and Sciences (82929),4-Year,2010,153,112,<10,<10,36,73.20%,23.53%
Detroit Academy of Arts and Sciences (82929),5-Year,2009,181,142,<10,<10,38,78.45%,20.99%
Detroit Academy of Arts and Sciences (82929),6-Year,2008,173,150,<10,<10,22,86.71%,12.72%
Detroit Community Schools (82925),4-Year,2010,117,92,<10,17,<10,78.63%,6.84%
Detroit Community Schools (82925),5-Year,2009,135,108,<10,<10,21,80.00%,15.56%
Detroit Community Schools (82925),6-Year,2008,111,103,<10,<10,<10,92.79%,5.41%
Detroit Midtown Academy (82964),4-Year,2010,71,53,<10,10,<10,74.65%,11.27%
Detroit Midtown Academy (82964),5-Year,2009,79,59,<10,<10,18,74.68%,22.78%
Detroit Midtown Academy (82964),6-Year,2008,32,<10,<10,<10,24,21.88%,75.00%
Frontier International Academy (82987),4-Year,2010,42,38,<10,<10,<10,90.48%,0.00%
Frontier International Academy (82987),5-Year,2009,35,29,<10,<10,<10,82.86%,17.14%
Frontier International Academy (82987),6-Year,2008,21,18,<10,<10,<10,85.71%,9.52%
George Crockett Academy (82937),4-Year,2010,10,10,<10,<10,<10,100.00%,0.00%
George Crockett Academy (82937),5-Year,2009,10,10,<10,<10,<10,100.00%,0.00%
George Crockett Academy (82937),6-Year,2008,<10,<10,<10,<10,<10,100.00%,0.00%
HEART Academy (82927),4-Year,2010,33,29,<10,<10,<10,87.88%,9.09%
HEART Academy (82927),5-Year,2009,30,26,<10,<10,<10,86.67%,13.33%
HEART Academy (82927),6-Year,2008,26,25,<10,<10,<10,96.15%,3.85%
Henry Ford Academy (82926),4-Year,2010,118,98,<10,<10,11,83.05%,9.32%
Henry Ford Academy (82926),5-Year,2009,104,99,<10,<10,<10,95.19%,4.81%
Henry Ford Academy (82926),6-Year,2008,114,111,<10,<10,<10,97.37%,2.63%
Hope of Detroit Academy (82957),4-Year,2010,11,<10,<10,<10,<10,81.82%,9.09%
Hope of Detroit Academy (82957),5-Year,2009,16,12,<10,<10,<10,75.00%,25.00%
Hope of Detroit Academy (82957),6-Year,2008,<10,<10,<10,<10,<10,83.33%,16.67%
Life Skills Center of Metropolitan Detroit (82978),4-Year,2010,173,11,<10,52,110,6.36%,63.58%
Life Skills Center of Metropolitan Detroit (82978),5-Year,2009,239,38,<10,27,174,15.90%,72.80%
Life Skills Center of Metropolitan Detroit (82978),6-Year,2008,213,38,<10,12,163,17.84%,76.53%
Marvin L. Winans Academy of Performing Arts (82924),4-Year,2010,44,38,<10,<10,<10,86.36%,9.09%
Marvin L. Winans Academy of Performing Arts (82924),5-Year,2009,87,74,<10,<10,13,85.06%,14.94%
Marvin L. Winans Academy of Performing Arts (82924),6-Year,2008,67,59,<10,<10,<10,88.06%,11.94%
McGivney Academy (SDA) (82721),4-Year,2010,<10,<10,<10,<10,<10,0.00%,60.00%
Michigan Health Academy (82917),4-Year,2010,39,31,<10,<10,<10,79.49%,10.26%
Michigan Health Academy (82917),5-Year,2009,38,32,<10,<10,<10,84.21%,13.16%
Michigan Health Academy (82917),6-Year,2008,39,31,<10,<10,<10,79.49%,20.51%
Michigan Technical Academy (82907),4-Year,2010,92,68,<10,<10,23,73.91%,25.00%
Michigan Technical Academy (82907),5-Year,2009,66,52,<10,<10,13,78.79%,19.70%
Michigan Technical Academy (82907),6-Year,2008,76,54,<10,<10,20,71.05%,26.32%
Oakland International Academy (63912),4-Year,2010,27,21,<10,<10,<10,77.78%,18.52%
Oakland International Academy (63912),5-Year,2009,20,19,<10,<10,<10,95.00%,5.00%
Oakland International Academy (63912),6-Year,2008,16,12,<10,<10,<10,75.00%,18.75%
Old Redford Academy (82956),4-Year,2010,135,114,<10,10,11,84.44%,8.15%
Old Redford Academy (82956),5-Year,2009,110,94,<10,<10,16,85.45%,14.55%
Old Redford Academy (82956),6-Year,2008,97,82,<10,<10,15,84.54%,15.46%
Riverside Academy (82975),4-Year,2010,38,31,<10,<10,<10,81.58%,7.89%
Riverside Academy (82975),5-Year,2009,23,21,<10,<10,<10,91.30%,8.70%
Riverside Academy (82975),6-Year,2008,12,12,<10,<10,<10,100.00%,0.00%
Ross-Hill Academy (82948),4-Year,2010,24,18,<10,<10,<10,75.00%,8.33%
Ross-Hill Academy (82948),5-Year,2009,22,14,<10,<10,<10,63.64%,31.82%
Ross-Hill Academy (82948),6-Year,2008,18,14,<10,<10,<10,77.78%,16.67%
Star International Academy (82941),4-Year,2010,64,49,<10,<10,15,76.56%,23.44%
Star International Academy (82941),5-Year,2009,50,48,<10,<10,<10,96.00%,4.00%
Star International Academy (82941),6-Year,2008,75,70,<10,<10,<10,93.33%,5.33%
Summit Academy North (82938),4-Year,2010,109,101,<10,<10,<10,92.66%,7.34%
Summit Academy North (82938),5-Year,2009,102,84,<10,<10,17,82.35%,16.67%
Summit Academy North (82938),6-Year,2008,98,88,<10,<10,10,89.80%,10.20%
Trillium Academy (82973),4-Year,2010,35,28,<10,<10,<10,80.00%,5.71%
Trillium Academy (82973),5-Year,2009,23,20,<10,<10,<10,86.96%,13.04%
Trillium Academy (82973),6-Year,2008,<10,<10,<10,<10,<10,50.00%,50.00%
Universal Academy (82950),4-Year,2010,25,22,<10,<10,<10,88.00%,8.00%
Universal Academy (82950),5-Year,2009,31,28,<10,<10,<10,90.32%,9.68%
Universal Academy (82950),6-Year,2008,25,21,<10,<10,<10,84.00%,16.00%
University Preparatory Academy (82965),6-Year,2008,122,122,<10,<10,<10,100.00%,0.00%
University Preparatory Academy (PSAD) (82702),4-Year,2010,120,113,<10,<10,<10,94.17%,2.50%
University Preparatory Academy (PSAD) (82702),5-Year,2009,128,124,<10,<10,<10,96.88%,3.13%
Vista Meadows Academy (82716),4-Year,2010,19,<10,<10,<10,<10,31.58%,15.79%
Vista Meadows Academy (82716),5-Year,2009,<10,<10,<10,<10,<10,12.50%,75.00%
Vista Meadows Academy (82716),6-Year,2008,<10,<10,<10,<10,<10,100.00%,0.00%
Voyageur Academy (82940),4-Year,2010,81,74,<10,<10,<10,91.36%,4.94%
Voyageur Academy (82940),5-Year,2009,75,63,<10,<10,12,84.00%,16.00%
Voyageur Academy (82940),6-Year,2008,89,84,<10,<10,<10,94.38%,5.62%
Weston Preparatory Academy (82943),4-Year,2010,58,46,<10,<10,11,79.31%,18.97%
Weston Preparatory Academy (82943),5-Year,2009,53,45,<10,<10,<10,84.91%,15.09%
Weston Preparatory Academy (82943),6-Year,2008,61,42,<10,<10,18,68.85%,29.51%
Wayne RESA - District created from ISD (82000),4-Year,2010,16,<10,<10,<10,12,N/A,75.00%
Wayne RESA - District created from ISD (82000),6-Year,2008,<10,<10,<10,<10,<10,N/A,100.00%
Some percentages may not add to 100% due to rounding.,,,,,,,,,
