Location.Name,Rate.Year,Cohort.Graduation.Year,Total.Cohort,Total.Graduated,OffTrack.Other,Dropouts,Graduation.Rate,Dropout.Rate,gradyear,enrollyear,School.Name,ZIP.Code,Latitude,Longitude
Dearborn Heights School District #7 (82040),6-Year,2012,184,159,-1,26,0.8587,0.1359,2014,2008,Dearborn Heights School District ,48125,42.27578,-83.239647
Dearborn Heights School District #7 (82040),4-Year,2009,161,128,16,17,0.795,0.0994,2009,2005,Dearborn Heights School District ,48125,42.27578,-83.239647
Dearborn Heights School District #7 (82040),5-Year,2008,155,121,1,33,0.7806,0.2065,2009,2004,Dearborn Heights School District ,48125,42.27578,-83.239647
Dearborn Heights School District #7 (82040),5-Year,2013,184,147,4,33,0.7989,0.1793,2014,2009,Dearborn Heights School District ,48125,42.27578,-83.239647
Dearborn Heights School District #7 (82040),4-Year,2014,198,137,37,24,0.6919,0.1162,2014,2010,Dearborn Heights School District ,48125,42.27578,-83.239647
Detroit Academy of Arts and Sciences (82929),4-Year,2012,20,1,0,19,0.05,0.95,2012,2008,Detroit Academy of Arts and Sciences,48207,42.33168322,-83.04799903
Detroit Academy of Arts and Sciences (82929),6-Year,2012,19,1,-1,19,0.0526,0.9474,2014,2008,Detroit Academy of Arts and Sciences,48207,42.33168322,-83.04799903
Detroit Academy of Arts and Sciences (82929),6-Year,2008,173,151,-1,23,0.8671,0.1272,2010,2004,Detroit Academy of Arts and Sciences,48207,42.33168322,-83.04799903
Detroit Academy of Arts and Sciences (82929),5-Year,2009,181,142,1,38,0.7845,0.2099,2010,2005,Detroit Academy of Arts and Sciences,48207,42.33168322,-83.04799903
Detroit Academy of Arts and Sciences (82929),5-Year,2008,175,152,0,23,0.8629,0.1314,2009,2004,Detroit Academy of Arts and Sciences,48207,42.33168322,-83.04799903
Detroit Academy of Arts and Sciences (82929),6-Year,2009,180,141,-1,40,0.7833,0.2167,2011,2005,Detroit Academy of Arts and Sciences,48207,42.33168322,-83.04799903
Detroit Academy of Arts and Sciences (82929),6-Year,2011,147,120,-1,28,0.8163,0.1837,2013,2007,Detroit Academy of Arts and Sciences,48207,42.33168322,-83.04799903
Detroit Academy of Arts and Sciences (82929),4-Year,2009,194,143,14,37,0.732,0.1907,2009,2005,Detroit Academy of Arts and Sciences,48207,42.33168322,-83.04799903
Detroit Academy of Arts and Sciences (82929),5-Year,2010,149,113,0,36,0.7517,0.2416,2011,2006,Detroit Academy of Arts and Sciences,48207,42.33168322,-83.04799903
Detroit Academy of Arts and Sciences (82929),6-Year,2010,145,112,-1,34,0.7724,0.2276,2012,2006,Detroit Academy of Arts and Sciences,48207,42.33168322,-83.04799903
Detroit Academy of Arts and Sciences (82929),5-Year,2012,19,1,-1,19,0.0526,0.9474,2013,2008,Detroit Academy of Arts and Sciences,48207,42.33168322,-83.04799903
Detroit Academy of Arts and Sciences (82929),6-Year,2007,161,135,-1,27,0.8385,0.1615,2009,2003,Detroit Academy of Arts and Sciences,48207,42.33168322,-83.04799903
Detroit Academy of Arts and Sciences (82929),5-Year,2011,149,121,0,28,0.8054,0.1879,2012,2007,Detroit Academy of Arts and Sciences,48207,42.33168322,-83.04799903
Detroit Academy of Arts and Sciences (82929),4-Year,2011,165,121,9,35,0.7333,0.2121,2011,2007,Detroit Academy of Arts and Sciences,48207,42.33168322,-83.04799903
Detroit Academy of Arts and Sciences (82929),4-Year,2010,153,112,4,37,0.732,0.2353,2010,2006,Detroit Academy of Arts and Sciences,48207,42.33168322,-83.04799903
Detroit City School District (82010),5-Year,2012,5522,3986,247,1289,0.7217,0.2334,2013,2008,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),6-Year,2007,9292,6093,206,2993,0.6557,0.322,2009,2003,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),5-Year,2013,4031,2840,238,953,0.7043,0.2362,2014,2009,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),6-Year,2010,7383,5242,143,1998,0.71,0.2705,2012,2006,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),4-Year,2013,4130,2666,528,936,0.6455,0.2264,2013,2009,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),4-Year,2010,7895,4917,1470,1508,0.6227,0.1909,2010,2006,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),4-Year,2012,5877,3805,933,1139,0.6474,0.1938,2012,2008,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),4-Year,2009,8709,5195,1676,1838,0.5965,0.211,2009,2005,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),5-Year,2008,9348,6010,534,2804,0.6429,0.2999,2009,2004,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),4-Year,2014,3309,2352,351,606,0.7105,0.1831,2014,2010,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),4-Year,2015,3303,2555,369,379,0.7735,0.1147,2015,2011,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),6-Year,2012,5487,4015,162,1310,0.7317,0.2386,2014,2008,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),5-Year,2011,6666,4605,363,1698,0.6908,0.2547,2012,2007,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),4-Year,2011,7193,4298,1455,1440,0.5974,0.2001,2011,2007,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),6-Year,2009,8393,5714,272,2407,0.6808,0.2867,2011,2005,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),6-Year,2011,6575,4637,196,1742,0.7052,0.2648,2013,2007,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),6-Year,2008,9168,6179,301,2688,0.6739,0.2931,2010,2004,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),6-Year,2013,4017,2861,191,965,0.7122,0.24,2015,2009,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),5-Year,2009,8463,5681,557,2225,0.6712,0.2629,2010,2005,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),5-Year,2014,3276,2546,170,560,0.7769,0.1709,2015,2010,Detroit City School District,48202,42.33168322,-83.04799903
Detroit City School District (82010),5-Year,2010,7659,5236,489,1934,0.6836,0.2525,2011,2006,Detroit City School District,48202,42.33168322,-83.04799903
Detroit Community Schools (82925),4-Year,2014,111,89,15,7,0.7928,0.0541,2014,2010,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),5-Year,2011,128,112,-1,17,0.8672,0.1328,2012,2007,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),6-Year,2013,117,107,-1,11,0.9145,0.0855,2015,2009,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),6-Year,2010,110,94,-1,17,0.8545,0.1455,2012,2006,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),4-Year,2010,117,92,16,9,0.7863,0.0684,2010,2006,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),5-Year,2013,119,107,1,11,0.8908,0.0924,2014,2009,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),5-Year,2014,107,92,1,14,0.8598,0.1215,2015,2010,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),4-Year,2012,135,112,4,19,0.8296,0.1407,2012,2008,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),6-Year,2009,134,109,-1,26,0.806,0.1866,2011,2005,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),4-Year,2013,120,103,5,12,0.8583,0.1,2013,2009,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),6-Year,2012,128,112,0,16,0.875,0.125,2014,2008,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),6-Year,2008,111,103,1,7,0.9279,0.0541,2010,2004,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),5-Year,2008,112,103,2,7,0.9196,0.0625,2009,2004,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),4-Year,2009,137,108,6,23,0.7883,0.1606,2009,2005,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),5-Year,2009,135,108,5,22,0.8,0.1556,2010,2005,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),6-Year,2011,127,111,-1,17,0.874,0.126,2013,2007,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),4-Year,2015,105,93,0,12,0.8762,0.1048,2015,2011,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),5-Year,2010,112,95,-1,18,0.8393,0.1518,2011,2006,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),5-Year,2012,128,112,0,16,0.875,0.125,2013,2008,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),6-Year,2007,102,89,1,12,0.8725,0.1176,2009,2003,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Community Schools (82925),4-Year,2011,135,111,1,23,0.8222,0.163,2011,2007,Detroit Community Schools,48223,42.33168322,-83.04799903
Detroit Edison Public School Academy (82945),5-Year,2014,96,92,2,2,0.9583,0.0208,2015,2010,Detroit Edison Public School Academy,48207,42.33168322,-83.04799903
Detroit Edison Public School Academy (82945),4-Year,2014,96,92,2,2,0.9583,0.0208,2014,2010,Detroit Edison Public School Academy,48207,42.33168322,-83.04799903
Detroit Edison Public School Academy (82945),4-Year,2015,85,81,0,4,0.9529,0.0353,2015,2011,Detroit Edison Public School Academy,48207,42.33168322,-83.04799903
Detroit Midtown Academy (82964),5-Year,2009,79,59,2,18,0.7468,0.2278,2010,2005,Detroit Midtown Academy,48235,42.438858,-83.196144
Detroit Midtown Academy (82964),4-Year,2012,95,72,11,12,0.7474,0.1263,2012,2008,Detroit Midtown Academy,48235,42.438858,-83.196144
Detroit Midtown Academy (82964),6-Year,2010,70,60,-1,11,0.8571,0.1429,2012,2006,Detroit Midtown Academy,48235,42.438858,-83.196144
Detroit Midtown Academy (82964),5-Year,2011,72,57,1,14,0.7778,0.1806,2012,2007,Detroit Midtown Academy,48235,42.438858,-83.196144
Detroit Midtown Academy (82964),6-Year,2012,86,72,3,11,0.8256,0.1279,2014,2008,Detroit Midtown Academy,48235,42.438858,-83.196144
Detroit Midtown Academy (82964),5-Year,2010,71,60,1,10,0.831,0.1408,2011,2006,Detroit Midtown Academy,48235,42.438858,-83.196144
Detroit Midtown Academy (82964),6-Year,2009,77,59,-1,19,0.7662,0.2338,2011,2005,Detroit Midtown Academy,48235,42.438858,-83.196144
Detroit Midtown Academy (82964),6-Year,2007,32,18,0,14,0.5625,0.4375,2009,2003,Detroit Midtown Academy,48235,42.438858,-83.196144
Detroit Midtown Academy (82964),4-Year,2011,72,52,7,13,0.7222,0.1667,2011,2007,Detroit Midtown Academy,48235,42.438858,-83.196144
Detroit Midtown Academy (82964),5-Year,2012,87,72,4,11,0.8161,0.1264,2013,2008,Detroit Midtown Academy,48235,42.438858,-83.196144
Detroit Midtown Academy (82964),6-Year,2008,32,8,0,24,0.2188,0.75,2010,2004,Detroit Midtown Academy,48235,42.438858,-83.196144
Detroit Midtown Academy (82964),5-Year,2008,33,7,1,25,0.2121,0.7273,2009,2004,Detroit Midtown Academy,48235,42.438858,-83.196144
Detroit Midtown Academy (82964),4-Year,2010,71,54,8,9,0.7465,0.1127,2010,2006,Detroit Midtown Academy,48235,42.438858,-83.196144
Detroit Midtown Academy (82964),6-Year,2011,69,57,0,12,0.8116,0.1739,2013,2007,Detroit Midtown Academy,48235,42.438858,-83.196144
Detroit Midtown Academy (82964),4-Year,2009,82,51,16,15,0.6098,0.1829,2009,2005,Detroit Midtown Academy,48235,42.438858,-83.196144
Ecorse Public Schools (82250),4-Year,2009,125,65,29,31,0.52,0.248,2009,2005,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),6-Year,2008,138,78,3,57,0.558,0.4058,2010,2004,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),6-Year,2011,138,87,-1,52,0.6232,0.3768,2013,2007,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),4-Year,2012,142,84,34,24,0.5915,0.169,2012,2008,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),6-Year,2013,137,92,2,43,0.6715,0.3066,2015,2009,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),6-Year,2007,143,83,1,59,0.5804,0.4056,2009,2003,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),5-Year,2009,121,75,10,36,0.6116,0.2893,2010,2005,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),5-Year,2008,140,71,15,54,0.5071,0.3786,2009,2004,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),4-Year,2014,115,73,17,25,0.6261,0.2087,2014,2010,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),6-Year,2010,149,92,6,51,0.6174,0.3356,2012,2006,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),5-Year,2013,138,89,7,42,0.6449,0.3043,2014,2009,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),5-Year,2014,112,77,7,28,0.6786,0.25,2015,2010,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),6-Year,2009,126,77,2,47,0.6111,0.373,2011,2005,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),5-Year,2012,139,96,12,31,0.6906,0.223,2013,2008,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),6-Year,2012,138,100,3,35,0.7174,0.2536,2014,2008,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),5-Year,2010,149,91,13,45,0.6107,0.302,2011,2006,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),5-Year,2011,134,83,4,47,0.6194,0.3433,2012,2007,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),4-Year,2015,109,60,23,26,0.5413,0.2385,2015,2011,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),4-Year,2011,130,72,25,33,0.5462,0.2538,2011,2007,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),4-Year,2010,138,80,25,33,0.5725,0.2319,2010,2006,Ecorse Public Schools,48229,42.25544155,-83.13935863
Ecorse Public Schools (82250),4-Year,2013,136,82,21,33,0.5956,0.2426,2013,2009,Ecorse Public Schools,48229,42.25544155,-83.13935863
Flat Rock Community Schools (82180),6-Year,2008,135,112,1,22,0.8296,0.1556,2010,2004,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),5-Year,2009,130,108,0,22,0.8231,0.1692,2010,2005,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),5-Year,2012,122,111,2,9,0.9098,0.0656,2013,2008,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),6-Year,2013,151,141,0,10,0.9272,0.0662,2015,2009,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),4-Year,2014,130,113,8,9,0.8692,0.0692,2014,2010,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),5-Year,2014,130,114,3,13,0.8769,0.1,2015,2010,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),6-Year,2009,128,107,-1,22,0.8359,0.1641,2011,2005,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),6-Year,2011,129,118,1,10,0.9147,0.0775,2013,2007,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),6-Year,2010,132,118,-1,15,0.8864,0.1136,2012,2006,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),4-Year,2015,152,133,11,8,0.875,0.0461,2015,2011,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),5-Year,2010,138,115,1,22,0.8261,0.1594,2011,2006,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),4-Year,2012,124,109,7,8,0.871,0.0645,2012,2008,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),4-Year,2010,143,109,16,18,0.7622,0.1189,2010,2006,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),4-Year,2011,137,114,13,10,0.8321,0.0657,2011,2007,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),5-Year,2008,138,113,-1,26,0.8116,0.1884,2009,2004,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),5-Year,2011,130,119,1,10,0.9077,0.0769,2012,2007,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),4-Year,2009,139,107,8,24,0.7626,0.1655,2009,2005,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),6-Year,2007,131,122,-1,10,0.9237,0.0763,2009,2003,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),4-Year,2013,156,138,8,10,0.8846,0.0641,2013,2009,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),6-Year,2012,121,112,-1,10,0.9174,0.0744,2014,2008,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Flat Rock Community Schools (82180),5-Year,2013,152,141,0,11,0.9211,0.0658,2014,2009,Flat Rock Community Schools,48134,42.09450377,-83.28091778
Frontier International Academy (82987),4-Year,2012,53,48,2,3,0.8868,0.0566,2012,2008,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),5-Year,2013,73,72,-1,2,0.9863,0.0137,2014,2009,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),5-Year,2011,49,46,0,3,0.9184,0.0612,2012,2007,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),5-Year,2010,42,42,0,0,1,0,2011,2006,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),5-Year,2012,53,51,-1,3,0.9434,0.0566,2013,2008,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),5-Year,2008,25,18,2,5,0.72,0.2,2009,2004,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),4-Year,2011,49,46,0,3,0.9184,0.0612,2011,2007,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),6-Year,2008,21,18,1,2,0.8571,0.0952,2010,2004,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),6-Year,2009,35,30,-1,6,0.8286,0.1714,2011,2005,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),5-Year,2014,88,87,-1,2,0.9773,0.0114,2015,2010,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),6-Year,2012,53,51,-1,3,0.9434,0.0566,2014,2008,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),5-Year,2009,35,30,-1,6,0.8286,0.1714,2010,2005,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),6-Year,2011,49,46,0,3,0.9184,0.0612,2013,2007,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),4-Year,2013,74,72,1,1,0.9595,0.0135,2013,2009,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),4-Year,2010,42,39,3,0,0.9048,0,2010,2006,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),6-Year,2013,72,72,0,0,1,0,2015,2009,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),4-Year,2014,87,74,11,2,0.8391,0.0115,2014,2010,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),6-Year,2010,42,42,0,0,1,0,2012,2006,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),4-Year,2009,40,24,11,5,0.6,0.125,2009,2005,Frontier International Academy,48212,42.33168322,-83.04799903
Frontier International Academy (82987),4-Year,2015,98,98,0,0,0.9898,0,2015,2011,Frontier International Academy,48212,42.33168322,-83.04799903
Garden City Public Schools (82050),6-Year,2011,566,423,15,128,0.7456,0.2244,2013,2007,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),5-Year,2012,602,447,45,110,0.7425,0.1827,2013,2008,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),6-Year,2010,608,398,49,161,0.653,0.2648,2012,2006,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),5-Year,2009,589,391,75,123,0.6638,0.2088,2010,2005,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),6-Year,2013,624,468,26,130,0.7484,0.2083,2015,2009,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),4-Year,2015,477,352,82,43,0.7379,0.0901,2015,2011,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),5-Year,2014,548,399,40,109,0.7263,0.1971,2015,2010,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),4-Year,2012,574,378,110,86,0.6585,0.1498,2012,2008,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),4-Year,2010,570,344,137,89,0.6035,0.1561,2010,2006,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),4-Year,2011,544,340,136,68,0.625,0.1232,2011,2007,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),5-Year,2008,566,375,66,125,0.6608,0.2191,2009,2004,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),5-Year,2011,570,411,37,122,0.7193,0.2123,2012,2007,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),4-Year,2013,610,400,105,105,0.6541,0.1705,2013,2009,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),6-Year,2008,571,390,32,149,0.683,0.2609,2010,2004,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),4-Year,2009,560,324,161,75,0.5768,0.1339,2009,2005,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),6-Year,2009,592,412,25,155,0.6943,0.2618,2011,2005,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),6-Year,2012,608,468,23,117,0.7697,0.1908,2014,2008,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),5-Year,2010,600,383,88,129,0.6383,0.215,2011,2006,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),6-Year,2007,561,365,28,168,0.6506,0.2977,2009,2003,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),5-Year,2013,627,461,42,124,0.7337,0.1962,2014,2009,Garden City Public Schools,48135,42.32977171,-83.33110839
Garden City Public Schools (82050),4-Year,2014,540,363,103,74,0.6704,0.137,2014,2010,Garden City Public Schools,48135,42.32977171,-83.33110839
George Crockett Academy (82937),6-Year,2012,11,9,-1,3,0.7273,0.2727,2014,2008,George Crockett Academy,48208,42.33168322,-83.04799903
George Crockett Academy (82937),6-Year,2010,10,10,0,0,1,0,2012,2006,George Crockett Academy,48208,42.33168322,-83.04799903
George Crockett Academy (82937),6-Year,2009,10,10,0,0,1,0,2011,2005,George Crockett Academy,48208,42.33168322,-83.04799903
George Crockett Academy (82937),5-Year,2009,10,10,0,0,1,0,2010,2005,George Crockett Academy,48208,42.33168322,-83.04799903
George Crockett Academy (82937),4-Year,2009,11,11,0,0,1,0,2009,2005,George Crockett Academy,48208,42.33168322,-83.04799903
George Crockett Academy (82937),4-Year,2012,12,7,2,3,0.5833,0.1667,2012,2008,George Crockett Academy,48208,42.33168322,-83.04799903
George Crockett Academy (82937),5-Year,2012,11,9,-1,3,0.7273,0.2727,2013,2008,George Crockett Academy,48208,42.33168322,-83.04799903
George Crockett Academy (82937),5-Year,2010,10,10,0,0,1,0,2011,2006,George Crockett Academy,48208,42.33168322,-83.04799903
George Crockett Academy (82937),4-Year,2010,10,10,0,0,1,0,2010,2006,George Crockett Academy,48208,42.33168322,-83.04799903
Gibraltar School District (82290),5-Year,2012,284,267,2,15,0.9401,0.0528,2013,2008,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),4-Year,2012,295,253,29,13,0.8576,0.0407,2012,2008,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),6-Year,2010,267,245,2,20,0.9176,0.0712,2012,2006,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),6-Year,2011,231,207,2,22,0.8918,0.0952,2013,2007,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),5-Year,2014,280,259,1,20,0.925,0.0714,2015,2010,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),6-Year,2013,285,260,2,23,0.9088,0.0807,2015,2009,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),4-Year,2010,277,236,29,12,0.8484,0.0433,2010,2006,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),4-Year,2015,312,271,29,12,0.8654,0.0353,2015,2011,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),5-Year,2008,267,248,-1,20,0.9251,0.0749,2009,2004,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),6-Year,2007,228,204,-1,25,0.8904,0.1096,2009,2003,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),5-Year,2011,234,205,5,24,0.8718,0.0983,2012,2007,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),4-Year,2013,291,242,40,9,0.8316,0.0275,2013,2009,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),4-Year,2011,239,201,22,16,0.841,0.0628,2011,2007,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),5-Year,2010,265,241,9,15,0.9094,0.0566,2011,2006,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),5-Year,2009,294,270,2,22,0.915,0.0748,2010,2005,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),6-Year,2012,284,270,-1,15,0.9472,0.0528,2014,2008,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),4-Year,2009,302,261,23,18,0.8642,0.0596,2009,2005,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),4-Year,2014,287,246,23,18,0.8537,0.0627,2014,2010,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),5-Year,2013,286,257,3,26,0.8986,0.0909,2014,2009,Gibraltar School District,48183,42.1384909,-83.24478661
Gibraltar School District (82290),6-Year,2009,293,272,4,17,0.9283,0.058,2011,2005,Gibraltar School District,48183,42.1384909,-83.24478661
