Location.Name,Rate.Year,Cohort.Graduation.Year,Total.Cohort,Total.Graduated,OffTrack.Other,Dropouts,Graduation.Rate,Dropout.Rate,gradyear,enrollyear,School.Name,ZIP.Code,Latitude,Longitude
Advanced Technology Academy (63914),6-Year,2008,62,59,-1,4,0.9355,0.0645,2010,2004,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),6-Year,2010,69,64,-1,6,0.9275,0.0725,2012,2006,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),4-Year,2010,70,63,2,5,0.9,0.0714,2010,2006,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),5-Year,2009,70,67,-1,4,0.9429,0.0571,2010,2005,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),5-Year,2012,97,89,3,5,0.9175,0.0515,2013,2008,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),5-Year,2014,101,95,-1,7,0.9307,0.0693,2015,2010,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),5-Year,2011,84,82,-1,3,0.9643,0.0357,2012,2007,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),4-Year,2013,113,93,17,3,0.8142,0.0265,2013,2009,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),5-Year,2013,112,109,-1,4,0.9732,0.0268,2014,2009,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),6-Year,2012,95,89,2,4,0.9368,0.0421,2014,2008,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),6-Year,2009,71,68,-1,4,0.9437,0.0423,2011,2005,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),6-Year,2013,112,109,-1,4,0.9732,0.0268,2015,2009,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),4-Year,2014,104,94,4,6,0.9038,0.0481,2014,2010,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),4-Year,2009,66,61,3,2,0.9242,0.0303,2009,2005,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),6-Year,2011,84,82,-1,3,0.9643,0.0357,2013,2007,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),6-Year,2007,65,49,-1,17,0.7538,0.2462,2009,2003,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),4-Year,2011,89,81,5,3,0.9101,0.0225,2011,2007,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),5-Year,2010,70,65,-1,6,0.9143,0.0857,2011,2006,Advanced Technology Academy,48126,42.32207206,-83.17628924
Advanced Technology Academy (63914),5-Year,2008,67,63,0,4,0.9254,0.0597,2009,2004,Advanced Technology Academy,48126,42.32207206,-83.17628924
Aisha Shule/WEB Dubois Prep. Academy School (82903),6-Year,2009,27,19,-1,9,0.7037,0.2963,2011,2005,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),6-Year,2012,24,17,-1,8,0.7083,0.2917,2014,2008,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),6-Year,2013,16,12,0,4,0.75,0.25,2015,2009,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),5-Year,2010,17,13,-1,5,0.7059,0.2941,2011,2006,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),5-Year,2011,19,17,-1,3,0.8947,0.1053,2012,2007,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),4-Year,2011,19,17,-1,3,0.8947,0.1053,2011,2007,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),6-Year,2008,30,21,0,9,0.7,0.3,2010,2004,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),4-Year,2010,18,13,1,4,0.7222,0.2222,2010,2006,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),5-Year,2013,16,12,0,4,0.75,0.25,2014,2009,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),5-Year,2009,27,19,-1,9,0.7037,0.2963,2010,2005,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),6-Year,2010,17,13,-1,5,0.7059,0.2941,2012,2006,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),6-Year,2007,20,18,0,2,0.9,0.1,2009,2003,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),6-Year,2011,19,17,-1,3,0.8947,0.1053,2013,2007,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),4-Year,2012,24,17,-1,8,0.7083,0.2917,2012,2008,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),5-Year,2008,31,21,1,9,0.6774,0.2903,2009,2004,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),4-Year,2013,18,13,-1,6,0.6667,0.2778,2013,2009,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),4-Year,2009,29,19,5,5,0.6207,0.1724,2009,2005,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Aisha Shule/WEB Dubois Prep. Academy School (82903),5-Year,2012,24,17,-1,8,0.7083,0.2917,2013,2008,Aisha Shule/WEB Dubois Prep. Academy School,48221,42.442139,-83.158508
Allen Academy (82955),6-Year,2012,49,48,-1,2,0.9592,0.0408,2014,2008,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),5-Year,2013,38,32,-1,7,0.8421,0.1579,2014,2009,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),4-Year,2014,66,57,3,6,0.8485,0.0758,2014,2010,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),5-Year,2014,64,56,1,7,0.875,0.0938,2015,2010,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),5-Year,2010,64,56,-1,9,0.8594,0.1406,2011,2006,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),4-Year,2015,52,37,7,8,0.7115,0.1538,2015,2011,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),4-Year,2009,37,31,2,4,0.8378,0.0811,2009,2005,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),4-Year,2011,51,42,1,8,0.8235,0.1373,2011,2007,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),6-Year,2013,38,32,0,6,0.8421,0.1316,2015,2009,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),6-Year,2009,38,36,-1,3,0.9211,0.0789,2011,2005,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),4-Year,2010,63,55,-1,9,0.873,0.127,2010,2006,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),5-Year,2009,38,34,1,3,0.8947,0.0789,2010,2005,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),6-Year,2010,63,55,-1,9,0.873,0.127,2012,2006,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),6-Year,2011,51,44,-1,8,0.8627,0.1373,2013,2007,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),5-Year,2012,49,48,-1,2,0.9592,0.0408,2013,2008,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),5-Year,2011,51,44,-1,8,0.8627,0.1373,2012,2007,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),5-Year,2008,32,2,0,30,0.0625,0.9375,2009,2004,Allen Academy,48204,42.33168322,-83.04799903
