,ENROLL_YEAR,SCHOOL_NAME,COHORT_GRAD_YEAR,GRAD_YEAR,NUM_COHORT,NUM_GRADUATES,NUM_DROPOUTS,GRAD_RATE,DROP_RATE,ZIP,LATITUDE,LONGITUDE
243,2010,Grosse Pointe Public Schools,2014,2015,750,714,18,0.952,0.024,48230,42.38641145,-82.91117847
244,2011,Grosse Pointe Public Schools,2015,2015,732,696,8,0.950819672,0.010928962,48230,42.38641145,-82.91117847
245,2003,"Hamtramck, School District of the City of",2007,2009,235,161,73,0.685106383,0.310638298,48212,42.39941241,-83.05172827
246,2004,"Hamtramck, School District of the City of",2008,2010,241,156,81,0.647302905,0.336099585,48212,42.39941241,-83.05172827
247,2005,"Hamtramck, School District of the City of",2009,2011,277,171,93,0.61732852,0.335740072,48212,42.39941241,-83.05172827
248,2006,"Hamtramck, School District of the City of",2010,2012,305,194,99,0.636065574,0.324590164,48212,42.39941241,-83.05172827
249,2007,"Hamtramck, School District of the City of",2011,2013,250,163,81,0.652,0.324,48212,42.39941241,-83.05172827
250,2008,"Hamtramck, School District of the City of",2012,2014,222,141,77,0.635135135,0.346846847,48212,42.39941241,-83.05172827
251,2009,"Hamtramck, School District of the City of",2013,2015,318,190,117,0.597484277,0.367924528,48212,42.39941241,-83.05172827
252,2010,"Hamtramck, School District of the City of",2014,2015,318,215,90,0.676100629,0.283018868,48212,42.39941241,-83.05172827
253,2011,"Hamtramck, School District of the City of",2015,2015,287,208,49,0.724738676,0.170731707,48212,42.39941241,-83.05172827
254,2003,"Harper Woods, The School District of the City of",2007,2009,91,83,9,0.912087912,0.098901099,48225,42.43309166,-82.92339787
255,2004,"Harper Woods, The School District of the City of",2008,2010,92,81,12,0.880434783,0.130434783,48225,42.43309166,-82.92339787
256,2005,"Harper Woods, The School District of the City of",2009,2011,96,86,6,0.895833333,0.0625,48225,42.43309166,-82.92339787
257,2006,"Harper Woods, The School District of the City of",2010,2012,98,84,12,0.857142857,0.12244898,48225,42.43309166,-82.92339787
258,2007,"Harper Woods, The School District of the City of",2011,2013,151,124,26,0.821192053,0.17218543,48225,42.43309166,-82.92339787
259,2008,"Harper Woods, The School District of the City of",2012,2014,211,158,41,0.748815166,0.194312796,48225,42.43309166,-82.92339787
260,2009,"Harper Woods, The School District of the City of",2013,2015,282,144,118,0.510638298,0.418439716,48225,42.43309166,-82.92339787
261,2010,"Harper Woods, The School District of the City of",2014,2015,301,145,108,0.481727575,0.358803987,48225,42.43309166,-82.92339787
262,2011,"Harper Woods, The School District of the City of",2015,2015,335,144,104,0.429850746,0.310447761,48225,42.43309166,-82.92339787
263,2003,HEART Academy,2007,2009,43,40,4,0.930232558,0.093023256,48225,42.43309166,-82.92339787
264,2004,HEART Academy,2008,2010,26,25,2,0.961538462,0.076923077,48225,42.43309166,-82.92339787
265,2005,HEART Academy,2009,2011,31,27,4,0.870967742,0.129032258,48225,42.43309166,-82.92339787
266,2006,HEART Academy,2010,2012,33,30,3,0.909090909,0.090909091,48225,42.43309166,-82.92339787
267,2007,HEART Academy,2011,2013,45,34,10,0.755555556,0.222222222,48225,42.43309166,-82.92339787
268,2008,HEART Academy,2012,2014,48,42,6,0.875,0.125,48225,42.43309166,-82.92339787
269,2009,HEART Academy,2013,2015,26,23,4,0.884615385,0.153846154,48225,42.43309166,-82.92339787
270,2010,HEART Academy,2014,2015,18,14,2,0.777777778,0.111111111,48225,42.43309166,-82.92339787
271,2003,Henry Ford Academy,2007,2009,109,104,6,0.95412844,0.055045872,48120,42.32207206,-83.17628924
272,2004,Henry Ford Academy,2008,2010,116,112,5,0.965517241,0.043103448,48120,42.32207206,-83.17628924
273,2005,Henry Ford Academy,2009,2011,106,99,6,0.933962264,0.056603774,48120,42.32207206,-83.17628924
274,2006,Henry Ford Academy,2010,2012,118,105,13,0.889830508,0.110169492,48120,42.32207206,-83.17628924
275,2007,Henry Ford Academy,2011,2013,108,90,14,0.833333333,0.12962963,48120,42.32207206,-83.17628924
276,2008,Henry Ford Academy,2012,2014,106,98,4,0.924528302,0.037735849,48120,42.32207206,-83.17628924
277,2009,Henry Ford Academy,2013,2015,122,117,2,0.959016393,0.016393443,48120,42.32207206,-83.17628924
278,2010,Henry Ford Academy,2014,2015,112,106,5,0.946428571,0.044642857,48120,42.32207206,-83.17628924
279,2011,Henry Ford Academy,2015,2015,100,93,3,0.93,0.03,48120,42.32207206,-83.17628924
280,2009,Henry Ford Academy: School for Creative Studies (PSAD),2013,2015,87,75,12,0.862068966,0.137931034,48202,42.33168322,-83.04799903
281,2010,Henry Ford Academy: School for Creative Studies (PSAD),2014,2015,88,78,9,0.886363636,0.102272727,48202,42.33168322,-83.04799903
282,2011,Henry Ford Academy: School for Creative Studies (PSAD),2015,2015,105,101,1,0.961904762,0.00952381,48202,42.33168322,-83.04799903
283,2003,Highland Park City Schools,2007,2009,739,266,459,0.359945873,0.621109608,48203,42.40580348,-83.0960191
284,2004,Highland Park City Schools,2008,2010,751,295,413,0.392809587,0.549933422,48203,42.40580348,-83.0960191
285,2005,Highland Park City Schools,2009,2011,584,216,262,0.369863014,0.448630137,48203,42.40580348,-83.0960191
286,2006,Highland Park City Schools,2010,2012,383,153,179,0.399477807,0.467362924,48203,42.40580348,-83.0960191
287,2007,Highland Park City Schools,2011,2013,305,113,165,0.370491803,0.540983607,48203,42.40580348,-83.0960191
288,2008,Highland Park City Schools,2012,2014,175,84,76,0.48,0.434285714,48203,42.40580348,-83.0960191
289,2009,Highland Park City Schools,2013,2015,37,3,34,0.081081081,0.918918919,48203,42.40580348,-83.0960191
290,2008,Highland Park Public School Academy System,2012,2014,19,7,11,0.368421053,0.578947368,48203,42.41394,-83.098381
291,2009,Highland Park Public School Academy System,2013,2015,95,68,22,0.715789474,0.231578947,48203,42.41394,-83.098381
292,2010,Highland Park Public School Academy System,2014,2015,54,46,8,0.851851852,0.148148148,48203,42.41394,-83.098381
293,2011,Highland Park Public School Academy System,2015,2015,73,55,16,0.753424658,0.219178082,48203,42.41394,-83.098381
294,2003,Hope of Detroit Academy,2007,2009,12,9,3,0.75,0.25,48210,42.33168322,-83.04799903
295,2005,Hope of Detroit Academy,2009,2011,17,13,5,0.764705882,0.294117647,48210,42.33168322,-83.04799903
296,2006,Hope of Detroit Academy,2010,2012,11,10,1,0.909090909,0.090909091,48210,42.33168322,-83.04799903
297,2008,Hope of Detroit Academy,2012,2014,14,11,4,0.785714286,0.285714286,48210,42.33168322,-83.04799903
298,2003,Huron School District,2007,2009,177,163,13,0.920903955,0.073446328,48164,42.16533247,-83.40071783
299,2004,Huron School District,2008,2010,205,181,21,0.882926829,0.102439024,48164,42.16533247,-83.40071783
300,2005,Huron School District,2009,2011,225,201,13,0.893333333,0.057777778,48164,42.16533247,-83.40071783
301,2006,Huron School District,2010,2012,188,161,15,0.856382979,0.079787234,48164,42.16533247,-83.40071783
302,2007,Huron School District,2011,2013,206,179,18,0.868932039,0.087378641,48164,42.16533247,-83.40071783
303,2008,Huron School District,2012,2014,196,173,11,0.882653061,0.056122449,48164,42.16533247,-83.40071783
304,2009,Huron School District,2013,2015,203,187,8,0.921182266,0.039408867,48164,42.16533247,-83.40071783
305,2010,Huron School District,2014,2015,187,168,10,0.898395722,0.053475936,48164,42.16533247,-83.40071783
306,2011,Huron School District,2015,2015,218,193,12,0.885321101,0.055045872,48164,42.16533247,-83.40071783
307,2011,Jalen Rose Leadership Academy,2015,2015,94,89,3,0.946808511,0.031914894,48235,42.33168322,-83.04799903
308,2003,Life Skills Center of Metropolitan Detroit,2007,2009,233,53,169,0.227467811,0.725321888,48207,42.34,-83.017227
309,2004,Life Skills Center of Metropolitan Detroit,2008,2010,229,38,174,0.165938865,0.759825328,48207,42.34,-83.017227
310,2005,Life Skills Center of Metropolitan Detroit,2009,2011,239,39,174,0.163179916,0.728033473,48207,42.34,-83.017227
311,2006,Life Skills Center of Metropolitan Detroit,2010,2012,173,12,110,0.069364162,0.63583815,48207,42.34,-83.017227
312,2007,Life Skills Center of Metropolitan Detroit,2011,2013,56,3,53,0.053571429,0.946428571,48207,42.34,-83.017227
313,2009,Life Skills Center of Metropolitan Detroit,2013,2015,11,0,11,0,1,48207,42.34,-83.017227
314,2003,"Lincoln Park, School District of the City of",2007,2009,343,278,61,0.810495627,0.177842566,48146,42.25147114,-83.18185853
315,2004,"Lincoln Park, School District of the City of",2008,2010,327,255,59,0.779816514,0.180428135,48146,42.25147114,-83.18185853
316,2005,"Lincoln Park, School District of the City of",2009,2011,335,250,50,0.746268657,0.149253731,48146,42.25147114,-83.18185853
317,2006,"Lincoln Park, School District of the City of",2010,2012,271,224,31,0.826568266,0.114391144,48146,42.25147114,-83.18185853
318,2007,"Lincoln Park, School District of the City of",2011,2013,326,252,56,0.773006135,0.171779141,48146,42.25147114,-83.18185853
319,2008,"Lincoln Park, School District of the City of",2012,2014,320,263,38,0.821875,0.11875,48146,42.25147114,-83.18185853
320,2009,"Lincoln Park, School District of the City of",2013,2015,354,281,46,0.793785311,0.129943503,48146,42.25147114,-83.18185853
321,2010,"Lincoln Park, School District of the City of",2014,2015,314,254,34,0.808917197,0.108280255,48146,42.25147114,-83.18185853
322,2011,"Lincoln Park, School District of the City of",2015,2015,350,279,34,0.797142857,0.097142857,48146,42.25147114,-83.18185853
323,2003,Livonia Public Schools School District,2007,2009,1558,1434,84,0.920410783,0.053915276,48154,42.39686224,-83.36958876
324,2004,Livonia Public Schools School District,2008,2010,1540,1425,78,0.925324675,0.050649351,48154,42.39686224,-83.36958876
325,2005,Livonia Public Schools School District,2009,2011,1540,1401,96,0.90974026,0.062337662,48154,42.39686224,-83.36958876
326,2006,Livonia Public Schools School District,2010,2012,1589,1429,100,0.899307741,0.062932662,48154,42.39686224,-83.36958876
327,2007,Livonia Public Schools School District,2011,2013,1512,1352,104,0.894179894,0.068783069,48154,42.39686224,-83.36958876
328,2008,Livonia Public Schools School District,2012,2014,1440,1297,59,0.900694444,0.040972222,48154,42.39686224,-83.36958876
329,2009,Livonia Public Schools School District,2013,2015,1467,1347,62,0.918200409,0.042263122,48154,42.39686224,-83.36958876
330,2010,Livonia Public Schools School District,2014,2015,1343,1230,64,0.915860015,0.047654505,48154,42.39686224,-83.36958876
331,2011,Livonia Public Schools School District,2015,2015,1325,1212,41,0.914716981,0.030943396,48154,42.39686224,-83.36958876
332,2003,Marvin L. Winans Academy of Performing Arts,2007,2009,74,61,13,0.824324324,0.175675676,48234,42.33168322,-83.04799903
333,2004,Marvin L. Winans Academy of Performing Arts,2008,2010,68,60,10,0.882352941,0.147058824,48234,42.33168322,-83.04799903
334,2005,Marvin L. Winans Academy of Performing Arts,2009,2011,88,75,13,0.852272727,0.147727273,48234,42.33168322,-83.04799903
335,2006,Marvin L. Winans Academy of Performing Arts,2010,2012,45,40,6,0.888888889,0.133333333,48234,42.33168322,-83.04799903
336,2007,Marvin L. Winans Academy of Performing Arts,2011,2013,45,44,2,0.977777778,0.044444444,48234,42.33168322,-83.04799903
337,2008,Marvin L. Winans Academy of Performing Arts,2012,2014,40,36,4,0.9,0.1,48234,42.33168322,-83.04799903
338,2009,Marvin L. Winans Academy of Performing Arts,2013,2015,35,30,6,0.857142857,0.171428571,48234,42.33168322,-83.04799903
339,2010,Marvin L. Winans Academy of Performing Arts,2014,2015,63,54,10,0.857142857,0.158730159,48234,42.33168322,-83.04799903
340,2011,Marvin L. Winans Academy of Performing Arts,2015,2015,39,35,3,0.897435897,0.076923077,48234,42.33168322,-83.04799903
341,2007,McGivney Academy (SDA),2011,2011,12,0,4,0,0.333333333,48221,42.415077,-83.158943
342,2003,Melvindale-North Allen Park Schools,2007,2009,181,157,25,0.867403315,0.138121547,48122,42.2821402,-83.17677605
343,2004,Melvindale-North Allen Park Schools,2008,2010,195,167,29,0.856410256,0.148717949,48122,42.2821402,-83.17677605
344,2005,Melvindale-North Allen Park Schools,2009,2011,187,164,23,0.877005348,0.122994652,48122,42.2821402,-83.17677605
345,2006,Melvindale-North Allen Park Schools,2010,2012,198,174,21,0.878787879,0.106060606,48122,42.2821402,-83.17677605
346,2007,Melvindale-North Allen Park Schools,2011,2013,203,185,10,0.911330049,0.049261084,48122,42.2821402,-83.17677605
347,2008,Melvindale-North Allen Park Schools,2012,2014,203,189,12,0.931034483,0.0591133,48122,42.2821402,-83.17677605
348,2009,Melvindale-North Allen Park Schools,2013,2015,200,191,4,0.955,0.02,48122,42.2821402,-83.17677605
349,2010,Melvindale-North Allen Park Schools,2014,2015,219,210,7,0.95890411,0.03196347,48122,42.2821402,-83.17677605
350,2011,Melvindale-North Allen Park Schools,2015,2015,189,183,4,0.968253968,0.021164021,48122,42.2821402,-83.17677605
351,2003,Michigan Health Academy,2007,2009,28,21,8,0.75,0.285714286,48072,42.489674,-83.15995
352,2004,Michigan Health Academy,2008,2010,39,32,8,0.820512821,0.205128205,48072,42.489674,-83.15995
353,2005,Michigan Health Academy,2009,2011,40,33,6,0.825,0.15,48072,42.489674,-83.15995
354,2006,Michigan Health Academy,2010,2012,39,32,8,0.820512821,0.205128205,48072,42.489674,-83.15995
355,2007,Michigan Health Academy,2011,2013,53,48,5,0.905660377,0.094339623,48072,42.489674,-83.15995
356,2003,Michigan Technical Academy,2007,2009,66,32,35,0.484848485,0.53030303,48239,42.39849239,-83.29583919
357,2004,Michigan Technical Academy,2008,2010,79,54,26,0.683544304,0.329113924,48239,42.39849239,-83.29583919
358,2005,Michigan Technical Academy,2009,2011,73,53,14,0.726027397,0.191780822,48239,42.39849239,-83.29583919
359,2006,Michigan Technical Academy,2010,2012,92,68,23,0.739130435,0.25,48239,42.39849239,-83.29583919
360,2003,Northville Public Schools,2007,2009,504,474,6,0.94047619,0.011904762,48167,42.43099257,-83.48480654
361,2004,Northville Public Schools,2008,2010,551,526,6,0.954627949,0.010889292,48167,42.43099257,-83.48480654
362,2005,Northville Public Schools,2009,2011,583,563,9,0.965694683,0.015437393,48167,42.43099257,-83.48480654
363,2006,Northville Public Schools,2010,2012,548,525,9,0.958029197,0.016423358,48167,42.43099257,-83.48480654
364,2007,Northville Public Schools,2011,2013,595,566,6,0.951260504,0.010084034,48167,42.43099257,-83.48480654
365,2008,Northville Public Schools,2012,2014,511,483,5,0.945205479,0.009784736,48167,42.43099257,-83.48480654
366,2009,Northville Public Schools,2013,2015,559,531,9,0.949910555,0.016100179,48167,42.43099257,-83.48480654
367,2010,Northville Public Schools,2014,2015,600,569,8,0.948333333,0.013333333,48167,42.43099257,-83.48480654
368,2011,Northville Public Schools,2015,2015,557,533,10,0.956912029,0.017953321,48167,42.43099257,-83.48480654
369,2003,Oakland International Academy,2007,2009,10,9,1,0.9,0.1,48211,42.33168322,-83.04799903
370,2004,Oakland International Academy,2008,2010,16,12,3,0.75,0.1875,48211,42.33168322,-83.04799903
371,2005,Oakland International Academy,2009,2011,20,19,1,0.95,0.05,48211,42.33168322,-83.04799903
372,2006,Oakland International Academy,2010,2012,29,25,6,0.862068966,0.206896552,48211,42.33168322,-83.04799903
373,2007,Oakland International Academy,2011,2013,25,20,5,0.8,0.2,48211,42.33168322,-83.04799903
374,2008,Oakland International Academy,2012,2014,23,22,0,0.956521739,0,48211,42.33168322,-83.04799903
375,2009,Oakland International Academy,2013,2015,31,26,5,0.838709677,0.161290323,48211,42.33168322,-83.04799903
376,2010,Oakland International Academy,2014,2015,52,46,9,0.884615385,0.173076923,48211,42.33168322,-83.04799903
377,2011,Oakland International Academy,2015,2015,57,49,0,0.859649123,0,48211,42.33168322,-83.04799903
378,2003,Old Redford Academy,2007,2009,71,62,10,0.873239437,0.14084507,48219,42.33168322,-83.04799903
379,2004,Old Redford Academy,2008,2010,99,85,15,0.858585859,0.151515152,48219,42.33168322,-83.04799903
380,2005,Old Redford Academy,2009,2011,124,98,24,0.790322581,0.193548387,48219,42.33168322,-83.04799903
381,2006,Old Redford Academy,2010,2012,135,116,14,0.859259259,0.103703704,48219,42.33168322,-83.04799903
382,2007,Old Redford Academy,2011,2013,152,133,12,0.875,0.078947368,48219,42.33168322,-83.04799903
383,2008,Old Redford Academy,2012,2014,183,165,17,0.901639344,0.092896175,48219,42.33168322,-83.04799903
384,2009,Old Redford Academy,2013,2015,161,145,14,0.900621118,0.086956522,48219,42.33168322,-83.04799903
385,2010,Old Redford Academy,2014,2015,177,141,26,0.796610169,0.146892655,48219,42.33168322,-83.04799903
386,2011,Old Redford Academy,2015,2015,203,166,19,0.81773399,0.093596059,48219,42.33168322,-83.04799903
387,2009,Pathways Academy,2013,2015,17,0,8,0,0.470588235,48214,42.366596,-82.970856
388,2010,Pathways Academy,2014,2015,17,0,5,0,0.294117647,48214,42.366596,-82.970856
389,2011,Pathways Academy,2015,2015,28,0,7,0,0.25,48214,42.366596,-82.970856
390,2003,Plymouth-Canton Community Schools,2007,2009,1441,1297,129,0.900069396,0.089521166,48170,42.37245026,-83.46747787
391,2004,Plymouth-Canton Community Schools,2008,2010,1532,1371,124,0.894908616,0.080939948,48170,42.37245026,-83.46747787
392,2005,Plymouth-Canton Community Schools,2009,2011,1516,1381,106,0.910949868,0.069920844,48170,42.37245026,-83.46747787
393,2006,Plymouth-Canton Community Schools,2010,2012,1511,1372,114,0.908007942,0.075446724,48170,42.37245026,-83.46747787
394,2007,Plymouth-Canton Community Schools,2011,2013,1609,1455,122,0.904288378,0.075823493,48170,42.37245026,-83.46747787
395,2008,Plymouth-Canton Community Schools,2012,2014,1572,1416,110,0.900763359,0.069974555,48170,42.37245026,-83.46747787
396,2009,Plymouth-Canton Community Schools,2013,2015,1653,1504,111,0.909860859,0.067150635,48170,42.37245026,-83.46747787
397,2010,Plymouth-Canton Community Schools,2014,2015,1557,1417,87,0.910083494,0.055876686,48170,42.37245026,-83.46747787
398,2011,Plymouth-Canton Community Schools,2015,2015,1518,1360,40,0.895915679,0.026350461,48170,42.37245026,-83.46747787
399,2008,Plymouth Educational Center Charter School,2012,2014,118,112,5,0.949152542,0.042372881,48207,42.33168322,-83.04799903
400,2009,Plymouth Educational Center Charter School,2013,2015,114,99,14,0.868421053,0.122807018,48207,42.33168322,-83.04799903
401,2010,Plymouth Educational Center Charter School,2014,2015,101,91,7,0.900990099,0.069306931,48207,42.33168322,-83.04799903
402,2011,Plymouth Educational Center Charter School,2015,2015,78,67,10,0.858974359,0.128205128,48207,42.33168322,-83.04799903
403,2003,"Redford Union Schools, District No. ",2007,2009,333,256,77,0.768768769,0.231231231,48240,42.420227,-83.289063
404,2004,"Redford Union Schools, District No. ",2008,2010,342,254,81,0.742690058,0.236842105,48240,42.420227,-83.289063
405,2005,"Redford Union Schools, District No. ",2009,2011,380,279,70,0.734210526,0.184210526,48240,42.420227,-83.289063
406,2006,"Redford Union Schools, District No. ",2010,2012,337,269,61,0.798219585,0.181008902,48240,42.420227,-83.289063
407,2007,"Redford Union Schools, District No. ",2011,2013,314,237,68,0.75477707,0.21656051,48240,42.420227,-83.289063
408,2008,"Redford Union Schools, District No. ",2012,2014,342,226,83,0.660818713,0.242690058,48240,42.420227,-83.289063
409,2009,"Redford Union Schools, District No. ",2013,2015,339,221,109,0.651917404,0.321533923,48240,42.420227,-83.289063
410,2010,"Redford Union Schools, District No. ",2014,2015,374,243,83,0.64973262,0.221925134,48240,42.420227,-83.289063
411,2011,"Redford Union Schools, District No. ",2015,2015,311,164,44,0.52733119,0.1414791,48240,42.420227,-83.289063
412,2010,Regents Academy,2014,2015,12,1,3,0.083333333,0.25,48240,42.420227,-83.289063
413,2011,Regents Academy,2015,2015,19,4,4,0.210526316,0.210526316,48240,42.420227,-83.289063
414,2003,"River Rouge, School District of the City of",2007,2009,136,108,27,0.794117647,0.198529412,48218,42.27267196,-83.13449946
415,2004,"River Rouge, School District of the City of",2008,2010,116,75,38,0.646551724,0.327586207,48218,42.27267196,-83.13449946
416,2005,"River Rouge, School District of the City of",2009,2011,124,86,34,0.693548387,0.274193548,48218,42.27267196,-83.13449946
417,2006,"River Rouge, School District of the City of",2010,2012,90,59,18,0.655555556,0.2,48218,42.27267196,-83.13449946
418,2007,"River Rouge, School District of the City of",2011,2013,98,51,34,0.520408163,0.346938776,48218,42.27267196,-83.13449946
419,2008,"River Rouge, School District of the City of",2012,2014,142,88,42,0.61971831,0.295774648,48218,42.27267196,-83.13449946
420,2009,"River Rouge, School District of the City of",2013,2015,122,92,23,0.754098361,0.18852459,48218,42.27267196,-83.13449946
421,2010,"River Rouge, School District of the City of",2014,2015,179,140,30,0.782122905,0.167597765,48218,42.27267196,-83.13449946
422,2011,"River Rouge, School District of the City of",2015,2015,149,114,24,0.765100671,0.161073826,48218,42.27267196,-83.13449946
423,2004,Riverside Academy,2008,2010,12,12,0,1,0,48126,42.32207206,-83.17628924
424,2005,Riverside Academy,2009,2011,23,21,3,0.913043478,0.130434783,48126,42.32207206,-83.17628924
425,2006,Riverside Academy,2010,2012,38,34,5,0.894736842,0.131578947,48126,42.32207206,-83.17628924
426,2007,Riverside Academy,2011,2013,56,48,6,0.857142857,0.107142857,48126,42.32207206,-83.17628924
427,2008,Riverside Academy,2012,2014,51,51,1,1,0.019607843,48126,42.32207206,-83.17628924
428,2009,Riverside Academy,2013,2015,52,49,3,0.942307692,0.057692308,48126,42.32207206,-83.17628924
429,2010,Riverside Academy,2014,2015,68,64,5,0.941176471,0.073529412,48126,42.32207206,-83.17628924
430,2011,Riverside Academy,2015,2015,73,70,2,0.95890411,0.02739726,48126,42.32207206,-83.17628924
431,2003,Riverview Community School District,2007,2009,232,220,12,0.948275862,0.051724138,48193,42.17733302,-83.19563661
432,2004,Riverview Community School District,2008,2010,231,219,12,0.948051948,0.051948052,48193,42.17733302,-83.19563661
433,2005,Riverview Community School District,2009,2011,227,209,11,0.920704846,0.04845815,48193,42.17733302,-83.19563661
434,2006,Riverview Community School District,2010,2012,233,209,13,0.896995708,0.055793991,48193,42.17733302,-83.19563661
435,2007,Riverview Community School District,2011,2013,216,201,10,0.930555556,0.046296296,48193,42.17733302,-83.19563661
436,2008,Riverview Community School District,2012,2014,206,191,10,0.927184466,0.048543689,48193,42.17733302,-83.19563661
437,2009,Riverview Community School District,2013,2015,234,224,6,0.957264957,0.025641026,48193,42.17733302,-83.19563661
438,2010,Riverview Community School District,2014,2015,231,224,7,0.96969697,0.03030303,48193,42.17733302,-83.19563661
439,2011,Riverview Community School District,2015,2015,224,212,10,0.946428571,0.044642857,48193,42.17733302,-83.19563661
440,2003,Romulus Community Schools,2007,2009,422,323,71,0.765402844,0.168246445,48174,42.22223124,-83.38534981
441,2004,Romulus Community Schools,2008,2010,471,346,97,0.734607219,0.205944798,48174,42.22223124,-83.38534981
442,2005,Romulus Community Schools,2009,2011,482,366,88,0.7593361,0.182572614,48174,42.22223124,-83.38534981
443,2006,Romulus Community Schools,2010,2012,393,293,75,0.745547074,0.190839695,48174,42.22223124,-83.38534981
444,2007,Romulus Community Schools,2011,2013,438,305,104,0.696347032,0.237442922,48174,42.22223124,-83.38534981
445,2008,Romulus Community Schools,2012,2014,341,259,61,0.759530792,0.17888563,48174,42.22223124,-83.38534981
446,2009,Romulus Community Schools,2013,2015,279,198,66,0.709677419,0.23655914,48174,42.22223124,-83.38534981
447,2010,Romulus Community Schools,2014,2015,284,213,61,0.75,0.214788732,48174,42.22223124,-83.38534981
448,2011,Romulus Community Schools,2015,2015,241,171,33,0.709543568,0.136929461,48174,42.22223124,-83.38534981
449,2004,Ross-Hill Academy,2008,2010,18,15,4,0.833333333,0.222222222,48207,42.33168322,-83.04799903
450,2005,Ross-Hill Academy,2009,2011,22,15,8,0.681818182,0.363636364,48207,42.33168322,-83.04799903
451,2006,Ross-Hill Academy,2010,2012,24,23,2,0.958333333,0.083333333,48207,42.33168322,-83.04799903
452,2007,Ross-Hill Academy,2011,2013,20,15,5,0.75,0.25,48207,42.33168322,-83.04799903
453,2008,Ross-Hill Academy,2012,2014,23,16,7,0.695652174,0.304347826,48207,42.33168322,-83.04799903
454,2003,School District of the City of Inkster,2007,2009,233,129,95,0.553648069,0.407725322,48141,42.29619071,-83.31016661
455,2004,School District of the City of Inkster,2008,2010,304,148,129,0.486842105,0.424342105,48141,42.29619071,-83.31016661
456,2005,School District of the City of Inkster,2009,2011,362,201,144,0.555248619,0.397790055,48141,42.29619071,-83.31016661
457,2006,School District of the City of Inkster,2010,2012,427,246,146,0.576112412,0.341920375,48141,42.29619071,-83.31016661
458,2007,School District of the City of Inkster,2011,2013,433,292,115,0.674364896,0.265588915,48141,42.29619071,-83.31016661
459,2008,School District of the City of Inkster,2012,2014,384,278,88,0.723958333,0.229166667,48141,42.29619071,-83.31016661
460,2009,School District of the City of Inkster,2013,2015,291,209,62,0.718213058,0.213058419,48141,42.29619071,-83.31016661
461,2010,School District of the City of Inkster,2014,2015,42,5,35,0.119047619,0.833333333,48141,42.29619071,-83.31016661
462,2011,School District of the City of Inkster,2015,2015,12,0,12,0,1,48141,42.29619071,-83.31016661
463,2003,South Redford School District,2007,2009,227,207,20,0.911894273,0.088105727,48239,42.37668417,-83.29512907
464,2004,South Redford School District,2008,2010,262,222,28,0.847328244,0.106870229,48239,42.37668417,-83.29512907
465,2005,South Redford School District,2009,2011,271,234,28,0.863468635,0.103321033,48239,42.37668417,-83.29512907
466,2006,South Redford School District,2010,2012,268,229,29,0.854477612,0.108208955,48239,42.37668417,-83.29512907
467,2007,South Redford School District,2011,2013,251,219,27,0.87250996,0.107569721,48239,42.37668417,-83.29512907
468,2008,South Redford School District,2012,2014,279,245,26,0.878136201,0.093189964,48239,42.37668417,-83.29512907
469,2009,South Redford School District,2013,2015,253,231,15,0.913043478,0.059288538,48239,42.37668417,-83.29512907
470,2010,South Redford School District,2014,2015,238,221,13,0.928571429,0.054621849,48239,42.37668417,-83.29512907
471,2011,South Redford School District,2015,2015,251,213,18,0.848605578,0.071713147,48239,42.37668417,-83.29512907
472,2003,Southgate Community School District,2007,2009,859,454,311,0.528521537,0.362048894,48195,42.20377264,-83.20638664
473,2004,Southgate Community School District,2008,2010,955,486,332,0.508900524,0.347643979,48195,42.20377264,-83.20638664
474,2005,Southgate Community School District,2009,2011,953,495,297,0.519412382,0.311647429,48195,42.20377264,-83.20638664
475,2006,Southgate Community School District,2010,2012,941,461,361,0.489904357,0.383634431,48195,42.20377264,-83.20638664
476,2007,Southgate Community School District,2011,2013,895,444,366,0.496089385,0.408938547,48195,42.20377264,-83.20638664
477,2008,Southgate Community School District,2012,2014,869,416,379,0.478711162,0.436133487,48195,42.20377264,-83.20638664
478,2009,Southgate Community School District,2013,2015,765,340,357,0.444444444,0.466666667,48195,42.20377264,-83.20638664
479,2010,Southgate Community School District,2014,2015,684,365,257,0.533625731,0.375730994,48195,42.20377264,-83.20638664
480,2011,Southgate Community School District,2015,2015,583,301,169,0.516295026,0.289879931,48195,42.20377264,-83.20638664
481,2003,Star International Academy,2007,2009,53,46,8,0.867924528,0.150943396,48127,42.33056222,-83.27747884
482,2004,Star International Academy,2008,2010,75,70,4,0.933333333,0.053333333,48127,42.33056222,-83.27747884
483,2005,Star International Academy,2009,2011,51,49,3,0.960784314,0.058823529,48127,42.33056222,-83.27747884
484,2006,Star International Academy,2010,2012,64,50,16,0.78125,0.25,48127,42.33056222,-83.27747884
485,2007,Star International Academy,2011,2013,82,73,10,0.890243902,0.12195122,48127,42.33056222,-83.27747884
486,2008,Star International Academy,2012,2014,73,67,8,0.917808219,0.109589041,48127,42.33056222,-83.27747884
487,2009,Star International Academy,2013,2015,78,72,5,0.923076923,0.064102564,48127,42.33056222,-83.27747884
488,2010,Star International Academy,2014,2015,70,69,2,0.985714286,0.028571429,48127,42.33056222,-83.27747884
489,2011,Star International Academy,2015,2015,88,87,0,0.988636364,0,48127,42.33056222,-83.27747884
