,ENROLL_YEAR,SCHOOL_NAME,COHORT_GRAD_YEAR,GRAD_YEAR,NUM_COHORT,NUM_GRADUATES,NUM_DROPOUTS,GRAD_RATE,DROP_RATE,ZIP,LATITUDE,LONGITUDE
56,2005,Blanche Kelso Bruce Academy,2009,2011,145,4,114,0.027586207,0.786206897,48202,42.33168322,-83.04799903
57,2006,Blanche Kelso Bruce Academy,2010,2012,134,4,79,0.029850746,0.589552239,48202,42.33168322,-83.04799903
58,2007,Blanche Kelso Bruce Academy,2011,2012,157,7,71,0.044585987,0.452229299,48202,42.33168322,-83.04799903
59,2008,Blanche Kelso Bruce Academy,2012,2012,77,12,22,0.155844156,0.285714286,48202,42.33168322,-83.04799903
60,2003,Casa Richard Academy,2007,2009,40,21,19,0.525,0.475,48216,42.33168322,-83.04799903
61,2004,Casa Richard Academy,2008,2010,40,13,34,0.325,0.85,48216,42.33168322,-83.04799903
62,2005,Casa Richard Academy,2009,2011,38,17,20,0.447368421,0.526315789,48216,42.33168322,-83.04799903
63,2006,Casa Richard Academy,2010,2012,59,35,20,0.593220339,0.338983051,48216,42.33168322,-83.04799903
64,2007,Casa Richard Academy,2011,2013,38,21,15,0.552631579,0.394736842,48216,42.33168322,-83.04799903
65,2008,Casa Richard Academy,2012,2014,41,19,16,0.463414634,0.390243902,48216,42.33168322,-83.04799903
66,2009,Casa Richard Academy,2013,2015,31,20,9,0.64516129,0.290322581,48216,42.33168322,-83.04799903
67,2010,Casa Richard Academy,2014,2015,23,12,8,0.52173913,0.347826087,48216,42.33168322,-83.04799903
68,2003,Cesar Chavez Academy,2007,2009,106,59,48,0.556603774,0.452830189,48209,42.33168322,-83.04799903
69,2004,Cesar Chavez Academy,2008,2010,115,81,35,0.704347826,0.304347826,48209,42.33168322,-83.04799903
70,2005,Cesar Chavez Academy,2009,2011,138,91,48,0.65942029,0.347826087,48209,42.33168322,-83.04799903
71,2006,Cesar Chavez Academy,2010,2012,121,93,28,0.768595041,0.231404959,48209,42.33168322,-83.04799903
72,2007,Cesar Chavez Academy,2011,2013,133,107,22,0.804511278,0.165413534,48209,42.33168322,-83.04799903
73,2008,Cesar Chavez Academy,2012,2014,143,121,19,0.846153846,0.132867133,48209,42.33168322,-83.04799903
74,2009,Cesar Chavez Academy,2013,2015,154,134,17,0.87012987,0.11038961,48209,42.33168322,-83.04799903
75,2010,Cesar Chavez Academy,2014,2015,186,158,20,0.849462366,0.107526882,48209,42.33168322,-83.04799903
76,2011,Cesar Chavez Academy,2015,2015,164,146,13,0.890243902,0.079268293,48209,42.33168322,-83.04799903
77,2007,Chandler Park Academy,2011,2013,160,145,14,0.90625,0.0875,48225,42.43309166,-82.92339787
78,2008,Chandler Park Academy,2012,2014,132,118,15,0.893939394,0.113636364,48225,42.43309166,-82.92339787
79,2009,Chandler Park Academy,2013,2015,146,140,7,0.95890411,0.047945205,48225,42.43309166,-82.92339787
80,2010,Chandler Park Academy,2014,2015,147,146,2,0.993197279,0.013605442,48225,42.43309166,-82.92339787
81,2011,Chandler Park Academy,2015,2015,148,136,9,0.918918919,0.060810811,48225,42.43309166,-82.92339787
82,2003,Charlotte Forten Academy,2007,2009,108,54,54,0.5,0.5,48210,42.33796,-83.136938
83,2004,Charlotte Forten Academy,2008,2010,108,39,68,0.361111111,0.62962963,48210,42.33796,-83.136938
84,2005,Charlotte Forten Academy,2009,2011,56,18,37,0.321428571,0.660714286,48210,42.33796,-83.136938
85,2006,Charlotte Forten Academy,2010,2012,21,2,17,0.095238095,0.80952381,48210,42.33796,-83.136938
86,2003,Cherry Hill School of Performing Arts,2007,2009,61,54,8,0.885245902,0.131147541,48141,42.306236,-83.321655
87,2004,Cherry Hill School of Performing Arts,2008,2010,76,57,18,0.75,0.236842105,48141,42.306236,-83.321655
88,2005,Cherry Hill School of Performing Arts,2009,2011,95,60,30,0.631578947,0.315789474,48141,42.306236,-83.321655
89,2006,Cherry Hill School of Performing Arts,2010,2012,140,93,40,0.664285714,0.285714286,48141,42.306236,-83.321655
90,2007,Cherry Hill School of Performing Arts,2011,2013,33,1,31,0.03030303,0.939393939,48141,42.306236,-83.321655
91,2004,Clara B. Ford Academy (SDA),2008,2010,23,6,13,0.260869565,0.565217391,48127,42.33056222,-83.27747884
92,2005,Clara B. Ford Academy (SDA),2009,2011,41,7,26,0.170731707,0.634146341,48127,42.33056222,-83.27747884
93,2006,Clara B. Ford Academy (SDA),2010,2011,41,0,34,0,0.829268293,48127,42.33056222,-83.27747884
94,2007,Clara B. Ford Academy (SDA),2011,2011,53,3,31,0.056603774,0.58490566,48127,42.33056222,-83.27747884
95,2003,Covenant House Academy Detroit,2007,2009,83,15,59,0.180722892,0.710843373,48208,42.33168322,-83.04799903
96,2004,Covenant House Academy Detroit,2008,2010,160,23,118,0.14375,0.7375,48208,42.33168322,-83.04799903
97,2005,Covenant House Academy Detroit,2009,2011,223,37,162,0.165919283,0.726457399,48208,42.33168322,-83.04799903
98,2006,Covenant House Academy Detroit,2010,2012,208,39,144,0.1875,0.692307692,48208,42.33168322,-83.04799903
99,2007,Covenant House Academy Detroit,2011,2013,210,54,135,0.257142857,0.642857143,48208,42.33168322,-83.04799903
100,2008,Covenant House Academy Detroit,2012,2014,261,55,137,0.210727969,0.524904215,48208,42.33168322,-83.04799903
101,2009,Covenant House Academy Detroit,2013,2015,376,74,247,0.196808511,0.656914894,48208,42.33168322,-83.04799903
102,2010,Covenant House Academy Detroit,2014,2015,331,68,198,0.205438066,0.598187311,48208,42.33168322,-83.04799903
103,2011,Covenant House Academy Detroit,2015,2015,255,14,144,0.054901961,0.564705882,48208,42.33168322,-83.04799903
104,2003,Covenant House Academy East,2007,2009,166,50,111,0.301204819,0.668674699,48214,42.36391,-83.00759
105,2004,Covenant House Academy East,2008,2010,201,42,147,0.208955224,0.731343284,48214,42.36391,-83.00759
106,2005,Covenant House Academy East,2009,2011,218,56,152,0.256880734,0.697247706,48214,42.36391,-83.00759
107,2006,Covenant House Academy East,2010,2012,156,37,102,0.237179487,0.653846154,48214,42.36391,-83.00759
108,2007,Covenant House Academy East,2011,2013,152,27,104,0.177631579,0.684210526,48214,42.36391,-83.00759
109,2008,Covenant House Academy East,2012,2014,135,26,66,0.192592593,0.488888889,48214,42.36391,-83.00759
110,2009,Covenant House Academy East,2013,2015,120,12,52,0.1,0.433333333,48214,42.36391,-83.00759
111,2010,Covenant House Academy East,2014,2015,12,0,12,0,1,48214,42.36391,-83.00759
112,2011,Covenant House Academy East,2015,2015,11,1,10,0.090909091,0.909090909,48214,42.36391,-83.00759
113,2003,Covenant House Academy Southwest,2007,2009,126,30,94,0.238095238,0.746031746,48216,42.320492,-83.085342
114,2004,Covenant House Academy Southwest,2008,2010,188,35,140,0.186170213,0.744680851,48216,42.320492,-83.085342
115,2005,Covenant House Academy Southwest,2009,2011,168,20,138,0.119047619,0.821428571,48216,42.320492,-83.085342
116,2006,Covenant House Academy Southwest,2010,2012,151,15,119,0.099337748,0.78807947,48216,42.320492,-83.085342
117,2007,Covenant House Academy Southwest,2011,2013,152,22,107,0.144736842,0.703947368,48216,42.320492,-83.085342
118,2008,Covenant House Academy Southwest,2012,2014,147,18,86,0.12244898,0.585034014,48216,42.320492,-83.085342
119,2009,Covenant House Academy Southwest,2013,2015,121,10,66,0.082644628,0.545454545,48216,42.320492,-83.085342
120,2010,Covenant House Academy Southwest,2014,2015,38,3,32,0.078947368,0.842105263,48216,42.320492,-83.085342
121,2003,Crestwood School District,2007,2009,265,241,21,0.909433962,0.079245283,48127,42.33056222,-83.27747884
122,2004,Crestwood School District,2008,2010,290,276,12,0.951724138,0.04137931,48127,42.33056222,-83.27747884
123,2005,Crestwood School District,2009,2011,258,233,25,0.903100775,0.096899225,48127,42.33056222,-83.27747884
124,2006,Crestwood School District,2010,2012,323,302,18,0.93498452,0.055727554,48127,42.33056222,-83.27747884
125,2007,Crestwood School District,2011,2013,284,254,18,0.894366197,0.063380282,48127,42.33056222,-83.27747884
126,2008,Crestwood School District,2012,2014,285,266,18,0.933333333,0.063157895,48127,42.33056222,-83.27747884
127,2009,Crestwood School District,2013,2015,295,285,7,0.966101695,0.023728814,48127,42.33056222,-83.27747884
128,2010,Crestwood School District,2014,2015,323,308,10,0.953560372,0.030959752,48127,42.33056222,-83.27747884
129,2011,Crestwood School District,2015,2015,330,311,10,0.942424242,0.03030303,48127,42.33056222,-83.27747884
130,2003,Dearborn City School District,2007,2009,1456,1197,250,0.822115385,0.171703297,48124,42.32207206,-83.17628924
131,2004,Dearborn City School District,2008,2010,1450,1239,196,0.854482759,0.135172414,48124,42.32207206,-83.17628924
